id	id-value	pre-git-hist/files.tsv-row	bytes	start	file	path	25may-log-path	excel-link	ia-link	gh-link-text-w-pc20	gh-link-text-w-space	dates	topics	notes	m	s	a	c	e	f	l	o	t	w	notes
00	0	37	1440	4 November 2021 at 00:00	harv/Trade 2-Series T 1—781   Foreign markets..tsv	harv/ *.tsv	00-trade-2-series-t-1—781---foreign-markets..tsv	link	[link](https://github.com/aenavidad/pre-git-hist/blob/main/files/harv/Trade%202-Series%20T%201—781%20%20%20Foreign%20markets..tsv)	https://github.com/aenavidad/pre-git-hist/blob/main/files/harv/Trade%202-Series%20T%201—781%20%20%20Foreign%20markets..tsv	https://github.com/aenavidad/pre-git-hist/blob/main/files/harv/Trade 2-Series T 1—781   Foreign markets..tsv	0000s-2020s	"vars events, vars stats, bibliographic"	some metadata71 some sources72	1	1	1	1	1	1	1	1	1	1	null
00	0	38	8722	4 November 2021 at 00:00	harv/Trade-Series T 0—600   Foreign trade..tsv	harv/ *.tsv	00-trade-series-t-0—600---foreign-trade..tsv	link	[link](https://github.com/aenavidad/pre-git-hist/blob/main/files/harv/Trade-Series%20T%200—600%20%20%20Foreign%20trade..tsv)	https://github.com/aenavidad/pre-git-hist/blob/main/files/harv/Trade-Series%20T%200—600%20%20%20Foreign%20trade..tsv	https://github.com/aenavidad/pre-git-hist/blob/main/files/harv/Trade-Series T 0—600   Foreign trade..tsv	0000s-2020s	"vars events, vars stats, bibliographic"	some metadata71 some sources72	1	1	1	1	1	1	1	1	1	1	null
00	0	39	29198	4 November 2021 at 00:00	harv/Weather 2-Series W 1—7167   Sub-annually resolved meteorological data.tsv	harv/ *.tsv	00-weather-2-series-w-1—7167---sub-annually-resolved-meteorological-data.tsv	link	[link](https://github.com/aenavidad/pre-git-hist/blob/main/files/harv/Weather%202-Series%20W%201—7167%20%20%20Sub-annually%20resolved%20meteorological%20data.tsv)	https://github.com/aenavidad/pre-git-hist/blob/main/files/harv/Weather%202-Series%20W%201—7167%20%20%20Sub-annually%20resolved%20meteorological%20data.tsv	https://github.com/aenavidad/pre-git-hist/blob/main/files/harv/Weather 2-Series W 1—7167   Sub-annually resolved meteorological data.tsv	0000s-2020s	"vars events, vars stats, bibliographic"	some metadata71 some sources72	1	1	1	1	1	1	1	1	1	1	null
00	0	40	6187	4 November 2021 at 00:00	harv/Weather-Series W 0—1042   Annually-resolved meteorological data..tsv	harv/ *.tsv	00-weather-series-w-0—1042---annually-resolved-meteorological-data..tsv	link	[link](https://github.com/aenavidad/pre-git-hist/blob/main/files/harv/Weather-Series%20W%200—1042%20%20%20Annually-resolved%20meteorological%20data..tsv)	https://github.com/aenavidad/pre-git-hist/blob/main/files/harv/Weather-Series%20W%200—1042%20%20%20Annually-resolved%20meteorological%20data..tsv	https://github.com/aenavidad/pre-git-hist/blob/main/files/harv/Weather-Series W 0—1042   Annually-resolved meteorological data..tsv	0000s-2020s	"vars events, vars stats, bibliographic"	some metadata71 some sources72	1	1	1	1	1	1	1	1	1	1	null
01	1	322	621673	7 October 2021 at 21:51	red/rep bz fin pub 1.4 asdfasfasdfasfasfasdfasdfsaf.tsv	red/rep bz fin pub 1.4 *.tsv	01-asdfasfasdfasfasfasdfasdfsaf.tsv	link	[link](https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20asdfasfasdfasfasfasdfasdfsaf.tsv)	https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20asdfasfasdfasfasfasdfasdfsaf.tsv	https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep bz fin pub 1.4 asdfasfasdfasfasfasdfasdfsaf.tsv	0000s-2020s	"vars events, vars stats, bibliographic"	some metadata69 some sources70	1	1	1	1	1	1	1	1	1	1	null
01	1	308	77943	7 October 2021 at 21:51	red/rep bz fin pub 1.4 Cartas-Series C 0—992   Data on buccaneering or piratical activity in the Bay of Honduras from Spanish correspondence..tsv	red/rep bz fin pub 1.4 *.tsv	01-cartas-series-c-0—992---data-on-buccaneering-or-piratical-activity-in-the-bay-of-honduras-from-spanish-correspondence..tsv	link	[link](https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20Cartas-Series%20C%200—992%20%20%20Data%20on%20buccaneering%20or%20piratical%20activity%20in%20the%20Bay%20of%20Honduras%20from%20Spanish%20correspondence..tsv)	https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20Cartas-Series%20C%200—992%20%20%20Data%20on%20buccaneering%20or%20piratical%20activity%20in%20the%20Bay%20of%20Honduras%20from%20Spanish%20correspondence..tsv	https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep bz fin pub 1.4 Cartas-Series C 0—992   Data on buccaneering or piratical activity in the Bay of Honduras from Spanish correspondence..tsv	0000s-2020s	"vars events, vars stats, bibliographic"	some metadata69 some sources70	1	1	1	1	1	1	1	1	1	1	null
01	1	323	90143	7 October 2021 at 21:51	red/rep bz fin pub 1.4 copy Introduction-Loss of life or property in Belize from 1630 to present. copy.tsv	red/rep bz fin pub 1.4 *.tsv	01-copy-introduction-loss-of-life-or-property-in-belize-from-1630-to-present.-copy.tsv	link	[link](https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20copy%20Introduction-Loss%20of%20life%20or%20property%20in%20Belize%20from%201630%20to%20present.%20copy.tsv)	https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20copy%20Introduction-Loss%20of%20life%20or%20property%20in%20Belize%20from%201630%20to%20present.%20copy.tsv	https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep bz fin pub 1.4 copy Introduction-Loss of life or property in Belize from 1630 to present. copy.tsv	0000s-2020s	"vars events, vars stats, bibliographic"	some metadata69 some sources70	1	1	1	1	1	1	1	1	1	1	null
01	1	309	47063	7 October 2021 at 21:51	red/rep bz fin pub 1.4 Currency-Series L 0—382   Currency and exchange..tsv	red/rep bz fin pub 1.4 *.tsv	01-currency-series-l-0—382---currency-and-exchange..tsv	link	[link](https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20Currency-Series%20L%200—382%20%20%20Currency%20and%20exchange..tsv)	https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20Currency-Series%20L%200—382%20%20%20Currency%20and%20exchange..tsv	https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep bz fin pub 1.4 Currency-Series L 0—382   Currency and exchange..tsv	0000s-2020s	"vars events, vars stats, bibliographic"	some metadata69 some sources70	1	1	1	1	1	1	1	1	1	1	null
01	1	310	75384	7 October 2021 at 21:51	"red/rep bz fin pub 1.4 Estimates-Series A 0—112   Pre-censal or pre-statistical estimates of population, trade, public finances, and related matters..tsv"	red/rep bz fin pub 1.4 *.tsv	"01-estimates-series-a-0—112---pre-censal-or-pre-statistical-estimates-of-population,-trade,-public-finances,-and-related-matters..tsv"	link	"[link](https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20Estimates-Series%20A%200—112%20%20%20Pre-censal%20or%20pre-statistical%20estimates%20of%20population,%20trade,%20public%20finances,%20and%20related%20matters..tsv)"	"https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20Estimates-Series%20A%200—112%20%20%20Pre-censal%20or%20pre-statistical%20estimates%20of%20population,%20trade,%20public%20finances,%20and%20related%20matters..tsv"	"https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep bz fin pub 1.4 Estimates-Series A 0—112   Pre-censal or pre-statistical estimates of population, trade, public finances, and related matters..tsv"	0000s-2020s	"vars events, vars stats, bibliographic"	some metadata69 some sources70	1	1	1	1	1	1	1	1	1	1	null
01	1	311	843637	7 October 2021 at 21:51	"red/rep bz fin pub 1.4 Events 2-Series E 1—2163   Events certainly not involving loss of life, limb or property..tsv"	red/rep bz fin pub 1.4 *.tsv	"01-events-2-series-e-1—2163---events-certainly-not-involving-loss-of-life,-limb-or-property..tsv"	link	"[link](https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20Events%202-Series%20E%201—2163%20%20%20Events%20certainly%20not%20involving%20loss%20of%20life,%20limb%20or%20property..tsv)"	"https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20Events%202-Series%20E%201—2163%20%20%20Events%20certainly%20not%20involving%20loss%20of%20life,%20limb%20or%20property..tsv"	"https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep bz fin pub 1.4 Events 2-Series E 1—2163   Events certainly not involving loss of life, limb or property..tsv"	0000s-2020s	"vars events, vars stats, bibliographic"	some metadata69 some sources70	1	1	1	1	1	1	1	1	1	1	null
01	1	312	621673	7 October 2021 at 21:51	"red/rep bz fin pub 1.4 Events-Series E 0—1076   Events possibly or definitely involving loss of life, limb or property..tsv"	red/rep bz fin pub 1.4 *.tsv	"01-events-series-e-0—1076---events-possibly-or-definitely-involving-loss-of-life,-limb-or-property..tsv"	link	"[link](https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20Events-Series%20E%200—1076%20%20%20Events%20possibly%20or%20definitely%20involving%20loss%20of%20life,%20limb%20or%20property..tsv)"	"https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20Events-Series%20E%200—1076%20%20%20Events%20possibly%20or%20definitely%20involving%20loss%20of%20life,%20limb%20or%20property..tsv"	"https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep bz fin pub 1.4 Events-Series E 0—1076   Events possibly or definitely involving loss of life, limb or property..tsv"	0000s-2020s	"vars events, vars stats, bibliographic"	some metadata69 some sources70	1	1	1	1	1	1	1	1	1	1	null
01	1	313	19979	7 October 2021 at 21:51	red/rep bz fin pub 1.4 Finances-Series F 0—170   Public Finances..tsv	red/rep bz fin pub 1.4 *.tsv	01-finances-series-f-0—170---public-finances..tsv	link	[link](https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20Finances-Series%20F%200—170%20%20%20Public%20Finances..tsv)	https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep%20bz%20fin%20pub%201.4%20Finances-Series%20F%200—170%20%20%20Public%20Finances..tsv	https://github.com/aenavidad/pre-git-hist/blob/main/files/red/rep bz fin pub 1.4 Finances-Series F 0—170   Public Finances..tsv	0000s-2020s	"vars events, vars stats, bibliographic"	some metadata69 some sources70	1	1	1	1	1	1	1	1	1	1	null
