Cust Jamaica: Table 1
	Start	End	In	Log	p	for	Note		Start	End	Period	Value	Sum	Hon	Not Hon Not Camp	Sum	Camp	Hon	Other			
169	25 Dec 1686	25 Mar 1687	0			do			25 Mar 1744	29 Sep 1744	26w 6d	0				42	0	0	42			
171	25 Mar 1687	24 Jun 1687	0			do			1 Oct 1744	25 Dec 1744	12w 1d	0				27	0	0	27			
173	24 Jun 1687	29 Sep 1687	0			do			25 Dec 1744	25 Mar 1745	12w 6d	0				0	0	0	0			
175	29 Sep 1689	25 Dec 1689	0	114		EWBuT			25 Mar 1745	24 Jun 1747	117w 2d	114				116	0	0	116			
177	29 Sep 1689	25 Dec 1689	0			Colonies			25 Sep 1745	25 Mar 1746	25w 6d	0				0	0	0	0			
179	25 Dec 1689	25 Mar 1690	0	70		EWBuT			24 Jun 1747	25 Mar 1748	39w 2d	70				0	0	0	0			
181	25 Mar 1690	25 Jun 1690	0	209		do			25 Jun 1747	25 Sep 1747	13w 1d	209				0	0	0	0			
183	25 Mar 1690	25 Jun 1690	0			Colonies			25 Dec 1747	25 Mar 1748	13w	0				0	0	0	0			
185	25 Jun 1690	29 Sep 1690	0	461		EWBuT						461										
187	25 Jun 1690	29 Sep 1690	0			Colonies	"Stop recording exports to colonies, unless given together with exports to mother"					0										
191	25 Dec 1690	25 Mar 1691	0	64								64										
195	25 Mar 1691	25 Jun 1691	0	103								103										
199	25 Jun 1691	29 Sep 1691	0	550.5								550.5										
205	29 Sep 1691	25 Dec 1691	0	41								41										
208	25 Dec 1691	25 Mar 1692	0	5								5										
277	25 Dec 1697	21 Sep 1698	0	699.5								699.5										
234	7 Sep 1698	12 Dec 1699	0	1641.5		All						1641.5										
242	25 Dec 1699	25 Mar 1700	0	683		All						683										
245	25 Mar 1700	24 Jun 1700	0	629		All						629										
247	24 Jun 1700	29 Sep 1700	0	757		All	est					757										
249	24 Jun 1704	15 Dec 1704	0	128		All						128										
258	25 Dec 1680	25 Mar 1681	0	117		EWBuT						117										
260	29 Sep 1681	25 Mar 1682	0	389		EWBuT						389										
263	5 Apr 1684	29 Sep 1684	0	292		EWBuT						292										
270	29 Sep 1682	25 Mar 1683	0	128		EWBuT						128										
274	25 Mar 1683	29 Sep 1683	0	428.5		do						428.5										
277	29 Sep 1683	25 Mar 1684	0	110.5		do						110.5										
281	29 Sep 1683	25 Mar 1684	1	300	h							300	300	300								
295	25 Mar 1680	29 Sep 1680	0	29 t 190 sticks		EWBuT																
298	29 Sep 1680	25 Dec 1680	0	20		EWBuT						20										
