Press: Table 1
Date	Link	Headline	Paper	Desc	Desc				Add	
30 May 1757	Pre 251	"Boston, May 23."	New-York Mercury (251)				"Boston, May 23. (1757, May 30"	"Boston, May 23. (1757, May 30). New-York Mercury (251)"	"Boston, May 23. (1757, May 30). New-York Mercury (251), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEB948F3572A8%40EANX-10DEF0069FBE82B8%402362941-10DEF006C9C37748%401-10DEF0076F54BEB8%40Boston%252C%2BMay%2B23."	
30 May 1757	Pre 251	"Boston, May 23."	New-York Mercury (251)				"Boston, May 23. (1757, May 30"	"Boston, May 23. (1757, May 30). New-York Mercury (251)"	"Boston, May 23. (1757, May 30). New-York Mercury (251), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEB948F3572A8%40EANX-10DEF0069FBE82B8%402362941-10DEF006C9C37748%401-10DEF0076F54BEB8%40Boston%252C%2BMay%2B23."	
30 May 1757	Pre 750	"Boston, May 23."	"New-York Gazette, or Weekly Post-Boy (750)"	 			"Boston, May 23. (1757, May 30"	"Boston, May 23. (1757, May 30). New-York Gazette, or Weekly Post-Boy (750)"	"Boston, May 23. (1757, May 30). New-York Gazette, or Weekly Post-Boy (750), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAE5D84AE97D8%402362941-10DAAE5DD0393E78%401-10DAAE5EF70626B0%40Boston%252C%2BMay%2B23."	
30 May 1757	Pre 750	"Boston, May 23."	"New-York Gazette, or Weekly Post-Boy (750)"	 			"Boston, May 23. (1757, May 30"	"Boston, May 23. (1757, May 30). New-York Gazette, or Weekly Post-Boy (750)"	"Boston, May 23. (1757, May 30). New-York Gazette, or Weekly Post-Boy (750), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DE94311125C158%402362941-10DE943153D2D058%401-10DE943234A71C58%40Boston%252C%2BMay%2B23."	
30 May 1757	Pre 750	"Boston, May 23."	"New-York Gazette, or Weekly Post-Boy (750)"	 			"Boston, May 23. (1757, May 30"	"Boston, May 23. (1757, May 30). New-York Gazette, or Weekly Post-Boy (750)"	"Boston, May 23. (1757, May 30). New-York Gazette, or Weekly Post-Boy (750), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DE94311125C158%402362941-10DE943153D2D058%401-10DE943234A71C58%40Boston%252C%2BMay%2B23."	
30 May 1757	Pre 750	"Boston, May 23."	"New-York Gazette, or Weekly Post-Boy (750)"	 			"Boston, May 23. (1757, May 30"	"Boston, May 23. (1757, May 30). New-York Gazette, or Weekly Post-Boy (750)"	"Boston, May 23. (1757, May 30). New-York Gazette, or Weekly Post-Boy (750), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAE5D84AE97D8%402362941-10DAAE5DD0393E78%401-10DAAE5EF70626B0%40Boston%252C%2BMay%2B23."	
6 Jun 1757	Pre 114	"New-York, May 30."	Boston Gazette (114)	All well ?			"New-York, May 30. (1757, June 6"	"New-York, May 30. (1757, June 6). Boston Gazette (114)"	"New-York, May 30. (1757, June 6). Boston Gazette (114), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444FF764DFCA59%402362948-10444FF76B95E34F%400-10444FF7A18EDE06%40New-York%252C%2BMay%2B30."	
9 Jun 1757	Pre 2866	"New-York, May 30."	Boston News-Letter (2866)				"New-York, May 30. (1757, June 9"	"New-York, May 30. (1757, June 9). Boston News-Letter (2866)"	"New-York, May 30. (1757, June 9). Boston News-Letter (2866), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-1056687D90FD70E0%402362951-1056687D968F9B02%400-1056687DE8B2E323%40New-York%252C%2BMay%2B30."	
4 Jul 1757	Pre 256	[Captain Middleton; Days; Turk-Islands; Captains; Conyers; Robinson; Bermuda; Sloop; Jamaica].	New-York Mercury (256)	All well ?			"[Captain Middleton; Days; Turk-Islands; Captains; Conyers; Robinson; Bermuda; Sloop; Jamaica]. (1757, July 4"	"[Captain Middleton; Days; Turk-Islands; Captains; Conyers; Robinson; Bermuda; Sloop; Jamaica]. (1757, July 4). New-York Mercury (256)"	"[Captain Middleton; Days; Turk-Islands; Captains; Conyers; Robinson; Bermuda; Sloop; Jamaica]. (1757, July 4). New-York Mercury (256), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEB948F3572A8%40EANX-10DEF00FA97DEAF0%402362976-10DEF01001F530B0%402-10DEF010D049A998%40%255BCaptain%2BMiddleton%253B%2BDays%253B%2BTurk-Islands%253B%2BCaptains%253B%2BConyers%253B%2BRobinson%253B%2BBermuda%253B%2BSloop%253B%2BJamaica%255D."	
7 Jul 1757	Bur sn	"""News."""	Public Advertiser	French at Sea				"""News."" Public Advertiser, 7 July 1757"	"""News."" Public Advertiser, 7 July 1757. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001073772/BBCN?u=camb55135&sid=BBCN&xid=4696d8ed. Accessed 16 Feb. 2021."	
18 Jul 1757	Pre 258	"Charles-Town, (in South-Carolina) June 9."	New-York Mercury (258)	French at Sea			"Charles-Town, (in South-Carolina) June 9. (1757, July 18"	"Charles-Town, (in South-Carolina) June 9. (1757, July 18). New-York Mercury (258)"	"Charles-Town, (in South-Carolina) June 9. (1757, July 18). New-York Mercury (258), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEB948F3572A8%40EANX-10DEF013474AE9B0%402362990-10DEF01357A2C418%400-10DEF01402A46828%40Charles-Town%252C%2B%2528in%2BSouth-Carolina%2529%2BJune%2B9."	
18 Jul 1757	Pre 757	"Charles-Town, (in South-Carolina) June 9."	"New-York Gazette, or Weekly Post-Boy (757)"	 			"Charles-Town, (in South-Carolina) June 9. (1757, July 18"	"Charles-Town, (in South-Carolina) June 9. (1757, July 18). New-York Gazette, or Weekly Post-Boy (757)"	"Charles-Town, (in South-Carolina) June 9. (1757, July 18). New-York Gazette, or Weekly Post-Boy (757), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAE7739CA4FC0%402362990-10DAAE7750AB9018%400-10DAAE78079C3E00%40Charles-Town%252C%2B%2528in%2BSouth-Carolina%2529%2BJune%2B9."	
8 Aug 1757	Pre 1145	"New York, Aug. 1."	Boston Evening-Post (1145)	Sp assault / raid			"New York, Aug. 1. (1757, August 8"	"New York, Aug. 1. (1757, August 8). Boston Evening-Post (1145)"	"New York, Aug. 1. (1757, August 8). Boston Evening-Post (1145), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-108EC175320DCFF0%402363011-108EC175D63C46A8%403-108EC17749756300%40New%2BYork%252C%2BAug.%2B1."	
8 Aug 1757	Pre 123	"New-York, August 1."	Boston Gazette (123)				"New-York, August 1. (1757, August 8"	"New-York, August 1. (1757, August 8). Boston Gazette (123)"	"New-York, August 1. (1757, August 8). Boston Gazette (123), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-10444FFE7713CB89%402363011-10444FFE9ADEFCFF%401-10444FFF2B848D96%40New-York%252C%2BAugust%2B1."	
5 Sep 1757	Pre 3	"New-York, August 29."	Boston Post-Boy (3)	Sp siege ?			"New-York, August 29. (1757, September 5"	"New-York, August 29. (1757, September 5). Boston Post-Boy (3)"	"New-York, August 29. (1757, September 5). Boston Post-Boy (3), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D81414CF7ABF0%402363039-108D814169386610%401-108D814258DDA190%40New-York%252C%2BAugust%2B29."	
6 Sep 1757	Bur sn	"""News."""	Public Advertiser	Sp seizures			9	"""News."" Public Advertiser, 6 Sept. 1757"	"""News."" Public Advertiser, 6 Sept. 1757. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001074040/BBCN?u=camb55135&sid=BBCN&xid=67f5ca5d. Accessed 16 Feb. 2021."	
19 Sep 1757	Pre 5	"New-York, September 12."	Boston Post-Boy (5)	All well ?			"New-York, September 12. (1757, September 19"	"New-York, September 12. (1757, September 19). Boston Post-Boy (5)"	"New-York, September 12. (1757, September 19). Boston Post-Boy (5), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D8143CD3F76D8%402363053-108D8144178295D0%402-108D8144A5425C50%40New-York%252C%2BSeptember%2B12."	
22 Sep 1757	Bur sn	"""News."""	London Chronicle	French at Sea				"""News."" London Chronicle, September 20, 1757 - September 22, 1757"	"""News."" London Chronicle, September 20, 1757 - September 22, 1757. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001663433/BBCN?u=camb55135&sid=BBCN&xid=ed36f21e. Accessed 16 Feb. 2021."	
14 Nov 1757	Pre 274	"Charles-Town, (South-Carolina) September 29."	New-York Mercury (274)				"Charles-Town, (South-Carolina) September 29. (1757, November 14"	"Charles-Town, (South-Carolina) September 29. (1757, November 14). New-York Mercury (274)"	"Charles-Town, (South-Carolina) September 29. (1757, November 14). New-York Mercury (274), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEB948F3572A8%40EANX-10DEF02F7B11EED8%402363109-10DEF02FA9B6AE30%401-10DEF030578754A8%40Charles-Town%252C%2B%2528South-Carolina%2529%2BSeptember%2B29."	
14 Nov 1757	Pre 773	"Charlestown, South-Carolina, September 29."	"New-York Gazette, or Weekly Post-Boy (773)"	 			"Charlestown, South-Carolina, September 29. (1757, November 14"	"Charlestown, South-Carolina, September 29. (1757, November 14). New-York Gazette, or Weekly Post-Boy (773)"	"Charlestown, South-Carolina, September 29. (1757, November 14). New-York Gazette, or Weekly Post-Boy (773), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DE9477EF387870%402363109-10DE94782CE679F0%401-10DE947924098660%40Charlestown%252C%2BSouth-Carolina%252C%2BSeptember%2B29."	
14 Nov 1757	Pre 773	"Charlestown, South-Carolina, September 29."	"New-York Gazette, or Weekly Post-Boy (773)"	 			"Charlestown, South-Carolina, September 29. (1757, November 14"	"Charlestown, South-Carolina, September 29. (1757, November 14). New-York Gazette, or Weekly Post-Boy (773)"	"Charlestown, South-Carolina, September 29. (1757, November 14). New-York Gazette, or Weekly Post-Boy (773), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAEBDB6BA8368%402363109-10DAAEBDF5D17358%401-10DAAEBF41552020%40Charlestown%252C%2BSouth-Carolina%252C%2BSeptember%2B29."	
14 Nov 1757	Pre 773	"Charlestown, South Carolina, September 29."	"New-York Gazette, or Weekly Post-Boy (773)"	 			"Charlestown, South Carolina, September 29. (1757, November 14"	"Charlestown, South Carolina, September 29. (1757, November 14). New-York Gazette, or Weekly Post-Boy (773)"	"Charlestown, South Carolina, September 29. (1757, November 14). New-York Gazette, or Weekly Post-Boy (773), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAEBAFB577F70%402363109-10DAAEBB496B3970%401-10DAAEBC8E2AC520%40Charlestown%252C%2BSouth%2BCarolina%252C%2BSeptember%2B29."	
14 Nov 1757	Pre 773	"Charlestown, South-Carolina, September 29."	"New-York Gazette, or Weekly Post-Boy (773)"	 			"Charlestown, South-Carolina, September 29. (1757, November 14"	"Charlestown, South-Carolina, September 29. (1757, November 14). New-York Gazette, or Weekly Post-Boy (773)"	"Charlestown, South-Carolina, September 29. (1757, November 14). New-York Gazette, or Weekly Post-Boy (773), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DE9477EF387870%402363109-10DE94782CE679F0%401-10DE947924098660%40Charlestown%252C%2BSouth-Carolina%252C%2BSeptember%2B29."	
14 Nov 1757	Pre 773	"Charlestown, South Carolina, September 29."	"New-York Gazette, or Weekly Post-Boy (773)"	 			"Charlestown, South Carolina, September 29. (1757, November 14"	"Charlestown, South Carolina, September 29. (1757, November 14). New-York Gazette, or Weekly Post-Boy (773)"	"Charlestown, South Carolina, September 29. (1757, November 14). New-York Gazette, or Weekly Post-Boy (773), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAEBAFB577F70%402363109-10DAAEBB496B3970%401-10DAAEBC8E2AC520%40Charlestown%252C%2BSouth%2BCarolina%252C%2BSeptember%2B29."	
14 Nov 1757	Pre 773	"Charlestown, South-Carolina, September 29."	"New-York Gazette, or Weekly Post-Boy (773)"	 			"Charlestown, South-Carolina, September 29. (1757, November 14"	"Charlestown, South-Carolina, September 29. (1757, November 14). New-York Gazette, or Weekly Post-Boy (773)"	"Charlestown, South-Carolina, September 29. (1757, November 14). New-York Gazette, or Weekly Post-Boy (773), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAEBDB6BA8368%402363109-10DAAEBDF5D17358%401-10DAAEBF41552020%40Charlestown%252C%2BSouth-Carolina%252C%2BSeptember%2B29."	
3 Dec 1757	Bur sn	"""News."""	London Chronicle	Sp assault / raid				"""News."" London Chronicle, December 1, 1757 - December 3, 1757"	"""News."" London Chronicle, December 1, 1757 - December 3, 1757. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001663824/BBCN?u=camb55135&sid=BBCN&xid=a1e27665. Accessed 16 Feb. 2021."	
14 Aug 1758	Pre 313	"Extract of a Letter from Kingston, in Jamaica, Dated July 8."	New-York Mercury (313)				"Extract of a Letter from Kingston, in Jamaica, Dated July 8. (1758, August 14"	"Extract of a Letter from Kingston, in Jamaica, Dated July 8. (1758, August 14). New-York Mercury (313)"	"Extract of a Letter from Kingston, in Jamaica, Dated July 8. (1758, August 14). New-York Mercury (313), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEB948F3572A8%40EANX-10DEF07A0FF3A610%402363382-10DEF07A506ED920%402-10DEF07B13A7C8B8%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BKingston%252C%2Bin%2BJamaica%252C%2BDated%2BJuly%2B8."	
23 Oct 1758	Pre 62	"New-York, October 16."	Boston Post-Boy (62)	All well ?			"New-York, October 16. (1758, October 23"	"New-York, October 16. (1758, October 23). Boston Post-Boy (62)"	"New-York, October 16. (1758, October 23). Boston Post-Boy (62), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-108D818999A70058%402363452-108D8189DC46DC70%402-108D818A94E899A0%40New-York%252C%2BOctober%2B16."	
22 Jan 1759	Pre 1221	"Extract of a Letter from the Bay of Honduras, Nov. 19."	Boston Evening-Post (1221)	Sp siege	Baymen panic		"Extract of a Letter from the Bay of Honduras, Nov. 19. (1759, January 22"	"Extract of a Letter from the Bay of Honduras, Nov. 19. (1759, January 22). Boston Evening-Post (1221)"	"Extract of a Letter from the Bay of Honduras, Nov. 19. (1759, January 22). Boston Evening-Post (1221), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-108B7068AAF9A1F8%402363543-108B7069202EC8E8%403-108B706A3232F7A8%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2Bthe%2BBay%2Bof%2BHonduras%252C%2BNov.%2B19."	
16 Apr 1759	Pre 1233	"New-York, April 9. 1759."	Boston Evening-Post (1233)	Baymen panic			"New-York, April 9. 1759. (1759, April 16"	"New-York, April 9. 1759. (1759, April 16). Boston Evening-Post (1233)"	"New-York, April 9. 1759. (1759, April 16). Boston Evening-Post (1233), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-108B70A4BB46B2A8%402363627-108B70A4CCD120C0%400-108B70A54EC1E4A0%40New-York%252C%2BApril%2B9.%2B1759."	
11 Jun 1759	Pre 1241	"Extract of a Letter from the Bay of Honduras, April 23."	Boston Evening-Post (1241)	Baymen panic	Log scarce		"Extract of a Letter from the Bay of Honduras, April 23. (1759, June 11"	"Extract of a Letter from the Bay of Honduras, April 23. (1759, June 11). Boston Evening-Post (1241)"	"Extract of a Letter from the Bay of Honduras, April 23. (1759, June 11). Boston Evening-Post (1241), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-108B713A728BF4E8%402363683-108B713AA34674E0%401-108B713B804A3800%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2Bthe%2BBay%2Bof%2BHonduras%252C%2BApril%2B23."	
20 Aug 1759	Pre 1251	"New-York, August 13."	Boston Evening-Post (1251)				"New-York, August 13. (1759, August 20"	"New-York, August 13. (1759, August 20). Boston Evening-Post (1251)"	"New-York, August 13. (1759, August 20). Boston Evening-Post (1251), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-108B71F730182628%402363753-108B71F78B315370%403-108B71F868636E88%40New-York%252C%2BAugust%2B13."	
27 Aug 1759	Pre 28	"Charles-Town, in South-Carolina, July 21."	New-York Gazette (28)	Log scarce ?			"Charles-Town, in South-Carolina, July 21. (1759, August 27"	"Charles-Town, in South-Carolina, July 21. (1759, August 27). New-York Gazette (28)"	"Charles-Town, in South-Carolina, July 21. (1759, August 27). New-York Gazette (28), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D348D9B0AD3268%40EANX-10D3756C061D5E60%402363760-10D3756C11F029C0%400-10D3756C756DA490%40Charles-Town%252C%2Bin%2BSouth-Carolina%252C%2BJuly%2B21."	
20 Sep 1759	Pre 2038	"Since Our Last Was Have Received from South-Carolina, the following Late Advices, Viz."	Boston News-Letter (2038)				"Since Our Last Was Have Received from South-Carolina, the following Late Advices, Viz. (1759, September 20"	"Since Our Last Was Have Received from South-Carolina, the following Late Advices, Viz. (1759, September 20). Boston News-Letter (2038)"	"Since Our Last Was Have Received from South-Carolina, the following Late Advices, Viz. (1759, September 20). Boston News-Letter (2038), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-1056690E53DF4176%402363784-1056690EB153FDF6%403-1056690F8FED9607%40Since%2BOur%2BLast%2BWas%2BHave%2BReceived%2Bfrom%2BSouth-Carolina%252C%2Bthe%2Bfollowing%2BLate%2BAdvices%252C%2BViz."	
17 Nov 1759	Bur sn	"""News."""	London Chronicle	Sp assault / raid				"""News."" London Chronicle, November 15, 1759 - November 17, 1759"	"""News."" London Chronicle, November 15, 1759 - November 17, 1759. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000604820/BBCN?u=camb55135&sid=BBCN&xid=fa2501d9. Accessed 16 Feb. 2021."	
11 Feb 1760	Pre 1276	"Extract of a Letter from an Inhabitant at the Bay of Honduras, to His Friend at Jamaica."	Boston Evening-Post (1276)	Sp raid	Baymen engage Sp		"Extract of a Letter from an Inhabitant at the Bay of Honduras, to His Friend at Jamaica. (1760, February 11"	"Extract of a Letter from an Inhabitant at the Bay of Honduras, to His Friend at Jamaica. (1760, February 11). Boston Evening-Post (1276)"	"Extract of a Letter from an Inhabitant at the Bay of Honduras, to His Friend at Jamaica. (1760, February 11). Boston Evening-Post (1276), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-108B72AC5CF7D138%402363928-108B72ACA4775F78%402-108B72AD6ADA7D50%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2Ban%2BInhabitant%2Bat%2Bthe%2BBay%2Bof%2BHonduras%252C%2Bto%2BHis%2BFriend%2Bat%2BJamaica."	
3 Mar 1760	Pre 394	"Boston, February 25."	New-York Mercury (394)	Sp raid			"Boston, February 25. (1760, March 3"	"Boston, February 25. (1760, March 3). New-York Mercury (394)"	"Boston, February 25. (1760, March 3). New-York Mercury (394), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEB948F3572A8%40EANX-10DEF12F27A45C78%402363949-10DEF12F818075E0%402-10DEF1301B614ED0%40Boston%252C%2BFebruary%2B25."	
3 Mar 1760	Pre 394	"Boston, February 25."	New-York Mercury (394)				"Boston, February 25. (1760, March 3"	"Boston, February 25. (1760, March 3). New-York Mercury (394)"	"Boston, February 25. (1760, March 3). New-York Mercury (394), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEB948F3572A8%40EANX-10DEF12F27A45C78%402363949-10DEF12F818075E0%402-10DEF1301B614ED0%40Boston%252C%2BFebruary%2B25."	
3 Mar 1760	Pre 56	"Boston, February 25."	New-York Gazette (56)				"Boston, February 25. (1760, March 3"	"Boston, February 25. (1760, March 3). New-York Gazette (56)"	"Boston, February 25. (1760, March 3). New-York Gazette (56), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D348D9B0AD3268%40EANX-10D375A776D8BDB0%402363949-10D375A7A1BF1578%401-10D375A84D6D83E8%40Boston%252C%2BFebruary%2B25."	
3 Mar 1760	Pre 56	"Boston, February 25."	New-York Gazette (56)				"Boston, February 25. (1760, March 3"	"Boston, February 25. (1760, March 3). New-York Gazette (56)"	"Boston, February 25. (1760, March 3). New-York Gazette (56), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D348D9B0AD3268%40EANX-10D375A776D8BDB0%402363949-10D375A7A1BF1578%401-10D375A84D6D83E8%40Boston%252C%2BFebruary%2B25."	
21 May 1764	Pre 1498	"New-York, May 14."	Boston Evening-Post (1498)	Sp restrict Log			"New-York, May 14. (1764, May 21"	"New-York, May 14. (1764, May 21). Boston Evening-Post (1498)"	"New-York, May 14. (1764, May 21). Boston Evening-Post (1498), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-108B71BC57714050%402365489-108B71BCA3BEAA50%401-108B71BD3832E6E0%40New-York%252C%2BMay%2B14."	
7 Jun 1764	Pre 3146	"From the Newport Mercury, of Monday Last, 4th of June. Newport, Rhode-Island, June 4."	Boston News-Letter (3146)	Sp restrict Log			"From the Newport Mercury, of Monday Last, 4th of June. Newport, Rhode-Island, June 4. (1764, June 7"	"From the Newport Mercury, of Monday Last, 4th of June. Newport, Rhode-Island, June 4. (1764, June 7). Boston News-Letter (3146)"	"From the Newport Mercury, of Monday Last, 4th of June. Newport, Rhode-Island, June 4. (1764, June 7). Boston News-Letter (3146), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105B58995963CB77%402365506-105B589987FB4FE7%401-105B589A27FC79F5%40From%2Bthe%2BNewport%2BMercury%252C%2Bof%2BMonday%2BLast%252C%2B4th%2Bof%2BJune.%2BNewport%252C%2BRhode-Island%252C%2BJune%2B4."	
11 Jun 1764	Pre 288	"New-Port, (in Rhode-Island) June 4."	New-York Gazette (288)				"New-Port, (in Rhode-Island) June 4. (1764, June 11"	"New-Port, (in Rhode-Island) June 4. (1764, June 11). New-York Gazette (288)"	"New-Port, (in Rhode-Island) June 4. (1764, June 11). New-York Gazette (288), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D348D9B0AD3268%40EANX-10D3762598171570%402365510-10D37625E2D30A00%402-10D376268B179D68%40New-Port%252C%2B%2528in%2BRhode-Island%2529%2BJune%2B4."	
