Press: Table 1
Date	Link	Headline	Paper	Desc	Desc				Add	
31 Aug 1723	Bur sn	"""News."""	British Journal	Pir assault			8	"""News."" British Journal, 31 Aug. 1723"	"""News."" British Journal, 31 Aug. 1723. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000121741/BBCN?u=camb55135&sid=BBCN&xid=eacaaa33. Accessed 16 Feb. 2021."	
31 Aug 1723	Bur sn	"""News."""	British Journal	Pir assault			8	"""News."" British Journal, 31 Aug. 1723"	"""News."" British Journal, 31 Aug. 1723. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000121741/BBCN?u=camb55135&sid=BBCN&xid=eacaaa33. Accessed 16 Feb. 2021."	
9 Nov 1723	Bur 263	"London, November 9."	Weekly Journal or Saturday’s Post (263)	Lowder assault					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001598245/GDCS?u=camb55135&sid=GDCS&xid=add0539c	
12 Jun 1724	Bur 7065	"St. Christopher’s, March 24."	Daily Courant (7065)	Pir mass					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000206697/GDCS?u=camb55135&sid=GDCS&xid=0ee0b542	
13 Jul 1724	Bur 1496	"London, July 13."	Daily Post (1496)	Sp seizures					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000266921/GDCS?u=camb55135&sid=GDCS&xid=9bd4026d	
15 Jul 1724	Bur 883	"London, July 15."	Parker’s London News or the Impartial Intelligencer (883)	Sp seizures					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001053062/GDCS?u=camb55135&sid=GDCS&xid=672c328a	
15 Jul 1724	Bur 883	"London, July 15."	Parker’s London News or the Impartial Intelligencer (883)	 					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001053062/GDCS?u=camb55135&sid=GDCS&xid=672c328a	
8 Aug 1724	Bur 2347	"London, Aug 11."	Evening Post (1709) (2347)	Sp siege					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001373336/GDCS?u=camb55135&sid=GDCS&xid=183b8f24	
8 Aug 1724	Bur 99	"Letter by Captain Hawkins to One of his Owners; … Benacca, April 26. 1724."	British Journal (99)	Pir assault					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000122736/GDCS?u=camb55135&sid=GDCS&xid=85f55cc4	
10 Aug 1724	Bur 1520	"New-York, June 10."	Daily Post (1520)	Sp seizures					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000267001/GDCS?u=camb55135&sid=GDCS&xid=d4b181f2	
10 Dec 1724	Pre 1089	"Rhode-Island, Decemb. 4."	Boston News-Letter (1089)	Sprigs assault			"Rhode-Island, Decemb. 4. (1724, December 10"	"Rhode-Island, Decemb. 4. (1724, December 10). Boston News-Letter (1089)"	"Rhode-Island, Decemb. 4. (1724, December 10). Boston News-Letter (1089), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105664066A202F41%402351082-105664068E423D80%401-10566406D21B6270%40Rhode-Island%252C%2BDecemb.%2B4."	
15 Jan 1725	Bur 1656	"London, January 15."	Daily Post (1656)	Pir assault					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000267588/GDCS?u=camb55135&sid=GDCS&xid=84f87a80	
25 Jan 1725	Bur 7262	"Rhode-Island, Dec. 4."	Daily Courant (7262)	Sprigs assault					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000207604/GDCS?u=camb55135&sid=GDCS&xid=29cb2c41	
30 Jan 1725	Bur 124	"Rhode-Island, Dec. 4."	British Journal (124)						https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000123226/GDCS?u=camb55135&sid=GDCS&xid=01847152	
30 Jan 1725	Bur sn	"""News."""	Weekly Journal or Saturday's Post	Spriggs assault			1	"""News."" Weekly Journal or Saturday's Post, 30 Jan. 1725"	"""News."" Weekly Journal or Saturday's Post, 30 Jan. 1725. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001599245/BBCN?u=camb55135&sid=BBCN&xid=1847bdd7. Accessed 16 Feb. 2021."	
8 May 1725	Bur 2	"London, May 8."	Mist’s Weekly Journal (2)	"Spriggs, Shipton assault"					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000786052/GDCS?u=camb55135&sid=GDCS&xid=80232b8a	
8 May 1725	Bur 7351	"Newport in Rhode-Island, Feb. 5."	Daily Courant (7351)	Shipton assault					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000208080/GDCS?u=camb55135&sid=GDCS&xid=377ea82e	
8 May 1725	Bur sn	"""News."""	Daily Courant	Shipton assault				"""News."" Daily Courant, 8 May 1725"	"""News."" Daily Courant, 8 May 1725. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000208080/BBCN?u=camb55135&sid=BBCN&xid=71bcf525. Accessed 16 Feb. 2021."	
10 Feb 1726	Bur sn	"""News."""	Evening Post [1709]	Pir seizure				"""News."" Evening Post [1709], February 8, 1726 - February 10, 1726"	"""News."" Evening Post [1709], February 8, 1726 - February 10, 1726. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001374115/BBCN?u=camb55135&sid=BBCN&xid=78de1ae4. Accessed 16 Feb. 2021."	
28 Aug 1727	Pre XXIII	"New-York, August 21."	New-England Weekly Journal (XXIII)				"New-York, August 21. (1727, August 28"	"New-York, August 21. (1727, August 28). New-England Weekly Journal (XXIII)"	"New-York, August 21. (1727, August 28). New-England Weekly Journal (XXIII), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108C1BB941096180%40EANX-108C9B2DB0047330%402352073-108C9B2E0364A700%401-108C9B2E935ED8D8%40New-York%252C%2BAugust%2B21."	
16 Jan 1729	Bur 2504	"London, January 16."	Daily Journal (2504)	Sp seizures					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000246523/GDCS?u=camb55135&sid=GDCS&xid=6aaaf9e9	
8 May 1729	Bur 2600	"Boston in New-England, March 29."	Daily Journal (2600)	"Sp, Pir seizures"					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000247051/GDCS?u=camb55135&sid=GDCS&xid=bc3f1bb7	
11 Oct 1729	Bur 532	"Boston in New-England, Aug 18."	London Journal (1720) (532)	Sp assault	Sp siege				https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001387504/GDCS?u=camb55135&sid=GDCS&xid=f8cc9bdf	
13 Aug 1730	Bur 2996	"Philadelphia in Pensilvania, June 18."	Daily Journal (2996)	Sp seizures					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000248933/GDCS?u=camb55135&sid=GDCS&xid=6a53d5c3	
3 May 1731	Bur 3221	London.	Daily Journal (3221)	Sp seizures					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000250215/GDCS?u=camb55135&sid=GDCS&xid=3c515fad	
12 May 1731	Bur 3229	London.	Daily Journal (3229)	Sp seizures					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000250275/GDCS?u=camb55135&sid=GDCS&xid=9e57463e	
26 Jul 1731	Pre CCXXVII	"New-York, July 22."	New-England Weekly Journal (CCXXVII)	Sp seizures	Sp siege		"New-York, July 22. (1731, July 26"	"New-York, July 22. (1731, July 26). New-England Weekly Journal (CCXXVII)"	"New-York, July 22. (1731, July 26). New-England Weekly Journal (CCXXVII), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108C1BB941096180%40EANX-108C9B1D72A6DF88%402353501-108C9B1DB61473B0%401-108C9B1E2C6B1BE8%40New-York%252C%2BJuly%2B22."	
