Series T 1—781 / Foreign markets.
ID	NO	START 1	US GDP	CF 13	UK GDO	CF 14	END	
T 225	225	1742	xnp	xnp	xnp	xnp	###	
T 227	227	1743	xnp	xnp	xnp	xnp	###	
T 229	229	1744	xnp	xnp	xnp	xnp	###	
T 231	231	1745	xnp	xnp	xnp	xnp	###	
T 233	233	1746	xnp	xnp	xnp	xnp	###	
T 235	235	1747	xnp	xnp	xnp	xnp	###	
T 237	237	1748	xnp	xnp	xnp	xnp	###	
T 239	239	1749	xnp	xnp	xnp	xnp	###	
T 241	241	1750	xnp	xnp	xnp	xnp	###	
T 243	243	1751	xnp	xnp	xnp	xnp	###	
T 245	245	1752	xnp	xnp	xnp	xnp	###	
T 247	247	1753	xnp	xnp	xnp	xnp	###	
T 249	249	1754	xnp	xnp	xnp	xnp	###	
T 251	251	1755	xnp	xnp	xnp	xnp	###	
T 253	253	1756	xnp	xnp	xnp	xnp	###	
T 255	255	1757	xnp	xnp	xnp	xnp	###	
T 257	257	1758	xnp	xnp	xnp	xnp	###	
T 259	259	1759	xnp	xnp	xnp	xnp	###	
T 261	261	1760	xnp	xnp	xnp	xnp	###	
T 263	263	1761	xnp	xnp	xnp	xnp	###	
T 265	265	1762	xnp	xnp	xnp	xnp	###	
T 267	267	1763	xnp	xnp	xnp	xnp	###	
T 269	269	1764	xnp	xnp	xnp	xnp	###	
T 271	271	1765	xnp	xnp	xnp	xnp	###	
T 273	273	1766	xnp	xnp	xnp	xnp	###	
T 275	275	1767	xnp	xnp	xnp	xnp	###	
T 277	277	1768	xnp	xnp	xnp	xnp	###	
T 279	279	1769	xnp	xnp	xnp	xnp	###	
T 281	281	1770	xnp	xnp	xnp	xnp	###	
T 283	283	1771	xnp	xnp	xnp	xnp	###	
T 285	285	1772	xnp	xnp	xnp	xnp	###	
T 287	287	1773	xnp	xnp	xnp	xnp	###	
T 289	289	1774	xnp	xnp	xnp	xnp	###	
T 291	291	1775	xnp	xnp	xnp	xnp	###	
T 293	293	1776	xnp	xnp	xnp	xnp	###	
T 295	295	1777	xnp	xnp	xnp	xnp	###	
T 297	297	1778	xnp	xnp	xnp	xnp	###	
T 299	299	1779	xnp	xnp	xnp	xnp	###	
T 301	301	1780	xnp	xnp	xnp	xnp	###	
T 303	303	1781	xnp	xnp	xnp	xnp	###	
T 305	305	1782	xnp	xnp	xnp	xnp	###	
T 307	307	1783	xnp	xnp	xnp	xnp	###	
T 309	309	1784	xnp	xnp	xnp	xnp	###	
T 311	311	1785	xnp	xnp	xnp	xnp	###	
T 313	313	1786	xnp	xnp	xnp	xnp	###	
