Errors: A1—14 / False positives or false negatives in archival material.
ID	NO	START	END	SOURCE	TYPE	DESCRIPTION	NOTE	
B20		Biblioteca Cervantina	Mexico	xxx	xxx	1	"130,000"	xxx	i		
B21		Bilbioteca Nacional de México	Mexico	xxx	xxx	1	"1,560,000"	xxx	i		
B22		Hemeroteca Nacional de México	Mexico	xxx	xxx	1	xxx	xxx			
B23		Archivo Histórico de Mérida	Mexico	xxx	xxx	1	xxx	xxx			
B24		Archivo General del Estado de Yucatán	Mexico	xxx	xxx	1	xxx	xxx			
B25		Biblioteca Yucatanense	Mexico	xxx	xxx	1	xxx	xxx			


Collections: C1—30 / Online collections of archival material.
ID		COLLECTION	BEG	END	REPOSITORY	PUBLISHER	REC	DIGITISED	TYPE	NOTE	
C9		American Historical Periodicals	1607	1940	AAS	Gale	R	"7,000,000"	p		
C16		Archives Unbound	1500	2000	VAR	Gale	R	361	v		
C10		Associated Press Collections Online	1915	2009	AP	Gale	R	"1,910,000"	p		
C18		"British History Online, Version 5"	1000	1832	VAR	IHR	K	"1,300"	v		
C12		British Library Newspapers	1732	1950	BL	Gale	R	"6,350,000"	p		
C22		British Periodicals	1681	2007	xxx	ProQuest	R	490	t		
C11		Burney Collection	1604	1804	BL	Gale	R	"1,000,000"	p		
C6		Caribbean Blue Books	1824	1950	TNA	BOA	S	21	v		
C26		"Caribbean Newspapers, Series 1"	1718	1876	AAS	Readex	R	140	t		
C1		Colonial America	1606	1822	TNA	Adam Matthew	R	"1,450"	i		
C2		Confidential Print	1824	1961	TNA	Adam Matthew	R	371	i		
C14		Declassified Documents Online	1905	2002	TNA	Gale	R	"500,000"	p		
C29		Digital Library of the Caribbean	xxx	xxx	VAR	Smathers	R	"4,099,896"	p		
C25		"Early American Newspapers, Series 1"	1690	1876	AAS	Readex	R	"340,000"	i		
C28		"Early American Newspapers, Series 2—14"	1820	1922	VAR	Readex	R	xxx	xxx		
C21		Early English Books Online	1475	1700	VAR	ProQuest	R	"146,000"	i		
C20		Early European Books	1450	1700	VAR	ProQuest	R	"20,576,000"	p		
C19		Economist Intelligence Unit Country Reports Archive	1952	1995	EIU	ProQuest	R	662	i		
C3		Empire Online	1492	2007	VAR	Adam Matthew	R	970	i		
C4		Empire Studies	1734	1968	VAR	Adam Matthew	R	"1,132"	i		
C7		Factiva	1978	2021	VAR	Dow Jones	R	"33,000"	t		
C23		House of Commons Parliamentary Papers	1688	2021	xxx	ProQuest	R	"11,000,000"	p		
C24		House of Lords Parliamentary Papers	1800	1910	xxx	ProQuest	R	"2,100,000"	p		
C27		"Latin American Newspapers, Series 1—2"	1805	1922	CRL	Readex	R	300	t		
C5		Naval Office Shipping Lists	1678	1825	TNA	BOA	S	5	v		
C15		Sabin Americana	1500	1926	VAR	Gale	R	"13,000,000"	p		
C8		The British Newspaper Archive	1708	2009	BL	Findmypast	R	"41,900,432"	p		
C30		The London Gazette	1665	2021	TSO	TSO	R	"63,201"	i		
C13		The Times Digital Archive	1785	2014	News UK	Gale	R	"1,800,000"	p		
C17		"World Scholar, Latin America and the Caribbean"	xxx	xxx	VAR	Gale	R	"1,400,000"	p		


Local: C1—30 / Online collections of archival material.
ID	NO	ALT ID	VIA	ITEM	NOTE	
		FSP	Burdon 1	British and Foreign State Papers 1812–1814	Used for treaties	
		APC Col	Burdon 1	Act of the Privy Council (Colonial).		
		Hon Alm	Burdon 1	Honduras Almanacks		
		Annual Register	Burdon 1	"Annual Register, from 1765, compiled by McLeish"		
		Laws 1765–1810	Burdon 1	"Laws of Honduras, 1806–1810, compiled by Sir J. Burdon"		
		Laws 1857	Burdon 1	"Consolidated Digest of the Laws of British Honduras, 1765–1853, and Collection of the Laws passed in the First Legislative Assembly, 1854–1857. Sir John Alder Burdon, Lt. Monrad Sigfrid Metzgen. [Printed Belize 1857]"		
		MSR	Burdon 1	"Mosquito Shore Records, compiled by Herbert Thomson Grant"		
		PR 1	Burdon 1	Copies of eight Record Books 1774–1818 (bulk 1784–1796). Compiled by Hon. Charles Murray Murray-Aynesley and Sir J. Burdon		
		PCR	Burdon 1	"Police Court Records and Magistrates' Meetings, 1789–1793, compiled by Capt. Stanley Eric Woods, numbered 13 on fly leaf"		
		PRE	Burdon 1	"Private records, 1790–1792, compiled or held by Albert Barrow Dillon"		
		GCF	Burdon 1	"Grand Courts and Summary Courts F, 1790–1793, compiled by H. E. C. Cain"		
		MLA	Burdon 1	"Magistrates' Letters A, 1791–1800, compiled or held by Frederick Charles Peoley Bowen"		
		MMA 1	Burdon 1	"Magistrates' Meetings A1, 1793–1796, compiled by Sir J. Burdon"		
		MMA 2	Burdon 1	"Magistrates' Meetings A2, 1796–1805, compiled by Sir J. Burdon"		
		PRXY	Burdon 1	"Private Records XY, 1798–1815, compiled or held by M. S. Metzgen"		


Primary: C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	REPOSITORY	CITY	COUNTRY	VIA	NOTE	LINK	
		G	xxx	1794	2021		Gazette	Kingston	Jamaica							Gazettes 1794–1968 in CO 141		
		G	xxx	1861	2021		Gazette	Belmopan	Belize							"Gazettes 1861–1975 in CO 127
Gazettes 1976–Present in Archives and Records Service, or in Library Service
Published in Belize City 1861–xxx"		
		G	Lon G	1665	2021		London Gazette	London	UK							"Titles = The Oxford Gazette / The London Gazette
Published in Oxford 1665–xxx"		
