Storms: Storms w/in 150 nautical miles of Belize.
Name	Start	Parliament	Rainfall	150 mi	50 mi	0 mi	EM-DAT	EM-DAT Loss	EM-DAT Deaths	Max wind	Min press	Max cat	Max cat w/in	Data	Loss	Loss / GDP unit	GDP Prev yr	Ratio 00	Loss 2020 BZD	Deaths	Pop	Ratio 000	Impact sx	Impact f	Cost f	Impact c
Historical: Table 1
	Population	Spending BZ$	Imports BZ$	Exports BZ$	GDP BZ$	Name	Start	Name	Start	Name	Start	Pop loss	Spending loss	Trade loss	GDP loss
1834	0.0	"5,542,663.7"										0.0	0.0	0.0	0.0
1835	0.0	"5,294,113.5"										0.0	0.0	0.0	0.0
1836	"2,543.0"	"4,368,056.7"	"97,839,987.8"	"141,670,236.1"								0.0	0.0	0.0	0.0
1837	"3,320.0"	"4,616,391.8"	"104,088,610.8"	"97,240,479.5"								0.0	0.0	0.0	0.0
1838	"5,666.0"	"4,626,623.6"										0.0	0.0	0.0	0.0
1839	"7,935.0"	"4,167,196.9"										0.0	0.0	0.0	0.0
1840	"8,286.0"	"3,212,449.0"										0.0	0.0	0.0	0.0
1841	"8,653.0"	"3,312,621.4"										0.0	0.0	0.0	0.0
1842	"9,036.0"	"3,828,057.0"										0.0	0.0	0.0	0.0
1843	"9,436.0"	"4,768,089.7"										0.0	0.0	0.0	0.0
1844	"9,854.0"	"4,525,850.3"										0.0	0.0	0.0	0.0
1845	"10,809.0"	"5,597,333.7"	"83,514,408.9"	"86,198,694.7"								0.0	0.0	0.0	0.0
1846	"11,199.0"	"5,629,827.6"	"62,668,484.2"									0.0	0.0	0.0	0.0
1847	"11,603.0"											0.0	0.0	0.0	0.0
1848	"12,021.0"											0.0	0.0	0.0	0.0
1849	"12,454.0"											0.0	0.0	0.0	0.0
1850	"12,903.0"	"4,687,571.5"	"66,892,024.2"	"88,379,548.5"								0.0	0.0	0.0	0.0
1851	"13,368.0"	"4,783,232.1"	"101,767,108.1"	"53,997,290.0"								0.0	0.0	0.0	0.0
1852	"13,850.0"	"6,511,193.1"	"70,969,652.6"	"137,374,131.2"								0.0	0.0	0.0	0.0
1853	"14,349.0"	"5,555,847.1"	"63,333,781.0"	"110,374,565.0"								0.0	0.0	0.0	0.0
1854	"14,866.0"	"5,542,077.1"	"67,415,080.8"	"126,125,963.5"								0.0	0.0	0.0	0.0
1855	"15,402.0"	"5,826,891.1"	"66,497,149.5"	"125,306,465.1"								0.0	0.0	0.0	0.0
1856	"15,958.0"	"7,114,110.9"	"68,259,221.3"	"120,988,102.5"								0.0	0.0	0.0	0.0
1857	"16,534.0"	"7,528,407.7"	"76,422,056.2"	"125,223,454.0"		U	7 Sep 1857					0.0	"224,346.6"	"2,238,995.4"	0.0
1858	"17,130.0"	"7,540,975.5"	"64,981,411.5"	"118,888,118.8"								0.0	0.0	0.0	0.0
1859	"17,748.0"	"8,146,523.4"	"54,765,128.3"	"91,066,425.9"								0.0	0.0	0.0	0.0
1860	"18,388.0"	"9,257,528.8"	"61,411,026.8"	"96,617,772.7"								0.0	0.0	0.0	0.0
1861	"25,635.0"	"8,651,566.5"	"69,381,689.3"	"87,595,277.2"		U	28 Jul 1861					0.0	"257,816.7"	"1,566,203.6"	0.0
1862	"25,539.0"	"9,840,138.4"	"64,632,964.8"	"102,878,761.4"								0.0	0.0	0.0	0.0
1863	"25,443.0"	"9,051,622.4"	"83,984,594.7"	"123,453,738.9"								0.0	0.0	0.0	0.0
1864	"25,347.0"	"9,064,803.2"	"93,042,942.5"	"119,265,198.7"		U	26 Aug 1864					0.0	"270,131.1"	"2,132,461.8"	0.0
1865	"25,252.0"	"11,254,957.1"	"66,578,819.7"	"102,130,187.1"								0.0	0.0	0.0	0.0
1866	"25,157.0"	"9,300,351.7"	"50,607,337.9"	"82,978,633.4"								0.0	0.0	0.0	0.0
1867	"25,062.0"	"8,591,000.2"	"53,644,821.7"	"52,426,587.6"								0.0	0.0	0.0	0.0
1868	"24,968.0"	"11,297,304.6"	"50,537,519.4"	"57,925,421.9"								0.0	0.0	0.0	0.0
1869	"24,874.0"	"9,102,752.1"	"45,264,964.9"	"52,403,697.4"								0.0	0.0	0.0	0.0
1870	"24,780.0"	"7,850,090.8"	"55,188,054.5"	"51,492,044.9"								0.0	0.0	0.0	0.0
1871	"24,710.0"	"7,541,372.7"	"53,525,555.0"	"61,527,931.0"		U	16 Sep 1871					0.0	"224,732.9"	"1,100,119.4"	0.0
1872	"25,254.0"	"8,347,832.1"	"47,728,836.6"	"57,897,264.0"								0.0	0.0	0.0	0.0
1873	"25,810.0"	"9,409,771.3"	"64,710,466.7"	"59,344,159.5"								0.0	0.0	0.0	0.0
1874	"26,378.0"	"11,394,861.9"	"50,740,597.8"	"68,440,277.2"								0.0	0.0	0.0	0.0
1875	"26,959.0"	"11,852,627.1"	"50,883,088.3"	"58,774,681.7"								0.0	0.0	0.0	0.0
1876	"27,553.0"	"10,626,703.5"	"47,424,149.2"	"59,908,893.3"		U	17 Jul 1876					0.0	"316,675.8"	"1,071,171.0"	0.0
1877	"28,160.0"	"10,366,506.4"	"48,603,005.1"	"36,506,792.8"								0.0	0.0	0.0	0.0
1878	"28,780.0"	"12,907,142.1"	"57,331,111.3"	"39,222,610.5"								0.0	0.0	0.0	0.0
1879	"30,000.0"	"13,370,096.1"	"49,971,972.8"	"58,657,831.4"		U	10 Sep 1879					0.0	"398,428.9"	"1,048,802.0"	0.0
1880	0.0	"9,681,899.7"	"71,771,869.8"	"76,508,430.2"		U	9 Jun 1880					0.0	"288,520.6"	"1,367,970.7"	0.0
1881	"27,452.0"	"10,505,628.4"	"61,720,222.7"	"75,663,706.4"								0.0	0.0	0.0	0.0
1882	"27,802.0"	"11,360,906.6"	"70,465,034.2"	"75,836,101.2"								0.0	0.0	0.0	0.0
1883	"28,157.0"	"10,153,616.0"	"82,260,498.5"	"92,627,279.3"								0.0	0.0	0.0	0.0
1884	"28,516.0"	"13,782,354.1"	"74,243,305.9"	"99,219,759.4"								0.0	0.0	0.0	0.0
1885	"28,880.0"	"16,180,146.4"	"82,371,654.5"	"78,953,400.2"								0.0	0.0	0.0	0.0
1886	"29,248.0"	"14,911,968.7"	"56,248,522.6"	"66,758,137.3"								0.0	0.0	0.0	0.0
1887	"29,621.0"	"14,194,059.5"	"52,943,795.8"	"65,097,612.3"		U	2 Aug 1887					0.0	"422,983.0"	"1,163,945.3"	0.0
1888	"29,999.0"	"13,595,774.1"	"65,531,846.7"	"69,641,277.1"								0.0	0.0	0.0	0.0
1889	"30,382.0"	"14,064,746.0"	"84,063,005.1"	"97,246,684.5"		U	15 Oct 1889					0.0	"419,129.4"	"1,738,770.7"	0.0
1890	"30,769.0"	"14,624,866.6"	"91,450,261.2"	"92,983,886.1"								0.0	0.0	0.0	0.0
1891	"31,471.0"	"14,467,253.3"	"86,993,348.8"	"89,648,075.4"		U	14 Oct 1891					0.0	"431,124.1"	"1,602,907.6"	0.0
1892	"31,853.0"	"13,994,598.9"	"73,697,665.0"	"73,034,862.1"		U	5 Oct 1892					0.0	"417,039.0"	"1,305,863.3"	0.0
1893	"32,235.0"	"13,684,329.5"	"54,695,300.9"	"79,935,307.9"		U	4 Jul 1893					0.0	"407,793.0"	"1,429,243.3"	0.0
1894	"32,899.0"	"14,730,199.1"	"49,452,433.6"	"79,878,891.3"		U	9 Sep 1894					0.0	"438,959.9"	"1,428,234.6"	0.0
1895	"33,353.0"	"18,698,204.6"	"98,920,867.5"	"87,376,577.4"		U	25 Sep 1895					0.0	"557,206.5"	"1,562,293.2"	0.0
1896	"33,811.0"	"18,543,079.0"	"100,704,016.6"	"94,918,171.8"								0.0	0.0	0.0	0.0
1897	"34,276.0"	"21,484,114.9"	"95,662,111.5"	"94,470,801.7"		U	2 Sep 1898	U	12 Sep 1898	U	27 Oct 1898	0.1	"1,920,679.9"	"5,067,413.8"	0.0
1898	"34,747.0"	"20,275,478.2"	"84,011,860.2"	"86,277,768.0"								0.0	0.0	0.0	0.0
1899	"35,226.0"	"17,451,325.9"	"68,596,826.6"	"85,032,954.2"								0.0	0.0	0.0	0.0
1900	"35,923.0"	"15,661,537.1"	"93,558,767.8"									0.0	0.0	0.0	0.0
1901	"38,315.0"	"16,326,222.7"	"88,268,382.3"	"78,065,214.3"								0.0	0.0	0.0	0.0
1902	"38,517.0"	"16,029,742.0"	"86,653,391.7"	"78,103,445.4"								0.0	0.0	0.0	0.0
1903	"38,721.0"	"16,724,718.2"	"111,458,872.7"	"116,500,815.9"								0.0	0.0	0.0	0.0
1904	"38,926.0"	"17,744,361.4"	"110,474,706.0"	"117,170,281.7"		U	28 Sep 1904					0.0	"528,782.0"	"2,095,004.6"	0.0
1905	"39,132.0"	"18,881,749.9"	"117,970,643.6"	"115,373,825.7"								0.0	0.0	0.0	0.0
1906	"39,339.0"	"20,207,530.8"	"138,337,818.6"	"126,925,704.7"		U	8 Oct 1906					0.0	"602,184.4"	"2,269,431.6"	0.0
1907	"39,547.0"	"21,016,179.4"	"150,249,782.0"	"137,519,103.6"								0.0	0.0	0.0	0.0
1908	"39,756.0"	"20,929,036.8"	"166,483,106.5"	"136,944,507.4"								0.0	0.0	0.0	0.0
1909	"39,966.0"	"26,509,774.6"	"166,424,619.7"	"135,947,585.2"								0.0	0.0	0.0	0.0
1910	"40,177.0"	"29,841,366.5"	"171,692,886.7"	"142,774,711.7"								0.0	0.0	0.0	0.0
1911	"40,458.0"	"26,755,963.2"	"175,801,029.8"	"163,570,519.6"								0.0	0.0	0.0	0.0
1912	"40,809.0"	"28,628,238.9"	"206,511,342.6"	"168,670,652.7"								0.0	0.0	0.0	0.0
1913	"41,170.0"	"30,805,976.0"	"190,032,681.2"	"186,504,377.6"								0.0	0.0	0.0	0.0
1914	"41,543.0"	"32,816,386.4"	"177,805,079.3"	"174,128,178.9"								0.0	0.0	0.0	0.0
1915	"41,904.0"	"28,571,900.0"	"114,216,752.8"	"118,837,601.7"								0.0	0.0	0.0	0.0
1916	"42,265.0"	"27,586,680.6"	"116,192,283.4"	"115,384,958.0"		U	27 Aug 1916					0.0	"822,083.1"	"2,063,083.0"	0.0
1917	"42,732.0"	"24,221,372.5"	"100,207,138.6"	"100,536,755.9"		U	6 Jul 1917					0.0	"721,796.9"	"1,797,597.2"	0.0
1918	"43,371.0"	"19,705,837.5"	"104,749,488.5"	"107,782,673.0"		U	22 Aug 1918					0.0	"587,234.0"	"1,927,154.2"	0.0
1919	"44,010.0"	"26,210,866.7"	"125,344,822.4"	"118,766,585.5"								0.0	0.0	0.0	0.0
1920	"44,649.0"	"21,463,637.6"	"135,802,816.2"	"116,598,603.5"								0.0	0.0	0.0	0.0
1921	"45,288.0"	"35,706,117.6"	"84,612,813.8"	"77,078,913.3"		U	16 Jun 1921					0.0	"1,064,042.3"	"1,378,171.0"	0.0
1922	"45,927.0"	"32,285,363.7"	"96,669,714.9"	"83,072,981.4"								0.0	0.0	0.0	0.0
1923	"46,527.0"	"37,618,288.6"	"126,205,586.9"	"100,149,649.2"								0.0	0.0	0.0	0.0
1924	"47,132.0"	"28,901,105.7"	"122,407,804.3"	"104,914,377.9"		U	18 Jun 1924					0.0	"861,253.0"	"1,875,869.1"	0.0
1925	"47,893.0"	"28,901,105.7"	"141,922,473.2"	"112,403,893.0"								0.0	0.0	0.0	0.0
1926	"48,584.0"	"32,900,889.8"	"160,088,196.4"	"124,160,271.0"		U	3 Oct 1926					0.0	"980,446.5"	"2,219,985.6"	0.0
1927	"49,288.0"	"32,234,672.4"	"146,074,578.3"	"147,705,905.5"								0.0	0.0	0.0	0.0
1928	"49,992.0"	"33,972,816.5"	"144,757,223.1"	"131,269,856.9"								0.0	0.0	0.0	0.0
1929	"50,696.0"	"33,555,590.9"	"166,088,510.5"	"159,555,236.9"								0.0	0.0	0.0	0.0
1930	"51,400.0"	"36,662,692.7"	"166,379,574.0"	"153,227,038.5"								0.0	0.0	0.0	0.0
1931	"52,104.0"	"36,495,314.8"	"165,171,283.9"	"108,457,907.4"		U	10 Aug 1931	U	11 Nov 1931			0.1	"2,175,120.8"	"3,878,454.8"	0.0
1932	"52,945.0"	"33,885,031.5"	"113,593,861.9"	"70,930,324.9"		U	25 Sep 1932	U	7 Oct 1932			0.1	"2,019,547.9"	"2,536,468.4"	0.0
1933	"53,770.0"	"35,462,940.1"	"70,745,865.2"	"43,743,626.6"		U	14 Jul 1933					0.0	"1,056,795.6"	"782,136.0"	0.0
1934	"54,744.0"	"40,339,711.8"	"67,505,596.5"	"53,644,447.4"		U	4 Jun 1934					0.0	"1,202,123.4"	"959,162.7"	0.0
1935	"55,448.0"	"49,393,629.6"	"97,848,866.9"	"62,251,198.7"								0.0	0.0	0.0	0.0
1936	"56,071.0"	"41,150,345.8"	"116,969,197.3"	"86,215,897.7"								0.0	0.0	0.0	0.0
1937	"56,893.0"	"41,521,981.9"	"137,242,944.4"	"89,781,901.2"								0.0	0.0	0.0	0.0
1938	"57,767.0"	"45,889,515.9"	"138,995,094.8"	"113,092,233.0"		U	10 Oct 1938					0.0	"1,367,507.6"	"2,022,089.1"	0.0
1939	"57,908.0"	"50,748,975.7"	"130,703,321.5"	"93,218,595.3"		U	12 Jun 1939					0.0	"1,512,319.5"	"1,666,748.5"	0.0
1940	"58,050.0"	"47,649,539.0"	"115,881,488.3"	"106,166,029.4"								0.0	0.0	0.0	0.0
1941	"58,192.0"	"38,348,356.6"	"118,213,550.5"	"105,770,018.9"		U	23 Sep 1941					0.0	"1,142,781.0"	"1,891,167.9"	0.0
1942	"58,334.0"	"48,238,703.8"	"116,495,158.0"	"75,135,229.1"		U	3 Aug 1942	U	15 Sep 1942	U	5 Nov 1942	0.1	"4,312,540.1"	"4,030,253.7"	0.0
1943	"58,477.0"		"161,708,567.7"	"106,544,155.6"		U	20 Oct 1943					0.0	0.0	"1,905,009.5"	0.0
1944	"58,620.0"	"62,265,141.7"	"203,781,129.8"	"168,534,913.5"								0.0	0.0	0.0	0.0
1945	"58,763.0"	"64,643,936.5"	"211,037,954.1"	"132,550,073.0"		U	29 Aug 1945	U	2 Oct 1945			0.1	"3,852,778.6"	"4,739,990.6"	0.0
1946	"59,220.0"		"177,290,698.3"	"136,523,318.5"								0.0	0.0	0.0	0.0
1947	0.0	"71,064,623.6"	"211,398,564.0"	"150,085,107.2"								0.0	0.0	0.0	0.0
1948	0.0	"77,042,292.4"	"174,056,483.4"	"139,396,692.6"								0.0	0.0	0.0	0.0
1949	"65,354.0"	"84,854,519.8"	"123,963,445.8"	"100,700,569.9"								0.0	0.0	0.0	0.0
1950	"68,915.0"	"116,694,513.1"	"189,240,948.9"	"102,492,618.9"								0.0	0.0	0.0	0.0
1951	"70,741.0"	"87,723,046.4"	"245,065,124.1"	"123,134,295.7"								0.0	0.0	0.0	0.0
1952	"73,171.0"	"88,788,827.4"	"229,273,106.1"	"111,996,072.7"								0.0	0.0	0.0	0.0
1953	"75,778.0"	"97,061,390.2"	"206,540,942.1"	"131,517,937.5"								0.0	0.0	0.0	0.0
1954	"78,094.0"	"91,932,846.1"	"196,437,662.1"	"125,473,944.4"		GILDA	24 Sep 1954					0.1	"2,739,598.8"	"2,243,474.1"	0.0
1955	"80,888.0"	"93,951,047.8"	"236,576,390.4"	"135,066,142.5"								0.0	0.0	0.0	0.0
1956	"82,333.0"	"105,202,317.6"	"248,802,038.2"	"156,543,473.6"		FLOSSY	20 Sep 1956					0.1	"3,135,029.1"	"2,798,997.3"	0.0
1957	"85,098.0"	"121,330,111.3"	"229,055,936.4"	"135,592,437.7"								0.0	0.0	0.0	0.0
1958	"88,156.0"	"136,074,749.0"	"272,027,663.0"	"133,512,703.7"		GERDA	14 Sep 1958					0.1	"4,055,027.5"	"2,387,207.1"	0.0
1959	"89,486.0"	"152,181,743.7"										0.0	0.0	0.0	0.0
1960	"90,508.0"	"135,632,988.7"	"272,021,423.1"	"162,594,345.6"	"491,027,874.6"							0.0	0.0	0.0	0.0
1961	"93,586.0"	"130,408,981.3"	"317,855,444.4"	"173,597,792.2"	"518,578,252.3"	ANNA	17 Jul 1961					0.1	"3,886,187.6"	"3,103,928.5"	"15,453,631.9"
1962	"98,453.0"	"160,431,924.4"	"418,621,158.9"	"166,099,614.2"	"544,800,771.4"							0.0	0.0	0.0	0.0
1963	"100,165.0"	"226,736,368.2"	"362,817,118.3"	"244,551,528.9"	"570,097,704.5"							0.0	0.0	0.0	0.0
1964	"103,069.0"	"161,541,379.7"	"431,997,863.3"	"234,690,394.9"	"603,668,677.0"	U	5 Nov 1964					0.1	"4,813,933.1"	"4,196,264.3"	"17,989,326.6"
1965	"106,120.0"	"164,464,489.5"	"426,002,065.0"		"657,888,692.6"							0.0	0.0	0.0	0.0
1966	"109,348.0"	"183,467,067.2"	"454,068,949.9"	"224,829,260.9"	"707,735,109.6"							0.0	0.0	0.0	0.0
1967	"112,707.0"	"176,680,960.5"	"421,749,425.0"	"199,302,656.1"	"734,756,877.2"							0.0	0.0	0.0	0.0
1968	"116,065.0"				"667,932,941.0"							0.0	0.0	0.0	0.0
1969	"119,269.0"				"667,115,600.7"	FRANCELIA	29 Aug 1969					0.1	0.0	0.0	"19,880,044.9"
1970	"122,184.0"				"709,305,119.3"							0.0	0.0	0.0	0.0
1971	"124,795.0"				"756,430,440.9"	CHLOE	18 Aug 1971	EDITH	5 Sep 1971	LAURA	12 Nov 1971	0.3	0.0	0.0	"67,624,881.4"
1972	"127,152.0"				"817,268,692.7"							0.0	0.0	0.0	0.0
1973	"129,294.0"				"912,808,323.7"							0.0	0.0	0.0	0.0
1974	"131,305.0"				"1,082,897,983.5"	ORLENE	21 Sep 1974					0.1	0.0	0.0	"32,270,359.9"
1975	"133,264.0"				"1,134,928,289.7"	U	25 Sep 1975					0.1	0.0	0.0	"33,820,863.0"
1976	"135,143.0"				"880,913,582.1"							0.0	0.0	0.0	0.0
1977	"136,990.0"				"1,004,196,859.6"	FRIEDA	16 Oct 1977					0.1	0.0	0.0	"29,925,066.4"
1978	"138,975.0"				"1,080,900,092.0"							0.0	0.0	0.0	0.0
1979	"141,302.0"				"1,082,041,694.8"							0.0	0.0	0.0	0.0
1980	"144,142.0"	"142,001,680.2"	"527,188,430.5"	"412,904,865.0"	"1,242,561,244.5"	HERMINE	20 Sep 1980					0.1	"710,008.4"	"7,382,739.0"	"37,028,325.1"
1981	"147,572.0"	"155,359,048.3"	"593,647,244.1"	"407,998,453.3"	"1,115,657,999.6"							0.0	0.0	0.0	0.0
1982	"151,486.0"	"174,009,243.9"	"547,252,917.8"	"360,831,034.6"	"976,776,964.5"							0.0	0.0	0.0	0.0
1983	"155,820.0"	"202,709,129.7"	"585,493,506.3"	"428,715,032.8"	"997,779,318.9"							0.0	0.0	0.0	0.0
1984	"160,341.0"	"232,508,042.0"	"764,847,645.0"	"660,318,722.5"	"1,067,582,896.2"							0.0	0.0	0.0	0.0
1985	"164,918.0"	"240,019,682.1"	"647,001,428.2"	"496,321,445.7"	"1,022,666,820.2"							0.0	0.0	0.0	0.0
1986	"169,569.0"	"215,032,128.9"	"566,335,841.8"	"524,590,573.9"	"1,093,266,655.3"	U	1 Sep 1986					0.1	"1,075,160.6"	"9,379,679.5"	"32,579,346.3"
1987	"174,333.0"	"195,722,827.8"	"637,097,135.8"	"596,832,865.1"	"1,279,732,710.3"							0.0	0.0	0.0	0.0
1988	"179,023.0"	"181,348,716.3"	"691,440,385.9"	"610,701,344.2"	"1,400,245,483.5"							0.0	0.0	0.0	0.0
1989	"183,471.0"	"193,520,111.3"	"811,845,637.6"	"661,590,260.9"	"1,540,416,867.5"							0.0	0.0	0.0	0.0
1990	"187,554.0"	"172,200,375.5"	"680,295,982.3"	"649,696,667.8"	"1,631,587,932.8"							0.0	0.0	0.0	0.0
1991	"191,136.0"	"178,317,170.6"		"594,390,568.6"	"1,689,258,557.6"							0.0	0.0	0.0	0.0
1992	"194,324.0"	"207,879,535.4"	"813,466,195.5"	"764,279,281.0"	"1,910,645,809.8"							0.0	0.0	0.0	0.0
1993	"197,625.0"	"283,574,120.6"	"958,945,079.1"	"892,186,029.7"	"2,004,909,396.4"	GERT	14 Sep 1993	U	21 Sep 1993			0.3	"2,835,741.2"	"31,904,572.4"	"119,492,600.0"
1994	"201,679.0"	"290,205,650.3"	"995,503,035.3"	"946,024,235.7"	"2,027,272,115.3"	U	24 Sep 1994					0.2	"1,451,028.3"	"16,914,913.3"	"60,412,709.0"
1995	"206,962.0"	"271,403,643.5"	"933,316,174.9"	"911,461,371.9"	"2,105,289,500.6"							0.0	0.0	0.0	0.0
1996	"213,660.0"	"274,467,378.9"	"975,637,748.4"	"970,543,598.1"	"2,115,401,131.1"							0.0	0.0	0.0	0.0
1997	"221,575.0"	"265,743,609.7"	"1,018,789,303.1"	"965,243,602.6"	"2,108,752,359.3"							0.0	0.0	0.0	0.0
1998	"230,248.0"	"263,802,965.4"	"1,047,808,659.8"	"967,812,137.6"	"2,186,572,716.5"							0.0	0.0	0.0	0.0
1999	"238,979.0"	"266,645,134.8"	"1,329,983,490.5"	"1,072,638,175.4"	"2,275,648,986.9"	KATRINA	28 Oct 1999					0.2	"1,333,225.7"	"19,178,770.6"	"67,814,339.8"
2000	"247,310.0"	"300,738,713.9"	"1,716,453,057.0"	"1,234,160,316.0"	"2,499,628,954.7"							0.0	0.0	0.0	0.0
2001	"255,068.0"	"329,845,990.3"	"1,740,855,338.9"	"1,281,540,143.8"	"2,536,981,298.9"							0.0	0.0	0.0	0.0
2002	"262,387.0"	"363,897,006.7"	"1,681,957,323.1"	"1,336,879,025.0"	"2,660,441,228.6"							0.0	0.0	0.0	0.0
2003	"269,428.0"	"352,708,596.9"	"1,590,600,835.5"	"1,283,001,614.2"	"2,765,757,934.3"							0.0	0.0	0.0	0.0
2004	"276,516.0"	"311,324,189.7"	"1,305,023,221.4"	"1,127,651,627.2"	"2,879,472,595.1"							0.0	0.0	0.0	0.0
2005	"283,798.0"	"332,786,741.7"	"1,443,887,690.0"	"1,258,844,908.2"	"2,919,287,421.4"							0.0	0.0	0.0	0.0
2006	"291,338.0"	"341,407,339.3"	"1,484,783,313.6"	"1,472,309,513.3"	"3,105,459,706.5"							0.0	0.0	0.0	0.0
2007	"299,031.0"	"338,398,895.5"	"1,377,628,190.2"	"1,374,842,782.7"	"3,172,646,111.6"	FELIX	31 Aug 2007					0.2	"1,691,994.5"	"24,582,189.0"	"94,544,854.1"
2008	"306,822.0"	"384,970,357.9"	"1,743,812,985.3"	"1,561,509,978.6"	"3,246,968,251.6"							0.0	0.0	0.0	0.0
2009	"314,655.0"	"459,588,465.8"	"1,624,719,660.9"	"1,491,813,473.9"	"3,176,448,053.2"							0.0	0.0	0.0	0.0
2010	"322,465.0"	"465,464,713.1"	"1,687,389,914.4"	"1,699,124,577.9"	"3,267,301,691.5"	MATTHEW	23 Sep 2010					0.3	"2,327,323.6"	"30,380,347.5"	"97,365,590.4"
2011	"330,236.0"	"438,655,574.8"	"1,797,183,019.2"	"1,749,420,161.5"	"3,359,579,690.8"	HARVEY	19 Aug 2011					0.3	"2,193,277.9"	"31,279,632.5"	"100,115,474.8"
2012	"338,001.0"	"440,960,239.0"	"1,821,860,234.3"	"1,840,398,342.2"	"3,431,391,560.5"	HELENE	9 Aug 2012					0.3	"2,204,801.2"	"32,906,322.4"	"102,255,468.5"
2013	"345,707.0"	"452,271,344.6"	"1,939,569,189.7"	"1,903,663,885.7"	"3,507,320,731.8"	BARRY	16 Jun 2013					0.3	"2,261,356.7"	"34,037,510.3"	"104,518,157.8"
2014	"353,366.0"	"436,948,154.3"	"1,856,302,835.9"	"1,772,303,526.2"	"3,633,579,558.7"	HANNA	21 Oct 2014					0.3	"2,184,740.8"	"31,688,787.0"	"108,280,670.8"
2015	"360,926.0"	"490,629,839.1"	"2,084,071,889.6"	"1,849,881,867.5"	"3,762,414,577.9"							0.0	0.0	0.0	0.0
2016		"610,218,323.7"	"2,237,143,548.4"	"1,910,015,131.5"	"3,826,113,798.0"							0.0	0.0	0.0	0.0
2017		"638,823,468.4"	"2,243,801,096.4"	"2,110,999,434.7"	"3,876,107,731.1"							0.0	0.0	0.0	0.0
2018		"646,325,195.9"	"2,143,421,197.3"	"2,132,130,187.2"	"3,854,969,501.0"							0.0	0.0	0.0	0.0
2019		"666,922,773.0"	"2,211,729,245.0"	"2,200,078,405.2"	"3,803,377,661.5"							0.0	0.0	0.0	0.0
2020												0.0	0.0	0.0	0.0
														0.0	0.0
cf		2015 figs		2015 figs								4.9	"41,734,559.41"	"73,291,851.93"	"1,141,371,710.93"
note															
													"1,214,663,562.86"		


BLUE-1-1: Table 1
	GDP US$	US$ to GBP			Population		CPI-U US	GDP 2020	GDP BZ	GOB consumption pc	Imports pc GDP	Exports pc GDP	Revenue	Expenditure	Imports	Exports	Lsd to BH$	US$ to BH$	Imports / A	Exports / A	Pub exp / A	Pub exp / A Lsd	Imports / A Lsd	Exports / A Lsd	Pub exp / A BH$	Imports / A BH$	Exports / A BH$	GDP / £	m-GDP / £	L£ CPI	Spending £	Imports £	Exports £		SUM	PER CAP
1834														16954.3.7								"16,954"								8.7	"1,987,710.3"				"1,987,710.3"	
1835													20071.12.6-six-sevenths	16566.0.6-two-sevenths								"16,566"								8.9	"1,898,575.3"				"1,898,575.3"	
1836					"2,543"								21187.14.11-two-sevenths	15204.12.6	340554.0.0	493115.0.0						"15,204"	"340,554"	"493,115"						9.9	"1,566,472.7"	"35,087,381.8"	"50,805,787.9"		"87,459,642.4"	"34,392.3"
1837					"3,320"								16601.18.6-six-sev	16393.3.8-two-sev	369623.0.0	345305.0.0						"16,393"	"369,623"	"345,305"						10.1	"1,655,530.7"	"37,328,263.4"	"34,872,386.1"		"73,856,180.2"	"22,245.8"
1838					"5,666"								15739.7.2	16592.16.4								 								10.2					0.0	0.0
1839					"7,935"								13752.15.4	15970.15.5								"15,970"								10.9	"1,494,440.4"				"1,494,440.4"	188.3
1840					"8,286"								12246.5.3	12537.8.5								"12,537"								11.1	"1,152,048.6"				"1,152,048.6"	139.0
1841					"8,653"								13880.3.8	12695.17.0								"12,695"								10.9	"1,187,972.5"				"1,187,972.5"	137.3
1842					"9,036"								12515.7.10	13459.8.10								"13,459"								10.0	"1,372,818.0"				"1,372,818.0"	151.9
1843					"9,436"								17229.0.5	14920.17.6								"14,920"								8.9	"1,709,932.6"				"1,709,932.6"	181.2
1844					"9,854"								17370.1.11	14162.7.7								"14,162"								8.9	"1,623,060.7"				"1,623,060.7"	164.7
1845					"10,809"								22372.16.0	18302.3.3	273073.16.9	281850.1.4						"18,302"	"273,073"	"281,850"						9.3	"2,007,316.1"	"29,949,941.9"	"30,912,580.6"		"62,869,838.7"	"5,816.4"
1846					"11,199"								21667.5.10	19200.7.1	213725.17.10							"19,200"	"213,725"							9.7	"2,018,969.1"	"22,474,175.3"			"24,493,144.3"	"2,187.1"
1847					"11,603"																									10.9					0.0	0.0
1848					"12,021"																									9.5					0.0	0.0
1849					"12,454"																									8.9					0.0	0.0
1850					"12,903"														197555	261015	13844	"13,844"	"197,555"	"261,015"						8.4	"1,681,057.1"	"23,988,821.4"	"31,694,678.6"		"57,364,557.1"	"4,445.8"
1851					"13,368"														289819	153777	13622	"13,622"	"289,819"	"153,777"						8.1	"1,715,363.0"	"36,495,725.9"	"19,364,511.1"		"57,575,600.0"	"4,307.0"
1852					"13,850"														202112	391223	18543	"18,543"	"202,112"	"391,223"						8.1	"2,335,044.4"	"25,451,140.7"	"49,265,118.5"		"77,051,303.7"	"5,563.3"
1853					"14,349"														198180	345377	17385	"17,385"	"198,180"	"345,377"						8.9	"1,992,438.2"	"22,712,764.0"	"39,582,532.6"		"64,287,734.8"	"4,480.3"
