Sheet 1: Table 1
	P	OCLC	ARCHON	CENSO	Cat 1	Cat 2
Lincolnshire Archives	UK		57		Discovery	
Lewisham Local History and Archives Centre	UK		89		Discovery	
"Leicestershire, Leicester and Rutland, Record Office for"	UK		56		Discovery	
Lancashire Archives	UK		55		Discovery	
Lambeth Palace Library	UK		109		Discovery	
Labour History Archive and Study Centre (People's History Museum/University of Central Lancashire)	UK				Discovery	
King's Own Scottish Borderers Regimental Museum	UK		892		Discovery	
Kent History and Library Centre	UK		51		Discovery	
Karpeles Manuscript Library	UK		1813		Discovery	
Isle of Wight Record Office	UK		189		Discovery	
Imperial War Museum Department of Documents	UK		62		Discovery	
Huntingdonshire Archives	UK				Discovery	
Historic England Archive	UK				Discovery	
Hertfordshire Archives and Local Studies	UK				Discovery	
Herefordshire Archive and Records Centre	UK				Discovery	
Hastings Museum and Art Gallery	UK				Discovery	
Hampshire Archives and Local Studies	UK				Discovery	
Hammersmith and Fulham Archives and Local History Centre	UK				Discovery	
Hackney Archives Department	UK				Discovery	
"Gwynedd Archives, Caernarfon Record Office"	UK				Discovery	
Greater Manchester County Record Office (with Manchester Archives)	UK				Discovery	
Gloucestershire Archives	UK				Discovery	
Future Histories - Black Performance and Carnival Archive	UK				Discovery	
Fleet Air Arm Museum	UK				Discovery	
Falmouth University: Archives and Special Collections	UK				Discovery	
Explore York Libraries & Archives	UK				Discovery	
Eton College	UK				Discovery	
Essex Record Office	UK				Discovery	
East Sussex Record Office	UK				Discovery	
East Riding of Yorkshire Archives and Local Studies Service	UK				Discovery	
Dorset History Centre	UK				Discovery	
Devon Archives and Local Studies Service (South West Heritage Trust)	UK				Discovery	
Derbyshire Record Office	UK				Discovery	
"Cumbria Archive Centre, Kendal"	UK				Discovery	
"Cumbria Archive Centre, Carlisle"	UK				Discovery	
"Cumbria Archive and Local Studies Centre, Barrow"	UK				Discovery	
Crimlisk Fisher Archive	UK				Discovery	
Coventry Archives & Research Centre	UK				Discovery	
Cornwall Record Office	UK				Discovery	
City of Westminster Archives Centre	UK				Discovery	
Chetham's Library	UK				Discovery	
Cheshire Archives and Local Studies	UK				Discovery	
Centre for Buckinghamshire Studies	UK				Discovery	
Canterbury Cathedral Archives	UK				Discovery	
Cambridgeshire Archives	UK				Discovery	
Cable & Wireless Archive	UK				Discovery	
Bury Museum and Archives	UK				Discovery	
Buckland Abbey	UK				Discovery	
Bristol Archives	UK				Discovery	
Bristol Aero Collections Trust	UK				Discovery	
Bolton Archives and Local Studies Service	UK				Discovery	
Bishopsgate Institute	UK				Discovery	
"Birmingham: Archives, Heritage and Photography Service"	UK				Discovery	
Birmingham Archdiocesan Archives	UK				Discovery	
Berwick-upon-Tweed Record Office	UK				Discovery	
Berkshire Record Office	UK				Discovery	
Bedfordshire Archives & Records Service	UK				Discovery	
Archifau Ynys Mon / Anglesey Archives	UK				Discovery	
Aerospace Bristol	UK				Discovery	
Archivo de la Corona de Aragón	Spain			6	PARES	
Archivo de la Real Chancillería de Valladolid	Spain			8	PARES	
Archivo General de Indias	Spain			10	PARES	
Archivo General de la Administración	Spain			4	PARES	
Archivo General de Simancas	Spain			2	PARES	
Archivo Histórico de la Nobleza	Spain			3	PARES	
Archivo Histórico Nacional 	Spain			9	PARES	
Centro Documental de la Memoria Histórica	Spain			1	PARES	
