"ISSN";"Title";"Geographical sphere";"Comprises"
"2605-4906";"El Cupido y La Luna";"Madrid";"4/7/1848"
"2171-178X";"Curiosidades y bellas artes";"Madrid";"15/01/1914"
"1889-8769";"La Dama (Madrid)";"Madrid";"Del 08/12/1907 al 01/02/1908. Del n. 1 al n. 2"
"1889-8777";"La Dama y la vida ilustrada";"Madrid";"Del 1908 al 03/1911. Del n. 1 al n. 13"
"2365-0079";"Darmstädter Zeitung";"Alemania";"Del n. 125 (5/5/1872) al n. 152 (2/6/1872)"
"2484-666X";"Datos estadísticos correspondientes al año económico de ...";"Madrid";"1890/1891"
"2172-3621";"El Debate (Madrid. 1881)";"Madrid";"Del 1/9/1881 al 19/6/1883"
"1131-1258";"El Debate médico";"Madrid";"Del 15/01/1861 al 31/12/1861. Del n. 1 al n. 24"
"1889-9552";"La Década homeopática";"Madrid";"Del 10/01/1854 al 28/02/1857"
"1131-4249";"Décadas de medicina y cirugía prácticas";"Madrid";"De 1822 a 1828. Del tomo 5, n. 1 al tomo 20, n. 9"
"1131-4265";"Décadas médico quirúrgicas";"Madrid";"1821. Del tomo 1, n. 1 al tomo 1, n. 9"
"1131-4257";"Décadas médico-quirúrgicas y farmacéuticas";"Madrid";"1821. Del tomo 2, n. 1 al tomo 4, n. 9"
"2171-1259";"Decretos del Rey Nuestro Señor";"Madrid";"Del 01/10/1823 al 26/01/1824"
"2660-1265";"La Defensa (Algeciras)";"Cádiz";"20/10/1911"
"2171-9977";"Defensa cristiana católica de la Constitución novísima de España";"Valladolid";"Del n. 1 (8/7/1820) al n. 42 (21/4/1821)"
"2660-2318";"El Defensor (Sevilla)";"Sevilla";"31/10/1910"
"2660-2083";"El Defensor de Fortuna";"Murcia";"26/11/1911"
"2660-1680";"Defensor de Guadix";"Granada";"19/8/1911"
"2171-8350";"El Defensor del contribuyente";"Madrid";"Del 10/11/1902 al 25/11/1914. Del n. 1 al n. 357"
"2605-3381";"El Defensor de los Pueblos";"Madrid";"Del 18/9/1903 al 31/12/1906. Del n. 1 al n. 121"
"1887-3227";"Deia (Bizkaia. 2006)";"Vizcaya";"2014-"
"1138-5472";"Deia (Ed. para Euskadi)";"Vizcaya";"Del 2/1/1999 al 31/12/1999"
"2171-1798";"Del Filósofo de Antaño en su gabinete";"Madrid";"1814. N. 7"
"2171-729X";"La Democracia (Madrid. 1879)";"Madrid";"Del 27/5/1879 al 21/11/1879"
"2386-9917";"Democracia (Madrid. 1935)";"Madrid";"Del 15/6/1935 al 13/12/1935"
"2172-0045";"Democracia artillera";"Madrid";"Del n. 12 (16/5/1937) al n. 16 (2/8/1937)"
"2171-7281";"El Demócrata (Madrid. 1879)";"Madrid";"Del 22/11/1879 al 23/10/1881"
"2445-0030";"Los Deportes (Bilbao)";"Vizcaya";"22/6/1916, n. 218"
"2174-9701";"El Deporte velocipédico";"Madrid";"Del 27/2/1895 al 30/12/1896. Del n. 1 al n. 103"
"2486-8027";"De pronto";"Cádiz";"Del 01/01/1813 al 02/01/1813. Del n. 2 al n. 18"
"2171-8008";"Desde la grada";"Madrid";"De 1918 a 1935"
"2255-5099";"El Desengaño";"Cádiz";"1808. N. 21"
"2171-617X";"De todas partes";"Barcelona";"Del n. 1 (11/5/1907) al n. 70 (5/9/1908)"
"2605-4302";"Dezine (Madrid)";"Madrid";"5/1980 y 7-8/1980"
"1133-245X";"El Día (Madrid. 1881)";"Madrid";"Del 25/05/1881 al 04/04/1908"
"1133-2476";"El Día (Madrid. 1916)";"Madrid";"Del 02/12/1916 al 31/12/1919"
"1138-7580";"El Día (Santa Cruz de Tenerife. Ed. impresa)";"Santa Cruz de Tenerife";"Del 2/7/1996 al 31/12/2010"
"2171-2581";"El Diablo (Madrid)";"Madrid";"Del 02/09/1848 al 21/10/1848"
"2171-1801";"Diablo mundo";"Madrid";"Del 28/04/1934 al 23/06/1934. Del n. 1 al n. 9"
"2254-500X";"El Diablo predicador";"Valencia";"Del 01/12/1820 al 25/01/1821. Del n. 1 al n. 25"
"2171-8423";"El Día de Córdoba";"Córdoba";"De 2002 a 2009. 2015-"
"2444-0604";"El Día de Cuenca";"Cuenca";"De 1999 a 2009"
"2529-9360";"El Día de León";"León";"2016-2018"
"1133-2468";"El Día de Madrid";"Madrid";"Del 06/04/1908 al 28/10/1916"
"2173-4267";"Día de moda";"Madrid";"Del 9/02/1880 al 17/01/1881. Del n. 1 al n. 50"
"2529-9689";"El Día de Salamanca";"Salamanca";"2016-2018"
"2445-4184";"El Día de Segovia";"Segovia";"2016-"
"2445-0278";"El Día de Soria";"Soria";"2016-"
"2444-0639";"El Día de Toledo";"Toledo";"De 1999 a 2009"
"2386-5024";"El Día de Valladolid";"Valladolid";"De 2002 a 2009. 2014-"
"9976-3877";"Diálogo patriótico";"México";"Del 01/01/1810 al 02/01/1810. Del n. 14 al n. 15"
"1696-3970";"La Diana (Madrid. 1882)";"Madrid";"Del 01/02/1883 al 22/01/1884"
"2341-524X";"Diari de Girona";"Gerona";"De 2006 a 2007"
"2444-0612";"Diari de Sabadell";"Barcelona";"De 1989 a 2009"
"2386-2289";"Diari de Tarragona (1986)";"Tarragona";"De 1999 a 2007"
"2444-104X";"Diari de Terrassa";"Barcelona";"De 1999 a 2007"
"2660-1605";"El Diario (Cieza)";"Murcia";"6/4/1911"
"2340-0587";"Diario 16";"Madrid";"Del 18/10/1976 al 07/11/2001"
"2171-0767";"Diario balear";"Baleares";"Del 1/11/1814 al 17/3/1820"
"2171-0783";"Diario balear (1823)";"Baleares";"Del 7/11/1823 al 22/8/1836"
"2488-8397";"Diario cívico-patriótico";"La Coruña";"Del n. 118 (1/3/1813) al n. 195 (29/5/1813)"
"2171-0775";"Diario constitucional de Palma";"Baleares";"Del 18/3/1820 al 5/11/1823"
"2171-0805";"Diario constitucional de Palma (1839)";"Baleares";"Del 01/10/1839 al 31/12/1851"
"2171-0791";"Diario constitucional de Palma de Mallorca";"Baleares";"Del 14/10/1836 al 30/9/1839"
"1696-666X";"Diario crítico de Sevilla";"Sevilla";"Del 08/09/1813 al 09/09/1813"
"1576-8759";"Diario crítico general de Sevilla";"Sevilla";"Del 05/01/1814 al 30/03/1815"
"1575-6025";"Diario curioso, erudito, económico y comercial";"Madrid";"Del 01/07/1786 al 31/12/1787"
"2254-5018";"Diario curioso, histórico, erudito, comercial, civil y económico";"Barcelona";"Del 13/06/1772 al 31/01/1773"
"1576-5253";"Diario de Alcalá";"Madrid";"De 1999 a 2005"
"2254-5026";"Diario de Alcorcón";"Madrid";"04/08/1808"
"2171-8415";"Diario de Almería";"Almería";"2015-"
"1578-8547";"Diario de Andalucía";"Sevilla";"Del 2/1/1999 al 15/6/2000"
"1578-8350";"El Diario de Ávila";"Ávila";"De 1999 a 2012. 2014-"
"2386-4613";"Diario de avisos (Santa Cruz de La Palma)";"Santa Cruz de Tenerife";"Del 22/6/1899 al 31/12/2010"
"2254-5034";"Diario de avisos de Granada";"Granada";"Del 29/08/1841 al 28/10/1841"
"1575-6041";"Diario de avisos de Madrid";"Madrid";"Del 01/01/1825 al 31/10/1847"
"2486-0476";"Diario de Badajoz (Badajoz. 1808)";"Badajoz";"Del 17/06/1808 al 03/03/1810"
"2254-5050";"Diario de Barcelona";"Barcelona";"Del 16/03/1820 al 05/11/1822"
"1576-5261";"Diario de Burgos";"Burgos";"De 1999 a 2009. 2014-"
"2173-9315";"Diario de Cádiz";"Cádiz";"De 1999 a 2009. 2015-"
"2341-4162";"Diario de Cataluña (Barcelona. 1852)";"Barcelona";"Del 23/7/1852 al 25/4/1853"
"2341-4197";"Diario de Cataluña (Barcelona. 1888)";"Barcelona";"Del 26/9/1889 al 17/6/1891"
"1576-6349";"Diario de Ferrol";"La Coruña";"De 2002 a 2007"
"2254-5069";"Diario de Gerona";"Gerona";"03/03/1809"
"1577-0192";"Diario de Granada (Granada. 1808)";"Granada";"Del 01/09/1808 al 08/12/1808"
"1578-6196";"Diario de Ibiza";"Baleares";"Del 1/8/1893 al 31/12/1999"
"2171-8296";"Diario de Jerez (Jerez. 1984)";"Cádiz";"De 1999 a 2009. 2015-"
"2254-5077";"Diario de Juan Verdades";"Sevilla";"Del 10/01/1813 al 03/04/1814"
"2341-409X";"Diario de la administración";"Madrid";"Del 1/1/1834 al 15/8/1834"
"2341-4057";"Diario de la capital";"Madrid";"Del 10/4/1823 al 24/5/1823"
"2171-181X";"Diario de la ciudad de Lérida";"Lérida";"07/05/1809"
"2171-150X";"Diario de la ciudad de Sevilla";"Sevilla";"02/01/1824"
"1576-9070";"Diario de La Coruña";"La Coruña";"Del 21/10/1808 al 21/10/1813"
"2219-7990";"Diario de La Habana";"Cuba";"Del n. 40 (10/10/1810) al n. 365 (31/12/1819)"
"2386-4656";"Diario del Altoaragón";"Huesca";"De 1999 a 2009. 2014-"
"1131-821X";"Diario de Las Palmas";"Las Palmas";"Del 2/1/1894 al 31/12/1999"
"2254-5220";"Diario de la tarde (Cádiz)";"Cádiz";"Del 24/03/1813 al 28/06/1814"
"2254-5239";"Diario de la tarde y censor general";"Cádiz";"28/06/1814. N. 569"
"1886-5410";"Diario del comercio (Madrid. 1834)";"Madrid";"Del 15/5/1834 al 31/5/1834"
"1889-6022";"Diario de León";"León";"2014-"
"2487-3861";"Diario de Lérida";"Lérida";"Del 1/1/1972 al 30/4/1976"
"0187-1099";"Diario del Gobierno de la República Mexicana (1835)";"México";"Del 6/10/1835 al 28/2/1846"
"0187-1110";"Diario del Gobierno de la República Mexicana (1846)";"México";"Del 7/8/1846 al 17/11/1860"
"0187-1080";"Diario del Gobierno de los Estados Unidos Mexicanos";"México";"Del 10/2/1835 al 5/10/1835"
"2486-4218";"Diario del gobierno de Salamanca y su provincia";"Salamanca";"Del 30/06/1813 al 21/09/1813"
"1576-9747";"Diario del Gobierno de Sevilla";"Sevilla";"Del 21/09/1812 al 06/08/1813"
"2486-4285";"Diario del imperio francés (Reimp. en Reus)";"Tarragona";"31/10/1813"
"2484-9790";"Diario de los literatos de España";"Madrid";"Del tomo 1 (1737) al tomo 7 (1738)"
"1575-6033";"Diario de Madrid (Madrid. 1788)";"Madrid";"Del 01/01/1788 al 31/03/1825"
"1578-6242";"Diario de Mallorca";"Baleares";"Del 2/6/1953 al 30/11/2018"
"2254-1667";"Diario de Mallorca (Palma de Mallorca. 1808)";"Baleares";"Del 15/08/1808 al 31/12/1814"
"2488-1813";"Diario de Manresa (Reimp. en Cádiz)";"Cádiz";"22/06/1808"
"9975-956X";"Diario de México";"México";"Del 07/08/1808 al 12/09/1813"
"1577-6301";"Diario de Navarra";"Navarra";"2014-"
"1577-6263";"Diario de Navarra (Ed. Tierra Estella)";"Navarra";"2014-"
"1577-6255";"Diario de Navarra (Ed. Tudela y Ribera)";"Navarra";"2014-"
"1576-5458";"Diario de noticias (Pamplona)";"Navarra";"1999, 200207-2003, 2014-"
"2171-0708";"Diario de Palma (1852)";"Baleares";"Del 1/1/1852 al 30/11/1856"
"2171-0813";"Diario de Palma (1861)";"Baleares";"Del 1/9/1861 al 2/3/1864"
"2171-0759";"Diario de Palma";"Baleares";"Del 13/10/1811 al 30/12/1813"
"2386-4109";"Diario de Pontevedra";"Pontevedra";"De 1999 a 2007. 2014-"
"2444-0655";"Diario de Sabadell";"Barcelona";"Del 2/4/1977 al 26/5/1989"
"2488-1740";"Diario de Santiago (Reimp. en Murcia)";"Murcia";"03/06/1808"
"2255-5110";"Diario de Sevilla (Sevilla. 1809)";"Sevilla";"31/12/1809. N. 83"
"1575-507X";"Diario de Sevilla (Sevilla. 1813)";"Sevilla";"Del 13/09/1813 al 29/12/1813. Del n. 44 al n. 149"
"2174-9620";"Diario de Sevilla (Sevilla. 1826)";"Sevilla";"Del 13/04/1829 al 18/09/1829"
"2171-4568";"Diario de Sevilla (Sevilla. 1999)";"Sevilla";"De 2002 a 2009. 2015-"
"1886-7014";"Diario de Soria";"Soria";"Del 29/4/1989 al 27/2/2006"
"2254-5255";"Diario de Tarragona";"Tarragona";"Del 08/12/1808 al 14/10/1809"
"2444-1759";"Diario de Teruel";"Teruel";"Del 2/1/1999 al 31/12/2009"
"2254-5263";"Diario de Valencia (Valencia. 1790)";"Valencia";"Del 20/01/1795 al 29/01/1833"
"2444-1139";"Diario de Valencia (Valencia. 1980)";"Valencia";"De 2002 a 2007"
"9973-0618";"Diario de Veracruz";"México";"Del 08/12/1822 al 28/02/1823"
"2660-0110";"Diario de Villanueva y Geltrú";"Barcelona";"25/10/1910"
"2254-5271";"Diario de Zaragoza";"Zaragoza";"21/11/1808"
"2254-528X";"Diario económico de la ciudad y provincia de Sevilla";"Sevilla";"Del 10/04/1821 al 11/12/1822"
"2254-5115";"Diario evangélico, histórico-político";"Barcelona";"Del 01/06/1772 al 06/06/1772"
"2254-5298";"Diario exacto de España en La Coruña";"La Coruña";"Del 01/10/1814 al 11/11/1814"
"2486-4269";"Diario gaditano de la libertad e independencia nacional, político mercantil, económico y literario";"Cádiz";"Del 21/10/1820 al 06/02/1821"
"1131-1045";"Diario general de las ciencias médicas o Colección periódica de noticias y discursos relativos á la medicina y ciencias auxiliares";"Barcelona";"Del 07/1826 al 31/12/1832"
"1576-9577";"Diario histórico y político de Sevilla";"Sevilla";"Del 25/2/1793 al 13/4/1793"
"2386-4869";"Diario La Grada";"Barcelona";"2/1/2017-"
"2487-3357";"Diario libre";"Madrid";"Del 14/2/1978 al 8/4/1978"
"2444-0825";"Diario Málaga Costa del Sol";"Málaga";"De 1999 a 2006"
"2486-4277";"Diario marítimo de la vigía";"Cádiz";"Del 01/08/1821 al 15/11/1821"
"2254-5301";"Diario mercantil de Cádiz";"Cádiz";"Del 15/03/1803 al 13/08/1828"
"2341-4081";"Diario mercantil y económico de Cataluña";"Barcelona";"Del 15/1/1825 al 31/5/1825"
"1577-5836";"Diario mercantil y marítimo de Cádiz";"Cádiz";"Del 2/1/1863 al 30/6/1863"
"2341-4995";"El Diario montañés";"Cantabria";"De 1999 a 2009. 2014-"
"2341-5010";"El Diario montañés. Camargo";"Cantabria";"2014-2019"
"2341-5053";"El Diario montañés. Campoo";"Cantabria";"2014-"
"2341-5037";"El Diario montañés. Cantabria Occidental";"Cantabria";"2014-2019"
"2603-669X";"El Diario montañés (Ed. Castro Urdiales)";"Cantabria";"2018-"
"2341-5045";"El Diario montañés. El Astillero";"Cantabria";"2014-2019"
"2341-5002";"El Diario montañés. Laredo-Asón";"Cantabria";"2014-"
"2341-5029";"El Diario montañés. Siete Villas";"Cantabria";"2014-"
"2386-5679";"El Diario montañés. Torrelavega";"Cantabria";"2014-"
"2445-0006";"El Diario montañés (Ed. Trasmiera, Cayón, Penagos)";"Cantabria";"2016-"
"2486-045X";"Diario napoleónico ...";"Madrid";"2/5/1808"
"1699-1710";"Diario Noticias de Álava";"Álava";"2014-"
"1575-6017";"Diario noticioso, curioso, erudito y comercial público y económico";"Madrid";"Del 01/02/1758 al 31/12/1781"
"2171-1496";"Diario noticioso de la ciudad de Sevilla";"Sevilla";"Del 14/05/1822 al 02/01/1824"
"2486-4242";"Diario observador de Zaragoza";"Zaragoza";"27/03/1822"
"2486-4250";"Diario observador zaragozano";"Zaragoza";"Del 03/08/1822 al 25/10/1822"
"1575-6009";"Diario oficial de avisos de Madrid";"Madrid";"Del 01/11/1847 al 30/06/1917"
"0187-1102";"Diario oficial del Gobierno Mexicano";"México";"Del 2/3/1846 al 6/8/1846"
"1579-5462";"Diario palentino (Palencia. 1998)";"Palencia";"De 1999 a 2009. 2014-"
"2486-4234";"Diario patriótico constitucional de La Coruña (Reimp. en Madrid)";"Madrid";"Del 15/03/1820 al 22/05/1820"
"1576-9860";"Diario patriótico de Cádiz";"Cádiz";"Del 11/08/1813 al 15/03/1814"
"1576-9097";"Diario patriótico de Sevilla";"Sevilla";"Del 22/10/1813 al 15/02/1815"
"2340-3004";"Diario pinciano";"Valladolid";"Del 02/1787 al 12/04/1788"
"2171-0740";"Diario político de Mallorca";"Baleares";"Del 15/06/1808 al 14/08/1808. Del n. 1 al n. 61"
"2254-531X";"Diario provincial de Valencia";"Valencia";"04/05/1814"
"2254-5328";"Diario redactor de Sevilla";"Sevilla";"Del 30/09/1812 al 27/10/1812"
"2173-0636";"El Diario vasco";"Guipúzcoa";"Del 2/1/1999 al 31/12/1999"
"2254-5352";"La Dinastía (Barcelona)";"Barcelona";"Del 14/10/1883 al 30/06/1904"
"0210-4520";"Dinero (1982)";"Madrid";"Del 24/12/1985 al 3/3/1989"
"1575-5061";"El Directorio eclesiástico y político de Sevilla";"Sevilla";"Del 03/07/1814 al 31/08/1814"
"2171-8261";"Directorio madrileño";"Barcelona";"De 1904 a 1908"
"2254-5573";"La Discusión (Madrid. 1856)";"Madrid";"Del 20/09/1856 al 11/11/1887. Del n. 1 al n. 3214"
"2255-1662";"Distribución de los premios concedidos por el Rey N. S. a los discípulos de las tres nobles artes, hecha por la Real Academia de S. Fernando";"Madrid";"1754 y 1808"
"2485-1795";"Documentos presentados a las Cortes en la legislatura de ... por el Ministro de Estado";"Madrid";"1898"
"2486-8035";"Documentos relativos a las últimas ocurrencias de Nueva España";"Madrid";"1821. Del n. 1 al n. 3"
"2173-2469";"El Domingo (Madrid. 1896)";"Madrid";"Del 06/12/1896 al 25/04/1897. Del n. 39 al n. 59"
"2660-0927";"El Domingo (Santa Olalla)";"Toledo";"13/8/1911"
"2171-5122";"Las Dominicales del libre pensamiento";"Madrid";"Del 04/02/1883 al 27/08/1909"
"2340-0862";"El Dominó negro (Madrid)";"Madrid";"Del n. 1 (3/5/1915) al n. 4 (24/5/1915)"
"2335-5522";"Don Circunstancias (Habana)";"Cuba";"Del 5/1/1879 al 25/12/1881"
"2077-2998";"Don Junípero (Habana. 1869)";"Cuba";"Del 19/09/1869 al 31/10/1869"
"2660-0137";"Don Pelmacio";"Murcia";"8/3/1911"
"2387-001X";"Don Quijote (Madrid. 1869)";"Madrid";"Del 5/1/1869 al 30/7/1869"
"2254-5581";"Don Quijote (Madrid. 1892)";"Madrid";"Del 31/01/1892 al 26/12/1902"
"2487-0420";"Doña Manuela";"Madrid";"26/9/1865"
"2659-868X";"Los Dos patriotas liberales";"España";"11/1868. N. 2 y n. 4"
"2255-2162";"Las Dos regiones";"Lugo";"Del 27/06/1908 al 17/07/1909"
"2486-3734";"El Duende (Cádiz)";"Cádiz";"N. 7. 1811. "
"1698-9228";"El Duende (Madrid. 1913)";"Madrid";"Del 02/11/1913 al 10/02/1934"
"2171-5157";"El Duende de los cafées";"Cádiz";"Del 01/08/1813 al 31/12/1813. Del n. 1 al n. 153"
"2171-3413";"El Duende homeopático";"Madrid";"Del 01/11/1850 al 20/11/1850. Del n. 1 al n. 3"
"1888-2943";"El Duende satírico del día";"Madrid";"Del 01/1828 al 12/1828"
"2487-3691";"Duero (Soria)";"Soria";"Del 2/1/1943 al 20/10/1945"
"2171-8059";"Eco (Madrid. 1933)";"Madrid";"Del n. 1 (1933) al n. 10 (1935)"
"2171-6226";"Eco artístico";"Madrid";"Del 25/10/1909 al 30/05/1923. Del n. 1 al n. 412"
"2341-4200";"El Eco de Barcelona";"Barcelona";"Del 8/4/1883 al 31/7/1883"
"2487-4124";"El Eco de Canarias";"Las Palmas";"Del 23/6/1963 al 13/2/1983"
"2173-9641";"Eco de Europa";"Madrid";"Del 10/1/1877 al 20/5/1877. Del n. 1 al n. 14"
"2171-3596";"El Eco de la construcción";"Madrid";"Del 06/05/1908 al 01/04/1913. Del n. 1 al n. 119"
"2387-0494";"El Eco de la producción";"Barcelona";"Del n. 1 (4/1880) al n. 116 (20/3/1886)"
"2172-9743";"El Eco de las ciencias";"Madrid";"Del n. 1 (2/1/1870) al n. 13 (27/3/1870)"
"2172-9751";"El Eco de las ciencias médicas";"Madrid";"Del n. 14 (7/4/1870) al n. 26 (30/6/1870)"
"0214-5197";"El Eco del comercio";"Madrid";"Del 01/05/1834 al 11/12/1849. Del n. 1 al n. 3045"
"2660-1923";"Eco de Levante (Alicante)";"Alicante";"2/6/1910"
"2172-7082";"El Eco de los arquitectos";"Madrid";"Del n. 1 (10/2/1870) al n. 64 (20/9/1872)"
"2660-2369";"El Eco del pueblo (Fuente de Cantos)";"Badajoz";"24/7/1911"
"2660-1427";"El Eco del pueblo (Talavera de la Reina)";"Toledo";"10/12/1911"
"2487-9924";"El Eco de Navarra";"Navarra";"Del 18/1/1883 al 8/12/1891"
"2695-3668";"El Eco de Padilla";"Madrid";"Del 1/8/1821 al 31/12/1821. Del n. 1 al 153"
"1699-504X";"Eco literario de Europa";"Madrid";"Del 1851 al 1852. Del n. 1 al n. 3"
"2660-146X";"El Eco mercantil";"Valladolid";"14/5/1911"
"1888-9654";"Ecomotor (Madrid)";"Madrid";"2016-"
"2340-3330";"Economía & empresa";"Barcelona";"Del 23/3/2015 al 29/4/2015"
"2486-9198";"Economía 16";"Madrid";"Del 4/4/1989 al 30/9/1989"
"2172-6752";"Economía española (Madrid. 1933)";"Madrid";"Del n. 1 (1/1933) al n. 41 (5/1936)"
"2173-4283";"La Economía nacional";"Madrid";"Del 15/9/1913 al 22/12/1917. Del n. 1 al n. 156"
"2386-4710";"El Economista.es (Ed. Cataluña)";"Barcelona";"2014-2018"
"2386-527X";"El Economista.es (Ed. nacional)";"Madrid";"2014-"
"1698-8736";"El Economista (Madrid. 1856)";"Madrid";"Del 5/2/1856 al 25/7/1857"
"2488-071X";"El Economista (Madrid. 1876)";"Madrid";"Del 8/5/1876 al 18/11/1876"
"0013-0656";"El Economista (Madrid. 1886)";"Madrid";"Del 08/07/1886 al 30/12/1886. Del n. 20 al n. 42"
"2173-4976";"El Economista español";"Madrid";"Del 09/01/1886 al 30/06/1886. Del n. 1 al n. 19"
"2171-5270";"El Economista hispano-americano";"Madrid";"Del n. 1 (1/4/1901) al n. 131 (2/10/1903)"
"2171-3294";"El Eco patronal";"Madrid";"Del 01/06/1922 al 01/05/1936. Del n. 1 al n. 311"
"2254-4674";"La Edad dichosa";"Madrid";"Del 01/1890 al 02/12/1892"
"2172-9859";"Edición satírica de El Céfiro";"Madrid";"Del n. 1 (22/5/1864) al n. 2 (29/5/1864)"
"2171-3421";"La Educación (Madrid. 1903)";"Madrid";"Del 10/06/1903 al 30/12/1912"
"2171-1828";"Educación pintoresca";"Madrid";"Del 1857 al 1859. Del n. 1 al n. 96"
"1888-2277";"La Educanda (Madrid)";"Madrid";"Del 01/05/1861 al 31/12/1865"
"2444-2739";"Efemérides de España";"Madrid";"Del n. 1 (1/1/1805) al n. 26 (29/3/1805)"
"1696-1420";"Egunero (Hernani. Argit. inprimatua)";"Guipúzcoa";"Del 2/4/2003 al 20/6/2003"
"2172-6922";"Electricidad y mecánica";"Valencia";"Del 10/1905 al 12/1920"
"2172-6914";"Electrón (Madrid. 1896)";"Madrid";"Del 5/2/1896 al 1/2/1918"
"2174-937X";"Electrón (Madrid. 1934)";"Madrid";"Del 01/03/1934 al 01/07/1936. Del n. 1 al n. 51"
"2173-3252";"Elegancias (Madrid)";"Madrid";"Del 01/1923 al 01/07/1926. Del n. 1 al n. 49"
"2254-4593";"Ellas (Madrid. 1932)";"Madrid";"Del 29/05/1932 al 30/12/1934"
"2174-9736";"Ellas (Madrid)";"Madrid";"Del 01/09/1851 al 08/11/1851. Del n. 1 al n. 7"
"2171-3367";"La Emigración española";"Madrid";"Del 15/01/1916 al 05/08/1932. Del n. 1 al n. 24"
"2484-7798";"La Emigración española transoceánica";"Madrid";"1911/1915"
"2516-323X";"El Emigrado observador";"Gran Bretaña";"Del 7/1828 al 6/1829. Del n. 1 al 12"
"2565-3547";"El Enano (Madrid. 1851)";"Madrid";"Del 03/03/1851 al 07/09/1858. Del n. 1 al n. 393"
"2565-3571";"El Enano (Madrid. 1885)";"Madrid";"Del 07/04/1885 al 23/10/1910. Del n. 1 al n. 1890"
"2254-4682";"El Enano de Madrid";"Madrid";"Del 29/03/1885 al 27/07/1887"
"2172-5160";"Enciclopedia musical";"Barcelona";"Del n. 1 (6/2/1884) al n. 24 (31/12/1885)"
"2174-8853";"La Energía eléctrica";"Madrid";"Del 1899 al 25/09/1933"
"2660-1745";"En marcha (Abarán)";"Murcia";"30/4/1911"
"1696-6406";"La Enseñanza (Madrid. 1865)";"Madrid";"Del 10/10/1865 al 25/06/1868. Del n. 1 al n. 66"
"2172-0002";"La Enseñanza racional";"Baleares";"Del n. 1 al n. 24 (1888)"
"2171-6773";"El Entreacto (Madrid. 1870)";"Madrid";"Del 03/12/1870 al 29/07/1871. Del n. 1 al n. 35"
"2254-559X";"La Época (Madrid. 1849)";"Madrid";"Del 01/04/1849 al 31/03/1936. Del n. 1 al n. 30040"
"0213-1080";"Época (Madrid)";"Madrid";"Del 6/1/1986 al 27/12/2009"
"2444-0876";"Equipo (Zaragoza. 1993)";"Zaragoza";"Del 2/1/2000 al 19/9/2003"
"2660-1818";"Era nueva";"Cáceres";"10/11/1910"
"2171-598X";"Ergos (Madrid)";"Madrid";"Del 15/01/1909 al 15/12/1909"
"1576-3242";"La Escena (Madrid)";"Madrid";"Del 12/11/1865 al 05/05/1867"
"1698-3483";"Escenas contemporáneas";"Madrid";"Del 1856 al 1883. Del n. 1 al n. 11"
"2386-9909";"La Escoba (Madrid)";"Madrid";"Del 13/5/1889 al 29/7/1889"
"2660-1559";"Escuela libre (Valladolid)";"Valladolid";"1/3/1911"
"2171-9853";"La Escuela moderna";"Madrid";"Del 01/01/1892 al 01/12/1934"
"2660-213X";"Escuela moderna (Valencia)";"Valencia";"7/5/1910"
"2172-699X";"Escuelas de España";"Segovia";"Del 01/1929 al 07/1936"
"2340-5597";"La Escuela y el hogar";"Navarra";"Del n. 1 (10/9/1893) al n. 18 (28/2/1894)"
"2254-4739";"El Esculapio (Madrid. 1842)";"Madrid";"1842"
"1577-0389";"La Esfera (Madrid. 1914)";"Madrid";"Del 03/01/1914 al 17/01/1931. Del n. 1 al n. 889"
"1130-8826";"La España (Madrid. 1848)";"Madrid";"Del 19/04/1848 al 29/09/1868. Del n. 2 al n. 6808"
"1576-3889";"La España (Madrid. 1887)";"Madrid";"Del 21/03/1887 al 28/12/1887. Del n. 15 al n. 52"
"2172-9530";"España (Madrid. 1898)";"Madrid";"Del n. 1 (28/3/1898) al n.184 (30/12/1902)"
"2171-2549";"España (Madrid. 1915)";"Madrid";"Del 29/01/1915 al 29/03/1924. Del n. 1 al n. 415"
"2605-3659";"La España agrícola (Madrid. 1843)";"Madrid";"Del 2/1843 al 12/1843"
"1578-231X";"La España artística (Madrid. 1857)";"Madrid";"Del 02/11/1857 al 27/09/1858. Del n. 1 al n. 49"
"1697-6088";"La España artística (Madrid. 1888)";"Madrid";"Del 8/6/1888 al 11/6/1893"
"2172-9719";"España automóvil";"Madrid";"Del 15/8/1907 al 30/5/1911"
"2172-9727";"España automóvil y aeronáutica";"Madrid";"Del 15/6/1911 al 30/6/1928"
"2171-3219";"La España cómica";"Madrid";"Del 15/09/1889 al 11/05/1890"
"2171-8512";"España en ...";"Madrid";"De 1931 a 1932"
"2484-7917";"España Ford";"Madrid";"Del 4/1930 al 12/1930"
"2173-4399";"España forestal";"Madrid";"Del 05/1915 al 12/1929. Del n. 1 al n. 164"
"2171-6269";"España marítima";"Madrid";"Del 28/02/1926 al 04/1930. Del n. 2 al n. 51"
"2171-6277";"España marítima y pesquera";"Madrid";"Del 05/1930 al 06/1936. Del n. 65 al n. 126"
"1131-2084";"España médica (Madrid. 1911)";"Madrid";"Del 01/02/1911 al 01/06/1936"
"2174-968X";"La España militar";"Madrid";"Del 01/02/1842 al 14/04/1843"
"2171-8326";"España militar (Cuenca)";"Cuenca";"Del 01/01/1930 al 01/03/1931. Del n. 24 al n. 38"
