Cust 3: Table 1
					to All or Lon			Log			Mah			to Out			Log			Mah				
Yr	No	ff	ff	Desc	L	s	d	L	s	d	L	s	d	L	s	d	L	s	d	L	s	d		
1820	15	133	Hon				125939	19	7	10420	9	11	13594	15	8	108239	19	2							
1821	16	137	Hon				89135	14	3	9147	1	10	13591	16	9	70592	1	6							
1822	17	72	Hon	162118	14	6							22379	0	9	114190	6	5							
1823	18	74	Hon	136881	2	8	113290	5	0	23590	17	8	14718	15	11	80714	3	5							
1824	19	75	Hon	196756	14	0	142814	19	7	53941	14	5	30190	10	2	137001	12	8							
1825	20	91	Hon	170472	18	11	158480	1	4	11992	17	7	32462	0	2	89564	14	2							
1826	21	82	Hon	205321	11	9	158126	7	10	47195	3	11	21538	2	10	140625	18	3							
1827	22	79	Hon	222885	6	2	197129	3	4	25756	2	10	19948	19	6	144407	8	1							
1828	23	78	Hon	181251	10	6	161011	6	6	20240	4	0	18400	12	8	108290	10	0							
1829	24	81	Hon	182061	7	7	163608	6	2	18453	1	5	17623	2	2	102718	14	0							
1830	25	117	Hon	221855	1	3							26008	19	5	100652	1	11							
1831	26	115	Hon	124676	10	7							13076	15	11	63761	14	4							
1832	27	114	Hon	232839	16	2							23177	13	7	106344	13	1							
1833	28	115	Hon	230748	16	6							14574	1	6	77543	18	10							
1834	29	126	Hon	263432	6	10							22791	3	2	121072	13	1							
1835	30	123	Hon	373595	0	5							14940	6	1	120020	13	8							
1836	31	126	Hon	566650	2	2							12145	2	4	177443	7	5							
1837	32	119	Hon	445820	6	0							15803	15	1	186656	15	8							
1838	33	121	Hon	474219	8	7							23260	17	9	167204	19	4							
1839	34	122	Hon	589182	12	3							31510	19	4	154219	6	4							
1840	35	118	Hon	650920	17	0							48761	5	10	143728	5	7							
1841	36	122	Hon	910242	1	0							46579	15	8	134832	19	7							
1842	37	128	Hon	864502	7	11							37749	13	0	92546	1	6							
1843	38	138	Hon	730757	1	9							34849	15	7	132439	6	7							
1844	39	135	Hon	883141	11	10							47823	8	10	138743	13	5							
1845	40	139	Hon	774242	5	7							45973	5	0	189453	13	2							
1846	41	145	Hon	857453	13	9							48282	9	9	203071	14	1							
1847	42	147	Hon	1208494	1	5							44309	13	4	242160	2	8							
1848	43	142	Hon	1093055	1	5							50206	18	9	218349	11	7							
1849	44	149	Hon	1126970	8	7							43121	18	5	171238	3	0							
1850	45	187	Hon	1243225	15	1							55274	13	1	172216	14	4							
1851	46	177	Hon	1518056	1	7							52044	16	5	157446	3	11							
1852	47	151	Hon	886657	10	9							70750	13	2	188325	11	6							
1853	48	187	Hon	357340	9	1							51659	2	10	115488	10	7							
1854	49																								by articles
1855	50	188	Hon	1143942									48357			219736									lists market value too
1856	51	192	Hon	956806									48077			170471									no official value
1857	52	201	Hon	424364									29760			203577									no official value
1858	53	198	Hon	337820									12369			161984									no official value
1859	54	203	Hon	286671									21908			184079									no official value
1860	55	188	Hon	309029									31969			216389									no official value
1861	56																								
1862	57																								
1863	58																								
1864	59																								
1865	60																								


Cust 14: Table 1
				to Scot			Log to S			Mah to S							
Yr	No	ff	Desc	L	s	d	L	s	d	L	s	d	Note				
1695																	
1696																	
1697																	
1698																	
1699																	
1700																	
1701																	
1702																	
1703																	
1704																	
1705																	
1706																	
1707																	
1708																	
1709																	
1710																	
1711																	
1712																	
1713																	
1714																	
1715																	
1716																	
1717																	
1718																	
1719																	
1720																	
1721																	
1722																	
1723																	
1724																	
1725																	
1726																	
1727																	
1728																	
1729																	
1730																	
1731																	
1732																	
1733																	
1734																	
1735																	
1736																	
1737																	
1738																	
1739																	
1740																	
1741																	
1742																	
1743																	
1744																	
1745																	
1746																	
1747																	
1748																	
1749																	
1750																	
1751																	
1752																	
1753																	
1754																	
1755	1A	1	Amer				136	10	0	2791	5	0	7L pt Log; 27.5L pt Mah				
1756	1A	20	Amer				691	7	7.5	3108	17	6	do				
1757	1A	37	Amer				406	0	0	1778	2	7.75	do				
1758	1A	54	Amer				520	0	3	1472	4	4.5	do				
1759	1A	72	Amer				313	5	0	3295	14	0	do				
1760	1A	88	Amer				581	0	0	2791	5	0	do				
1761	1A	116											divided into states & colonies; no SWI				
1762																	
1763																	
1764	1B	161											div; no SWI				
1765	1B	69											div; no SWI				
1766	1B	255											div; no SWI				
1767	1B	128											div; no SWI				
1768	1B	96											div; no SWI				
1769																	
1770	1B	192											div; no SWI				
1771	1B	225	Hon	5119	3	0	182	0	0	4936	5	0		5119.15	182	4936.25	Cust 14/1B
1772	1B	287	Hon	31542	10	0	0	0	0	31542	10	0		31542.5	0	31542.5	Cust 14/1B
1773	1B	35	Hon	5415	10	0	273	0	0	5142	10	0		5415.5	273	5142.5	Cust 14/1B
1774	1B	3	Hon	29444	5	6	301	0	0	29129	7	6	7L pt Log; 27.5L pt Mah	29444.275	301	29129.375	Cust 14/1B
1775	2	1	Hon	0	3	3	0	0	0	0	0	0		0.1625	0	0	Cust 14/2
1776	2	29	Hon	9851	16	0	245	0	0	9605	15	0		9851.8	245	9605.75	Cust 14/2
1777	2	56															
1778	2	87															
1779	2	116															
1780	2	145															
1781	3	67															
1782	3	94															
1783	4	56	Hon	1240	0	0	140	0	0	1100	0	0	7L pt Log; 27.5L pt Mah	1240	140	1100	Cust 14/4
1784	4	94															
1785	5	1	Hon	825	0	0	0	0	0	825	0	0		825	0	825	Cust 14/5
1786	5	46															
1787	6	1	Hon	3868	19	5	55	4	3	3813	15	7		3868.97083333333	55.2125	3813.77916666667	Cust 14/6
1788	7	1	Hon	8071	14	3	392	0	0	7587	6	0		8071.7125	392	7587.3	Cust 14/7
1789	8	1	Hon	11974	13	0	510	9	3	11439	12	2		11974.65	510.4625	11439.6083333333	Cust 14/8
1790	9	1	Hon	4060	5	8	159	17	0	3857	2	5		4060.28333333333	159.85	3857.12083333333	Cust 14/9
1791	10	1	Hon	15899	5	3	360	10	0	15382	2	6		15899.2625	360.5	15382.125	Cust 14/10
1792	11	1	Hon	9599	4	0	413	0	0	9166	14	0		9599.2	413	9166.7	Cust 14/11
1793	12	1	Hon	4763	8	3	145	5	0	4565	0	0		4763.4125	145.25	4565	Cust 14/12
1794	12	93	Hon	19321	4	5	535	0	0	18712	9	0		19321.2208333333	535	18712.45	Cust 14/12
1795	13A	1															
1796	13A	40	Hon	2963	3	0	238	0	0	2725	3	0		2963.15	238	2725.15	Cust 14/13A
1797	13A	1															
1798	13A	47															
1799	13A	1															
1800	13A	1	Hon	6642	3	7	294	4	9	6341	16	5		6642.17916666667	294.2375	6341.82083333333	Cust 14/13A
1801	14	1	Hon	232	5	3	0	0	0	232	5	3		232.2625	0	232.2625	Cust 14/14
1802	15	1	Hon	3478	16	9	83	18	3	3394	18	6		3478.8375	83.9125	3394.925	Cust 14/15
1803	16	3	Hon	12668	6	6	582	13	0	12073	13	9		12668.325	582.65	12073.6875	Cust 14/16
1804	17	3	Hon	13327	10	3	439	14	6	12887	15	9		13327.5125	439.725	12887.7875	Cust 14/17
1805	18	3	Hon	11678	12	9	587	9	8	11091	3	1		11678.6375	587.483333333333	11091.1541666667	Cust 14/18
1806	19	2	Hon	15598	3	1	749	3	9	14848	19	4		15598.1541666667	749.1875	14848.9666666667	Cust 14/19
1807	20	3	Hon	11859	11	7	435	0	6	11395	5	0		11859.5791666667	435.025	11395.25	Cust 14/20
1808	21	3	Hon	17166	19	3	581	13	9	16560	18	1		17166.9625	581.6875	16560.9041666667	Cust 14/21
1809																	
1810	22	4	Hon	17144	16	3	425	3	7	16677	9	11		17144.8125	425.179166666667	16677.4958333333	Cust 14/22
1811	23	4	Hon	9581	9	2	338	19	6	9237	4	8		9581.45833333333	338.975	9237.23333333333	Cust 14/23
1812	24	3	Hon	20547	19	3	951	12	0	19596	7	3		20547.9625	951.6	19596.3625	Cust 14/24
1813	25	3	Hon	15146	8	0	599	12	6	14533	18	11		15146.4	599.625	14533.9458333333	Cust 14/25
1814	26	2	Hon	13061	7	4	307	3	0	12752	8	11	7L pt Log; 27.5L pt Mah	13061.3666666667	307.15	12752.4458333333	Cust 14/26
1815	27	3	Hon	40305	9	9	1581	4	0	38656	15	0		40305.4875	1581.2	38656.75	Cust 14/27
1816	28	23	Hon	21991	7	0	611	15	4	21375	16	8		21991.35	611.766666666667	21375.8333333333	Cust 14/28
1817																	
1818																	
1819																	
1820																	
1821																	
1822	34	29	Hon	21772	8	2	629	6	9	18430	11	10		21772.4083333333	629.3375	18430.5916666667	Cust 14/34
1823																	
1824																	
1825																	
1826																	
1827																	
1828																	
1829																	
1830																	


Index of Abstracts: Table 1
Ser	Parlm	No	Start	End	CF
			1807	1836	"R. M. Martin Statistics of the colonies of the British Empire in the West Indies, South America, North America, Asia, Austral-Asia, Africa, and Europe… London 1839 p 140-1"
HCP	1845	49	1842	1842	HCP 1845 v 31 no 49
CP	1865	3508	1850	1863	
CP	1878	C.2093	1862	1876	
CP	1890	C.6160	1875	1889	
CP	1900	Cd.307	1885	1899	
CP	1914	Cd.7165	1898	1912	
CP	1926	Cmd. 2738	1909	1923	
CP	1929-30	Cmd. 3434	1922	1927	
CP	1936-37	Cmd. 5298	1926	1935	
CP	1939-40	Cmd. 6140	1929	1938	
CP	1946-47	Cmd. 7224	1936	1945	
CP	1950	Cmd. 8051	1945	1947	
					cf 1946-47 Cmd. 7167?
					cf 1944-45 Cmd. 6607


Abstracts: Table 1
		fm All	to All	to All Re	fm GB	to GB	Rev	Exp	Exp Ln	Debt	
Auth Yr	Yr	L	L	L	L	L	L	L	L	L	Notes
Martin 1839	1807						7566	8291			
	1808						6005	5170			
	1809						6829	6066			
	1810						9523	9604			
	1811						8643	8981			
	1812						6590	6312			
	1813						5438	5548			
	1814						5474	5629			
	1815						12944	12527			
	1816						10672	9276			
	1817						8168	8838			
	1818						16501	18193			
	1819						15967	16896			
	1820						17249	17266			
	1821						12306	12027			
	1822						14831	14296			
	1823						19294	21012			
	1824	262988	272826		235335	218522	14125	14163			
	1825	289871	295111		244131	232052	17594	17634			
	1826	412727	350370		303882	283076	13256	13755			
	1827	313502	394132		271209	374394	17416	17562			
	1828	233756	301255		185929	219798	12460	10760			
	1829	244464	255282		209199	219662	11057	11150			
	1830	234379	316151		193692	195192	24885	15807			
	1831	278627	197860		216617	106280	13943	13721			
	1832	153830	182267		108797	145497	16824	16997			
	1833	235156	242330		194950	154344	15157	16802			
	1834	318234	286800		272609	209118	17507	16954			
	1835	182614	267811		122630	205603	21187	16566			
	1836	340554	493115		278699	399546	20071	15204			
											
CP 3508	1850	197555	261015		141379	211145					Note – Debt exclusive of loans for reproductive Public Works.
	1851	289819	153777		209541	96071					– Imports and exports include bullion and specie.
	1852	262112	391223		109695	340908					
	1853	198186	345377		120762	276520					
	1854	241764	452313		152411	384640					
	1855	245486	462591		159969	391527					
	1856	254994	446649		160659	357153					
	1857	268691	440271		169927	329052					
	1858	207908	380377		121934	286612					
	1859	175203	288161		101595	183113					
	1860	200869	315918		128081	224065					
	1861	231744	292576		149887	214688					
	1862	211358	356390		108843	201379					
	1863	265752	390644		147809	235205				5625	
											
CP C.2093	1862	211358	356390		108843	210379	27294	32175			Rev and exp exc loans raised and repaid
	1863	265752	390644		147809	235205	27898	28642		5625	Bullion and specie not specified by Honduras returns
	1864	291144	373197		196373	218131	31544	28365		21562	
	1865	210675	323170		130426	220077	26530	35614		28239	
	1866	169033	277156		107734	169013	27334	31094			
	1867	190495	186169		112051	102806	35720	32644		34515	
	1868	177684	203659		105100	115482	42416	39720		39277	
	1869	151189	175033		95737	91788	36630	30404		34121	
	1870	184338	171988		131348	79925	32674	26220		29591	
	1871	180662	207672		125380	116119	42881	25454		29591	
	1872	167809	203560		113574	105898	38720	29350		22321	
	1873	236615	216993		159542	129317	51946	34407		15591	
	1874	178398	240628		98301	134655	43723	40063		15391	
	1875	175321	202512		95936	104331	41906	40839		13062	
	1876	163403	206420		99946	127547	40231	36615		5041	
											
CP C.6160	1875	164363	189855		89096	97810	39287	38287		12246	Rate B$ 1 = 0.3.9 in 1875; 0.3.6(1/2) in 76-7; 0.3.4(1/2) in 78-82; 0.3.3(1/2) in 83-4; 0.3.2 in 85; 0.2.11 in 86-7; 0.2.9(1/2) in 98-9.
	1876	144678	182768		88494	112932	35621	32420		4463	1877; 1878 Exp exclude re-Exp
	1877	146763	110237		74853	83714	36823	35354		4463	Rev and exp exc loans raised and repaid
	1878	161571	110537		93486	79660	34054	43111		3806	
	1879	134902	158349		66896	99475	34023	42777		937	
	1880	200141	213346		103667	98961	36479	51998			
	1881	170278	208746		92435	116024	36823	34351			
	1882	196494	211463		99379	113044	39137	37547			
	1883	221342	249237		122477	146055	43020	33100			
	1884	195474	261234		105006	168724	42681	44095			
	1885	201761	193388		87619	112227	41361	50061	9684		
	1886	172054	204201		68562	131742	39639	45613		7838	
	1887	160084	196833		69651	114552	40854	42918		8130	
	1888	206450	213020		95569	101368	43511	41587	7105	16782	
	1889	260089	300879		125234	162997	50523	45487	1280	16032	
											
CP Cd.307	1885	201761	193388		87619	112227	41361	50061	9684		Rate B$ 1 = 0.3.2 in 1885; 0.2.11 in 86-7; 0.2.9(1/2) in 88-9; 0.3.1 in 90; 0.2.11(1/4) in 91; 0.2.7(1/2) in 92; 0.2.3(1/2) in 93; ≥ 94 at gold dollar.
	1886	172054	204201		68562	131742	39639	45613		8130	Rev and exp exc loans raised and repaid
