Intro: Table 1
							
	sheet	database	link	query	hits	note	
	"See ""Cadix den 16 January” in no 8 for 19 Feb 1667 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010926740:mpeg21:a0007, https://resolver.kb.nl/resolve?urn=MMNHA02:164940015:mpeg21:a00007] /"	Oprechte Haerlemsche Courant	no 8 for 19 Feb 1667 p 2 	Cadix den 16 January	1667	16 Jan 1667	https://resolver.kb.nl/resolve?urn=MMNHA02:164940015:mpeg21:a00007	https://resolver.kb.nl/resolve?urn=ddd:010926740:mpeg21:a0007	"Cadix den 16 January. Alhier zijn verscheyde Schepen gearriveert onder allen een van de Honduras, en een ander vande Caraques, geladen met Tabacq, Huyden en Indigo; met de selve komt Tydinge, dat de Engelsse voor hebben, by de Provintie van Guattimalo, een Fortresse te maecken, hebbende met 38 Schepen, kleyn Vaertruygh, die geheele Kust geplondert. In Marikaibo hebben sy den Gouverneur, en een deel ander Volck doodt-geslagen, treckende t'Landtwaert in, roovende en plonderende, niemant verschonende, maer alles doodende, wat haer ontmoete."	unnamed ship from Honduras to Cadiz with news of Eng in Hon	
	See “Vlissingen den 24 April” in no 17 for 28 April 1668 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164940183:mpeg21:a00006] /	Oprechte Haerlemsche Courant	no 17 for 28 April 1668 p 2 	Vlissingen den 24 April	1668	24 Apr 1668	https://resolver.kb.nl/resolve?urn=MMNHA02:164940183:mpeg21:a00006	^^^	"Vlissingen den 24 April. Op Gisteren en heden zijn hier gearriveert Schipper Cornelis Bergenaer en Adriaen Centsen Vos, van Bilboa, geladen met Wolle, cock goede partyen Stucken van Achten: noch is hier gearriveert een kleyn Scheepjen, met omtrent 60 Va[ill]en Blaen Taback, van Brest, dat lange daer gelagen heest, en uyt een Prijs gelost. Schipper Thomas Tolcq, komende van de Canarise Eylanden, geladen met Huyden en Campeche Hout, op Middelburgh, is heden oock ghearriveert. Tot Oostende was een Frans-Schaepjen, met 44 Kisten Brazielise Suycker, opgebracht, en twee met Wijnen."	Thomas Tolcq from Canary to Middelburgh or Vlissingen just arrived today with logwood	
	See “Amsterdam den 5 December” in no 19 for 6 Dec 1668 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164940278:mpeg21:a00006] /	Oprechte Haerlemsche Courant	no 19 for 6 Dec 1668 p 2 	Amsterdam den 5 December	1668	5 Dec 1668	https://resolver.kb.nl/resolve?urn=MMNHA02:164940278:mpeg21:a00006	^^^	"Amsterdam den 5 December. Het Schip't Wapen van Amsterdam, gedestineert na West Indien, 't welck geseght was gebleven te zijn, daer van is Tydinge't selve in Goeree soude gekomen zijn, hebbende een Leck; doch was light te repareeren: waerom na alle apparentie in weynight Dagen sijn Reys soude vervolgen. Van het Schip de Wassetide Maen komt geen naerder noch seeckere Tydinge. [new para] Amsterdam den 5 December. Alier is Tydinge van Habel de Grace, dat aldaer een Schip van St. Domingo was gearriveert, met Tydinge, hoe dat seecker Engels Schip, ophebende 500 Man, is gekomen by Porto Vedo, en zijn aldaer gelant, hebben de Stadt ingenomen, als mede het Casteel; ende, na dat sy de Stadt hadden geplondert, sijn de Inwoonders met de Engelsse veraccordeert, voor 100000 Stucken van Achten, om de Stadt van Brandt te verschoonen, als mede het Casteel en't selveteruymen: van daer waren gemelde Engelsse vertrocken nae de Honduras; alwaer hebbe gevonden seecker Frans Schip, dat al by den Oorlog, tusschen Vranckrijck en Spangie, sigh aldaer onthouden heest, geladen met Pampier, Yser, Indigo en andere Coopmanschap, gemonteert met 36 Stucken, 't selve Schip soude by gedachte Engelsse zijn genomen."	unnamed ship from St Domingue to Havre de Grace with news of Eng attack on Portobello and then Eng attack on Fr merchant-ship in Honduras	
	See “d’Amsterdam le 6 Decembre” in no ^^^ for 6 Dec 1668 p 4 [https://resolver.kb.nl/resolve?urn=ddd:011014630:mpeg21:a0008]	Gazette d’Amsterdam	no ^^^ for 6 Dec 1668 p 4 	d’Amsterdam le 6 Decembre	1668	6 Dec 1668	https://resolver.kb.nl/resolve?urn=ddd:011014630:mpeg21:a0008	^^^	"d'Amsterdam le 6 Decembre. Il est encore arrivé au Texel 3 vasseaux de Moscovie, & en Zelande 2 de la Martinique. L'on a avis du Havre de Grace qu'il y est arrivé un vaiss. de S. Domingo qui donne avis qu'un vaiss. Anglois monté de 500 hommes estant arrivé a Porto Vedo, ils ont mis pied à terre, pris la ville & le chateau, pillé ce qu'ils ont voulu & reçu 100000 piastres des habitans pour ne bruler pas la ville, aprés quoi ils sont allés à Honduras, où ils ont pris un vaiss. François chargé de Papier, de fer & d'Indigo, qui y estoit resté depuis la guerre de France au Pais-bas. ON dit que le Ministre d'Oudeman est mort, & que Noss. les Estats useront de repressaille, si l'Espagne ne leur fait reparation de cet affront; & que cepandant on conduit à Middelbourg les 4 prisonnier qu'on a menés à Isendiick. Le vaiss. nommé les armes d'Amsterdam qui s'en alloit aux Indes d'Occident & que l'on croyoit perdu est arrivé à Goerée."	unnamed ship from St Domingue to Havre de Grace with news of Eng attack on Portobello and then Eng attack on Fr merchant-ship in Honduras	
	See “Cadix den 13 Ianuary” in no 7 for 14 Feb 1669 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164941020:mpeg21:a00002] /	Oprechte Haerlemsche Courant	no 7 for 14 Feb 1669 p 1 	Cadix den 13 Ianuary	1669	13 Jan 1669	https://resolver.kb.nl/resolve?urn=MMNHA02:164941020:mpeg21:a00002	^^^	"Cadix den 13 Ianuary. 't Rotterdams Convoy sal hier noch eenige dagen tardeeren. Twee Schepen uyt indien gearriveert brenghen mede omtrent 800 Kassen Indigo, een weynigh concenilje en een goede Party Silver, soo dat seer rijck zijn: met deselve heest men confirmatie, dat seker Schip van hier nae de Honduras vertrocken, en aldaer gearriveert op de reede leggende, door de Engelsee is genomen, in hebbende ontrent het derde deel van sijn ladinghe, waer mede het selve van hier vertrocken was."	two Sp ships from ^^^ to Cadiz with news that ship from there to Honduras was taken by Eng	
	"See ""Cadix, den 13. Ian” in no 7 for 16 Feb 1669 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010758935:mpeg21:a0002]"	Tĳdinghe uyt Verscheyde Quartieren	no 7 for 16 Feb 1669 p 1 	"Cadix, den 13. Ian"	1669	13 Jan 1669	https://resolver.kb.nl/resolve?urn=ddd:010758935:mpeg21:a0002	^^^	"Cadix, den 13 Ian. Daer zijn voor weynige dagen twee schepen de S. Salvador en S. Clementtia uytIndiengearriveert, met quantiteyt van Indigo, oock eenigh Silver en Concenillie, op haer vertreck souden noch drie schepen, rijckelijck geladen, in vier weecken volgen. Daer is seeckerheyt, dat de Engelse op de reede van Honduras een Schip hebben genomen, men meent het de S. Iulia is, waer over groote verbittering jegens de Engelse ontstaet. 't Rotterdams convoy versterckt zynde met noch 3. Schepen van hier, sal den 18. deser, de wint dienende, t'zeyl gaen naer 't Vaderlant."	S Salvador and S Clementtia from ^^^ to Cadix with news Eng seized a Sp ship on roadstead of Hon possibly S Iulia	
	See “Amsterdam den 6 Fekruary” in no 6 for 7 Feb 1669 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010926810:mpeg21:a0006] /	Oprechte Haerlemsche Courant	no 6 for 7 Feb 1669 p 2 	Amsterdam den 6 Fekruary	1669	6 Feb 1669	https://resolver.kb.nl/resolve?urn=ddd:010926810:mpeg21:a0006	^^^	"Amsterdam den 6 Fekruary. Veel rept men hier vanden Bisschop van Munster, en dat de Stenden 24000 Rijckdoelders 's maents souden geconsenteert hebben: doch Passagiers, door Munsterlant gepasseert zijnde, seggen nergens eenige Wervinge of veel Krijgs-Volck vernomen te hebben. Over Vranckrijck is confirmatie, dat de Engelsse een Spaens Schip vande Honduras hadde genomen en aen Iamaica opgebracht. De Schepen met Capiteyn van Gelder, den 4 deser al voor de Wal geweest zijnde, verstaetmen dat 13 sterck geweest zijn: als de bonte Coningh, komende van Cadix, 2 Schepen van Marsielje, de Hoop en Coningh David: het Wapen van Gravesande, dat nae de Maes geseylt was: 2 Hamburgers, een kleyne,die naeHamburghgeseyltwas, eneengroote Fluyt die hier hoorde, komende van Genua: een kleyn Scheepje, van de kust van Guinea komende: twee Schepen in Zeelandt t'huys hoorende, waer van d'eene het vliegende witte Paert genaemt was, komende van Bordeaux, ende een Galjoot, komende van St. Lucar, met Fruyt per Rotterdam."	news received in Amsterdam of Eng seizure of Sp ship from Honduras taken to Jamaica	
	"See “Lissabon den 5 Maert” in no 15 for 11 April 1669 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010926658:mpeg21:a0001, https://resolver.kb.nl/resolve?urn=MMNHA02:164941043:mpeg21:a00001, https://resolver.kb.nl/resolve?urn=MMNHA02:164941043:mpeg21:a00001] /"	Oprechte Haerlemsche Courant	no 15 for 11 April 1669 p 1 	Lissabon den 5 Maert	1669	5 Mar 1669	https://resolver.kb.nl/resolve?urn=MMNHA02:164941043:mpeg21:a00001	https://resolver.kb.nl/resolve?urn=ddd:010926658:mpeg21:a0001	"Lissabon den 5 Maert. Heden komt een Tydinge van St. Huber, dat aldaer een Spaens Schip was ingekomen, alsoo d'eerste Haven, die konde bekomen, maer hadde genomen, met bericht, dat 30 Fransse Schepen in de Honduras een Inval hadden gedaen, en sekere Stedeken, daer grooten Rijckdom ingevonden was, hadden uytgeplondert: dat een Fransen Malthees, genaemt Nicolai de Plossis, hadde vermeestert een Galioen; waert 400000 Pattacques; doch hy self was in die Actie gebleven: de voorsz. Franssen souden het restant van onse Brasielsse Vloot oock genomen hebben; soo men hier uytstroyt; maer heest geen apparentie."	unnamed Sp ship from ^^^ to St Huber with news of Fr raid in Hon	
	"See “Lissabon, den 12. dito” in no 15 for 13 April 1669 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010758936:mpeg21:a0001]"	Tĳdinghe uyt Verscheyde Quartieren	no 15 for 13 April 1669 p 1 	"Lissabon, den 12. dito"	1669	12 Mar 1669	https://resolver.kb.nl/resolve?urn=ddd:010758936:mpeg21:a0001	^^^	"Lissabon, den 12. dito. Hier is sekere narichtinge door een schip tot S. Hubis aengelant, hoe dat op den 11. Febr. inde Honduras zyn gekomen 7. Franse Oorlogschepen, en 12. a 15. andere van mindere calibere, onder 't commando van Mons. du Pont Alberas, en dat de selve aenstonts het Stedeken Cuada, (daer vry considerabele rijckdom in was) hadden aengedaen, en in korte van alles berooft en uytgeplondert, nevens noch twee andere plaetsen van minder Coopmanschappen versien: seeckeren Cap. van een der gemelde Oorlogschepen genaemt S. Nicolai de Plesses hadde vermeestert een seer rijck Spaens Gallioen, wel geschat op 600000. guld. hier op is aenstonts een Couriernaer Spanjen gesonden."	unnamed ship to Lisbon with further news of Fr raid on Hon eg raid lead by Mons du Pont Alberas on 11 Feb	
	See “Amsterdam den 12 April” in no 15 for 13 April 1669 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164941044:mpeg21:a00006] /	Oprechte Haerlemsche Courant	no 15 for 13 April 1669 p 2 	Amsterdam den 12 April	1669	12 Apr 1669	https://resolver.kb.nl/resolve?urn=MMNHA02:164941044:mpeg21:a00006	^^^	"Amsterdam den 12 April. Van den Inval der Fransse in de Honduras heest men niet naeder. Van Livorno heest men, dat aldaer een Schip van Tripoli was aengekomen, met bericht, dat die van Tripoli vast besig waren huyten een Fort op te warpen tegens de Moren, en dat daer toe alke de Christen Slaven uyt de Stadt mede genomen hadden: Van den toestant van Candia was daer geen naeder Tydinge; dan het Schip de St. Nicolaes was van Alessandria daer aengekomen; entot Napels het Engels OOrlogh schip, dat den Engelssen Amassadeur had overgebracht nae Constantinopolen."	news or further news not received in Amsterdam of Fr raid in Hon	
	"See “Parijs den 5 September” in no 37 for 13 Sep 1670 pp 1-2 [https://resolver.kb.nl/resolve?urn=ddd:010926947:mpeg21:a0003, https://resolver.kb.nl/resolve?urn=MMNHA02:164941264:mpeg21:a00003] /"	Oprechte Haerlemsche Courant	no 37 for 13 Sep 1670 pp 1-2 	Parijs den 5 September	1670	5 Sep 1670	https://resolver.kb.nl/resolve?urn=MMNHA02:164941264:mpeg21:a00003	https://resolver.kb.nl/resolve?urn=ddd:010926947:mpeg21:a0003	"Prijs den 5 September. Den Heer den Dauphijn te naesten by gebetert zijnde van sijne derdendeagse Koorts, soude de Reyse van sijn Majest. nae Chambor op den 25 deser zijn vast gestelt, met intentie, soo 't Weer bequaem blijst, omtrent een Maent uyt te blijven. Den Heere de Groot quam Saterdagh laetst hier binnem, soo van de Fatigues van de Reyse, als een Desluctie op 't Been, wat geincommodeert, waer van sedert vry gebetert is. Den Hartogh van Lottharingen hout men nu seeckerlijck, dat nae Homburgh, en verder Duytslandt in is geretireert: hy heest herwaerts een geheel Packet met Brieven gesonden; maer die zijn afgewesen, alsoo van een Persoon wierden ghebrecht, die geen ander qualiteyt als een Courier hadde, en daerom men hier difficulteerde die Brieven eenig credijt te geven: Ondertusschen hout men, dar des Conings Tronpen in 't Hartogdom van Lottharingen in de Winter-quartieren sullen werden geleyt; ghelijck men dan Tydinge heest, dat de 15 a 16000 Mannen, die in 't Fort St. Sebastiaen geweest hebben, behalven eenige, die nae de Nederlandtse Frontieren zijn, Gisteren van Reyms souden opgebroocken zijn nae Menchon, en soo na Lottharingen, omme sig te conjungeeren met de Troupen onder Monsr. de Fourille, die nu meester van Lottharingen zijn: men geest hier gestadigh voor, dit alleen te geschieden voor den wettigen Ersgenaem of immer, sonder dat men sigh het Hartoghdom wil toe eygenen. Aenstaende Weeck sal den Heer Hartogh van Buckingham eerst sijn afscheyt van den Coningh nemen. Daer is hier een considerable Tydinge over Spangie, namentlijk, dat de Gouvernours van St. Cruz [start p 2] en Suza het gantse Leget van den Tassiler souden hebben geslagen, zijnde wel 140000 Man sterck geweest, en dat wel sijn vorder Volck hadde op ontboden, maer weynigh gekomen waren; dan dese Tydinge is soo onseecker, als die over deselve wegh komen, dat de Fransse sigh in de Honduras souden hebben gaen neerslaen."	translation uncertain as of 28 JUL 2022 possibly news or further news of Fr in Hon	
	See “Londen den 28 Iuly” in no 31 for 4 Aug 1671 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164942093:mpeg21:a00004] /	Oprechte Haerlemsche Courant	no 31 for 4 Aug 1671 p 1 	Londen den 28 Iuly	1671	28 Jul 1671	https://resolver.kb.nl/resolve?urn=MMNHA02:164942093:mpeg21:a00004	^^^	"Londen den 28 Iuly. Voor 't vert[ill]eck van sijn Majest: van Windsor waren de Depeches vervaerdight voor Sr. Henry Coventry, gaende in extraordinaris Amassade nae Sweden. Sr. John Finch, sijn Majesteyts laetste Resident tot Florencen, is behouden hier gearriveert. Op den 23 deser, 's Middags, is sijn Majest: tot Portsmuyden ghekomen, alwaer dien Nacht verbleef: des Anderen-daeghs, op Vrydagh, begaf sigh met sijn Coninglijcke Hoogheydt aen Boort van 't nieuwe Jacht, dat aldaer gebouwt is, en vertrocken daer mede nae 't Eylandt Wicht, alwaer Vrydagh Nacht verbleven; en op Saterdagh, 's Morgens ten 6 uren, keerden te rugge by de Vloot, die aen St. Heleens Poinct lagh, als wanneer de Windt goet zijnde, is sijn Majest: met deselve tzeyl gegaen nae Pleymuyden, blyvende de Gagagie tot Portsmuyden, afwachtende sijn Majesteyts te ruggekomst, 't welck op Donderdagh of Vrydagh aenstaende sal wesen. Daer is Advijs van Alicanten, dat de Mary, hebbende geweest voor Algiers, Advijs bracht, dat de Roovers daer drie Kettingen hadden gehangen en verscheyde Stucken geplant; doch dat alleen 3 Schepen binnen waren; maer dat noch 5 andere van 40 tot 50 Stucken besigh waren te bouwen, soo drae sy 't Hout van Buggia, daer 't selve was, souden konnen krijgen. De Spaensse waren noch seer gealarmeert, over 't innemen van Panama: en hadden Advijs, dat 2000 Fransse Familien nae de Honduras quamen, omme haer daer neer te slaen. Men heeft hier dagelijckx Tydinge van de groote Wervinge, die Vranckrijck op nieu aenstelt: en verwacht men van daer iets bysonders te vernemen, soo drae de 2 Expressen, d'een van Weenen en d'andere van Madrid, sullen te rugge gekomen zijn. Den Coningh werdt hier in de aen staende Weeck te rugge verwacht, werdende vermoot of wel directe van Pleymuyen mocht herwaerts komen."	translation uncertain as of 28 JUL 2022 possibly news or further news of Fr in Hon	
	See “Amsterdam den 17 April” in no 16 for 18 April 1673 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010680289:mpeg21:a0008] /	Oprechte Haerlemsche Courant	no 16 for 18 April 1673 p 2 	Amsterdam den 17 April	1673	17 Apr 1673	https://resolver.kb.nl/resolve?urn=ddd:010680289:mpeg21:a0008	^^^	"Amsterdam den 17 April. 't Parlament in Engelandt is gescheyden tot in October, als wanneer over de Acte van 't Geldt noch nader Besoignes konden vallen: anders was't daer stil; dan d'Equipagie wierdt stercker voortgeset als voorheen. De Avonturier Adriaen Adriaensz. heest inde Coronjes op-ghebracht 't Engels Schip den Spediteur van Iamaica, met Campechi-hout, Suycker Consenielje en Indigo. Van Bilboa is tydingh van een kleyn Fregatje, dat daer vyf Prysen op-gebracht had. D'Equipagie wert hier wel gevordert. De Schepen van Hamborgh en Bremen zijn binnen. Zijn Hoogheyt is op Vrydagh avont in Zeelandt gearr veert."	Adriaen Adriaensz[oon] from ^^^ to Amsterdam with Eng prize Spediteur of Jamaica loaded with logwood	
	See “Londen den 2 Mey” in no 19 for 9 May 1673 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010927878:mpeg21:a0002] /	Oprechte Haerlemsche Courant	no 19 for 9 May 1673 p 1 	Londen den 2 Mey	1673	2 May 1673	https://resolver.kb.nl/resolve?urn=ddd:010927878:mpeg21:a0002	^^^	"Londen den 2 Mey. De principaelste en meeste Officiersvan sijn Majesteyts Huys-houdinge hebben, ingevolge vandelaetsteActe van 't Parlament, den aenbevoolen Eedt gedaen in 't Hof van de Cancelery en des Coninghs Banck, en de rest komt dagelijckx aen. Den Grooten Cancelier, met die aen hem hooren, hebben deselve in des Coninghs Banck op den 28 passato efgeleyt. Op den 30 heeft den Prince Robbert met verscheyde van sijne Hooft-Officiershet Nachtmael gehouden tot St. Martins. De Brievenuyt het Noorden spreecken van verscheyde Kapers; maer men heeft niet vernomen, dat eenige bysondere schade hebben gedaen. Op den 26 is een Schip, tot Londen thuys hoorende, en gelaeden met Fruyten van Faro, aengerant van een Fransse Chaloupvan Calais, die't selveheeft geplondert van Geldt en Klederen; welcke sy aenbiedende te verkoopen tot Hosting, is door dat middel ontdeckt, het Schip gesaiseert, en 't Volck verseeckert, omme te recht gestelt te werden. Op den 27 dito heeft Capit. Shelley, commandeerende den Diamant, in Duyns gebracht een Engelsse Kits, met Orangie-Appelenen Limoenen, 't welck hernomen had van een Duytse Caper, die een wylehadnae-gejaegt, maer niet konnen achterhalen. Dese Morgen is den Coningh, sijn Coninglijcke Hoogheydt en den Prince Robbert nae beneden de Revier getrocken, omme te sien, hoe vaerdigh de Vloot is, en werdt sijn Majesteyt op Donderdagh wederte ruggeverwcht. Onse Plenipotentiarissen hebben aen haer Edelen, die haer sullen versellen, laeten weten, dat op Donderdagnaest meynente vertrecken. De Brieven van Iamaica berichten, dat door een Orcaen 4 a 5 Schepen in de Baey van Campechi waeren gebleven; en dat die soo vihement aen de Kust van Cuba was geweest, dat een gedeelte van de Stadt van de Havana was geruineert, verscheyde van de Inwoonders verdroncken, en de Contreye in een miserable staet. Op heden heeft den Grave van Angleses ontfangen het secrete Zegel. De Stilstant van Wapenen met de Hollanders, laetst hier aengeboden, is afgeslagen. [new para] Londen den 2 Mey. Hier zijn Brieven van Lissabon van een seer goede handt, die melden, hoe dat seker Frans Oorlogh-schip, ophebbende 120 Man, komende van Goa, op de Kust van Portugael was gebleven, waervan 90 Personen waren geberght en de rest verdroncken: dese gesalveerde Fransse brengen Tydinge, hoe dat sy van Goakomende aen het Eylandt St. Helena ware aengeweest, om te ververschen; maer soo haest hadden sy hun Ancker niet laten vallen, of hadden vernomen 5 kloecke Schepen, op hebbende Fransse Vlaggen, waer van de 4 op hem af quamen; de Fransse vermoedende dat het Hollanders waren, hadden hun Ancker gekapt en waren deurgegaen, als wanmeer de 4 gemelde Schepen, haer eenige Mylenvervolght hebbende, hem eyndelingh verlieten. Soo aenstonts komt op dese Revier noch een ander Schip van Lissabon in 20 dagen geseylt, mede brengende 2 Fransse Matrosen, die geaboucheert hebben metdegesalveerde Franse bovengemelt, ende confirmeren dese Tydinge van 't gepasseerde aen't Eylandt St. Heleen, dat ons doet geloven, dat de Duytsemeester van dat Eylant zijn moeten; waer uyt dan groote vreese ontstaet nopende onse verwachte Oost Indische Retour-schepen dat deselve wel in hun handen vallen mochten, of by gebreck van Verversinge komen te vergaen."	Letters from Jamaica to London report hurricane leaves 4 or 5 [Eng?] ships [stranded?] in Campeachy	
	"See “De Ed: Mog: Heeren Raden ter Admiraliteyt tot Amsterdam” in no 38 for 19 Sep 1673 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010927091:mpeg21:a0007, https://resolver.kb.nl/resolve?urn=MMNHA02:164943112:mpeg21:a00008] /"	Oprechte Haerlemsche Courant	no 38 for 19 Sep 1673 p 2 	De Ed: Mog: Heeren Raden ter Admiraliteyt tot Amsterdam	1673	19 Sep 1673	https://resolver.kb.nl/resolve?urn=MMNHA02:164943112:mpeg21:a00008	https://resolver.kb.nl/resolve?urn=ddd:010927091:mpeg21:a0007	"De Ed: Mog: Heeren Raden ter Admiraliteyt tot Amsterdam sullen op Donderdagh den 21 deser, Na-middaghs ten 4 uren, aen de meest-biedende verkoopen in 't oude Heeren Logement een party Caribisse Suyckeren, 52 Vaten Virgini Tabackx-Bladen en 50000 pont Campechi-hout, leggende op de oude Heeren Gracht, omtrent de Blaeuwe Burgwal."	Advertisement of upcoming sale of logwood in publication city	
	"See ""Rochel den 11 November” in 47 for 25 Nov 1673 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010680165:mpeg21:a0002] /"	Oprechte Haerlemsche Courant	47 for 25 Nov 1673 p 1 	Rochel den 11 November	1673	11 Nov 1673	https://resolver.kb.nl/resolve?urn=ddd:010680165:mpeg21:a0002	^^^	"Rochel den 11 November. Over 8 dagen is hier gearriveert van Curacao een Galjoot met Ree-Zeylen, genaemt de Liefde, daer Schipper op was Adriaen Goosz., den 9 Mey van Amsterdam vertrocken nae Curacao met 9 a 11 Man, aldaer gelaeden hebbende Campechi-hout, Catoen, Suycker en Syde Waren, &c.. zijn van daer vertrocken, om wederom na Hollandt te gaen, hadden 4 Persoonen mede genomen door ordre van den Gouverneur, die door den Heer Evertsz. genomen waren, met een Schip de Sout-Ketel van Bordeaux; dese 4 Persoonen waeren 2 Fransse, een Piloot en een Chirurgijn, een Engelsman en een Italiaen: in Zee zijnde, hebben den Schipper met noch 3 a 4 Man om hals gebracht, en d'andere Matroosen, onder zijnde en overmant waeren, vraegden om Quartier, en sijn in de Sloep geset, met wat Provisie en een Compas, om ergens aen Landt te mogen komen, en soo is het Galjoot hier gekomen, met die 4 Man en een Jongen, die op 't Galjoot was: dit is een deerlijcke faeck, en noyt gehoorde Wreetheyt: de Ladinge van 't Galjoot wert wel op 20000 Kroonen ge-estimeert."	"Dutch ship Love loaded with logwood reaches Rochel from Curacao, had been destined to Amsterdam but Eng-Fr passengers or prisoners mutinied and changed course"	
	See “Madrid den 6 Juny” in no 26 for 26 June 1674 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943232:mpeg21:a00002] /	Oprechte Haerlemsche Courant	no 26 for 26 June 1674 p 1 	Cadix den 27 Mey	1674	27 May 1674	https://resolver.kb.nl/resolve?urn=MMNHA02:164943232:mpeg21:a00002	^^^	"Cadix den 27 Mey. Den 23 deser is hier wel gearriveert 't Advys uyt Nova Spangie, in 18 dagen tot de Havane, en van daer in dese Baey in 44 dagen: de Vloot arriveerden tot Vera Cruz den 27 September, en soo haest geanckert was, maeckte 4 dagen langh soo hart Tempeest als oyt gesien: kort nae 't arrivement is gestorven den Bisschp de la Puebla, den principalen Persoon naer den Viceroy, dese wiert met alle Solemniteyten ingehaelt, zijnde den Duc de Veraguas; hy bleef 15 dagen in 't Casteel St. Jan en 8 in Vera Cruz; daer nae vertrock nae Mexico, alwaer als Viceroy ontsangen wiert den 8 December. 5 Dagen daer nae, zijnde den 13 dito, is den Viceroy Duc de Veraguas van een seer subijt Accident overleden, in sijn plaets gouverneert den Aerts-Bisschop van Mexico, door de Doodt mede van den Bisschop de la Puebla, die de tweede Persoon was wegens de Staet van 't Lant. Van Vera Cruz schrijft men, dat men daer so groten Tempeest heeft gehad, als in lange Jaren niet geweest was: een Fluyt Schip van Campechi met Hout van daer is gebleven, mede 't Schip van Don Matthias Trogesso, van daer uytgelopen nae de Havane, wiert van de Noorden Windt gedreven tot de Laguna de Terminos, by Campeche, alwaer verlooren is gegaen met eenig Volck. Van de Spaensse zijn hier 10 Schepen gereet, om Volck en Amonitie na Barcelona te brengen."	"fleet from Vera Cruz to Cadiz with news of great tempest there forcing a Sp ship with logwood to remain in port, and stranding ship of Matthias Trogesso in Terminos [fleet reached Vera Cruz on 27 Sept 1673 and Cadiz on 23 Dec 1673]"	
	See “Vlissingen den 4 July” in no 28 for 10 July 1674 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943238:mpeg21:a00006] /	Oprechte Haerlemsche Courant	no 28 for 10 July 1674 p 2 	Vlissingen den 4 July	1674	4 Jul 1674	https://resolver.kb.nl/resolve?urn=MMNHA02:164943238:mpeg21:a00006	^^^	"Vlissingen den 4 July. Den 2 deser is alhier gearriveart Capiteyn Cornelis Clement, voerende een Fregatje, genaemt den Eenhoorn, ter Kaep, mede brengende een Pynas-Scheepje, willende nae Terra-Neuf, met Sout en ledige Fustagie. Insgelijckx is Gisteren gearriveert Capiteyn Cornelis Evertsz. met sijn by hebbende Schepen, te weten, een Brander, 3 Pynas Schepen en een Fluyt, met Virginie Taback, item een Pynas-Schip, met Suycker en Campechi-hout geladen, alle by hem, in Compagnie met de Schepen van Amsterdam, in Zee verovert. Van 's Landts Vloot hebben wy in eenige da gen niets vernomen."	Cornelis Evertsz[oon] from ^^^ to Flushing brings [Sp?] prize ships with logwood seized at sea	
	See “Vlissingen den 18 July” in no 30 for 24 July 1674 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943244:mpeg21:a00006] /	Oprechte Haerlemsche Courant	no 30 for 24 July 1674 p 2 	Vlissingen den 18 July	1674	18 Jul 1674	https://resolver.kb.nl/resolve?urn=MMNHA02:164943244:mpeg21:a00006	^^^	"Vlissingen den 18 July. Den 14 is gearriveert Capiteyn Pieter de Vos, voerende een kleyn Snauwtje, genaemt Carolus Secondus, nu laetst over 6 a 8 Weecken van Oostende uyt gelopen, alwaer heeft opgebracht en gelaten[ill]t wee [gelaten 't wee] Prysjes, het eene met veelderley Coopmanschappen, en het ander met Fransse Wijn geladen, en noch twee andere Prijsjes, die hy in Compagnie van een Oostendes Capertje in Zee heeft verovert. Insgelijckx is gearriveert een kleyn Buysje, gevoert by Schipper Cornelis Lot, komende van Viale, met Galieegse Wijnen en Campechi-hout geladen. Van 's Lands Vloot hoort men tot verwonderings [verwonderinge?] geene sekere Kondschappen; maer wel verdichte Tydingen, die niet waerdig zijn om t' adviseren."	Cornelis Lot from ^^^ to Flushing brings logwood	
