Intro: Table 1
							
	sheet	database	link	query	hits	note	
	Frea 86	P - Gallica presse	https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=50&page=1&collapsing=false&exactSearch=false&query=text%20all%20%22bois%22%20and%20%28dc.type%20all%20%22fascicule%22%29%20and%20%28gallicapublication_date%3C%3D%221649%2F12%2F31%22%29%20sortby%20dc.date%2Fsort.ascending	newspaper issues to 31 Dec 1649 with bois in text inexact matches	86 records found		
	Freb 3	P - Gallica presse	https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=false&version=1.2&query=((((((text%20all%20%22hondura%22%20or%20text%20all%20%22hondure%22%20)%20or%20text%20all%20%22campeche%22%20)%20or%20text%20all%20%22campech%22%20)%20or%20text%20all%20%22honduras%22%20)%20or%20text%20all%20%22nicaragua%22%20)%20or%20text%20all%20%22nicarag%22%20)%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(gallicapublication_date%3C=%221669/12/31%22)%20sortby%20dc.date/sort.ascending&suggest=10&keywords=hondura%20hondure%20campeche%20honduras%20nicaragua	"newspaper issues to 31 Dec 1669 with vars geographic terms in text inexact matches [hondura -hondura
-hondure -hondure
-campeche -campeche
-campech -campech
-honduras -honduras
-nicaragua -nicaragua -nicarag]"	3 records found		
	Engb 37	P - ProQuest - EEBO Early English Books Online - Historical Periodicals	https://www.proquest.com/eebo/results/DEF0AE2E1C09471FPQ/1?accountid=11311	periodical issues to 31 Dec 1669 with vars terms in text in inexact matches [bras* OR braz* OR bres* OR brez*]	37 records found	vars false matches	
	Enga 1	P - ProQuest - EEBO Early English Books Online - Historical Periodicals	https://www.proquest.com/eebo/results/23F2B9EA46A542C1PQ/1?accountid=11311	"periodical issues to 31 Dec 1669 with query (campe* OR canpe* OR campi* OR canpi*) NOT ""campe """	1 record found		
	^^^	P - ProQuest - EEBO Early English Books Online - Historical Periodicals	^^^	periodical issues to 31 Dec 1700 with query hondur* OR ondur*	0 records found	no results similarly for guatemala nor yucatan and their variants	
	Frec ???	"P - HathiTrust - Mercure François - vols 8, 10, 11, 13-18, 20-25"	http://id.lib.harvard.edu/alma/990072948650203941/catalog	^^^	^^^	"vol 8 no hits for bois, campeche, honduras, yucatan and variants / vol 10 one hit [p242 ""bois de Brasil""]"	
	^^^	P - Gallica - Mercure François - vols 1-24	http://ark.bnf.fr/ark:/12148/cb32814360w	^^^	^^^	no OCR search as of 29 JULY 2022 / NOT QUERIED ON 29 JULY 2022	


Frec ???: Table 1
