		Averaged Rescaled Data				Original Data			Rescaled Data							
						Investment Freedom 	Financial Freedom		Investment Freedom 	Financial Freedom						
					Max	100	100		100	100						
	  				Min	0	0		0	0			 			
					Orientation	1	1		1	1						
					Assigned to	RQ	RQ		RQ	RQ						
		HER19RQ			 							 				
PNG	Papua New Guinea	0.28	0.20				25	30	20.0		0.25	0.30	0.20						
PRY	Paraguay 	0.68	0.30				75	60	30.0		0.75	0.60	0.30						
PER	Peru	0.65	0.40				70	60	40.0		0.70	0.60	0.40						
PHL	Philippines	0.60	0.30				60	60	30.0		0.60	0.60	0.30						
POL	Poland	0.73	0.65				75	70	65.0		0.75	0.70	0.65						
PRT	Portugal	0.65	0.70				70	60	70.0		0.70	0.60	0.70						
QAT	Qatar	0.53	0.65				45	60	65.0		0.45	0.60	0.65						
ROM	Romania	0.63	0.35				75	50	35.0		0.75	0.50	0.35						
RUS	Russia	0.28	0.20				25	30	20.0		0.25	0.30	0.20						
RWA	Rwanda	0.53	0.30				65	40	30.0		0.65	0.40	0.30						
LCA	Saint Lucia	0.53	0.70				65	40	70.0		0.65	0.40	0.70						
VCT	Saint Vincent and the Grenadines	0.53	0.70				65	40	70.0		0.65	0.40	0.70						
WSM	Samoa	0.43	0.60				55	30	60.0		0.55	0.30	0.60						
STP	Sao Tome and Principe	0.45	0.25				60	30	25.0		0.60	0.30	0.25						
SAU	Saudi Arabia	0.45	0.40				40	50	40.0		0.40	0.50	0.40						
SEN	Senegal	0.50	0.40				60	40	40.0		0.60	0.40	0.40						
SRB	Serbia 	0.60	0.50				70	50	50.0		0.70	0.50	0.50						
SYC	Seychelles	0.43	0.50				55	30	50.0		0.55	0.30	0.50						
SLE	Sierra Leone	0.38	0.10				55	20	10.0		0.55	0.20	0.10						
SGP	Singapore	0.83	0.90				85	80	90.0		0.85	0.80	0.90						
SVK	Slovakia	0.73	0.50				75	70	50.0		0.75	0.70	0.50						
SVN	Slovenia	0.60	0.60				70	50	60.0		0.70	0.50	0.60						
SLB	Solomon Islands	0.23	0.30				15	30	30.0		0.15	0.30	0.30						
ZAF	South Africa	0.53	0.50				45	60	50.0		0.45	0.60	0.50						
ESP	Spain	0.78	0.70				85	70	70.0		0.85	0.70	0.70						
LKA	Sri Lanka	0.38	0.40				35	40	40.0		0.35	0.40	0.40						
SDN	Sudan	0.10	..				10	N/A	N/A		0.10	..	..						
SUR	Suriname	0.30	0.30				30	30	30.0		0.30	0.30	0.30						
SWZ	Swaziland	0.45	0.40				50	40	40.0		0.50	0.40	0.40						
SWE	Sweden	0.83	0.90				85	80	90.0		0.85	0.80	0.90						
CHE	Switzerland	0.83	0.90				85	80	90.0		0.85	0.80	0.90						
SYR	Syria	0.10	0.10				0	20	10.0		0.00	0.20	0.10						
TWN	Taiwan	0.68	0.70				75	60	70.0		0.75	0.60	0.70						
TJK	Tajikistan	0.28	0.20				25	30	20.0		0.25	0.30	0.20						
TZA	Tanzania	0.55	0.25				60	50	25.0		0.60	0.50	0.25						
THA	Thailand 	0.55	0.40				50	60	40.0		0.50	0.60	0.40						
TMP	Timor-Leste	0.30	0.20				40	20	20.0		0.40	0.20	0.20						
TGO	Togo	0.40	0.30				50	30	30.0		0.50	0.30	0.30						
TON	Tonga	0.30	0.25				40	20	25.0		0.40	0.20	0.25						
TTO	Trinidad and Tobago	0.55	0.50				60	50	50.0		0.60	0.50	0.50						
TUN	Tunisia	0.33	0.40				35	30	40.0		0.35	0.30	0.40						
TUR	Turkey	0.68	0.40				75	60	40.0		0.75	0.60	0.40						
TKM	Turkmenistan	0.05	0.05				0	10	5.0		0.00	0.10	0.05						
UGA	Uganda	0.50	0.25				60	40	25.0		0.60	0.40	0.25						
UKR	Ukraine	0.25	0.25				20	30	25.0		0.20	0.30	0.25						
ARE	United Arab Emirates	0.53	0.55				45	60	55.0		0.45	0.60	0.55						
GBR	United Kingdom	0.85	0.90				90	80	90.0		0.90	0.80	0.90						
USA	United States	0.70	0.80				70	70	80.0		0.70	0.70	0.80						
URY	Uruguay 	0.55	0.70				80	30	70.0		0.80	0.30	0.70						
UZB	Uzbekistan	0.05	0.15				0	10	15.0		0.00	0.10	0.15						
VUT	Vanuatu	0.50	0.40				60	40	40.0		0.60	0.40	0.40						
VEN	Venezuela 	0.05	0.05				0	10	5.0		0.00	0.10	0.05						
VNM	Vietnam	0.33	0.15				25	40	15.0		0.25	0.40	0.15						
YEM	Yemen	0.30	0.30				N/A	30	30.0		..	0.30	0.30						
ZMB	Zambia	0.50	0.30				50	50	30.0		0.50	0.50	0.30						
ZWE	Zimbabwe	0.10	0.10				10	10	10.0		0.10	0.10	0.10						
SOM	Somalia	..	..				N/A	N/A	N/A		..	..	..						
KSV	Kosovo	0.48	0.30				65	30	30.0		0.65	0.30	0.30						
BRN	Brunei Daressalam	0.58	0.30				65	50	30.0		0.65	0.50	0.30						
																			
					 														


WGI2014: Table 1
		Averaged Rescaled Data					Original Data				Rescaled Data								
			  				Investment Freedom 	Financial Freedom	Property Rights		Investment Freedom 	Financial Freedom	Property Rights						
						Max	100	100	100		100	100	100						
	  					Min	0	0	0		0	0	0			 			
						Orientation	1	1	1		1	1	1						
						Assigned to	RQ	RQ	RL		RQ	RQ	RL						
		HER14RQ	HER14RL			 									 				
AFG	Afghanistan	0.55	..				55.0	N/A	N/A		0.55	..	..						
ALB	Albania	0.70	0.30				70.0	70.0	30.0		0.70	0.70	0.30						
DZA	Algeria	0.28	0.30				25.0	30.0	30.0		0.25	0.30	0.30						
AGO	Angola	0.40	0.15				40.0	40.0	15.0		0.40	0.40	0.15						
ARG	Argentina	0.30	0.15				30.0	30.0	15.0		0.30	0.30	0.15						
ARM	Armenia	0.73	0.20				75.0	70.0	20.0		0.75	0.70	0.20						
AUS	Australia	0.85	0.90				80.0	90.0	90.0		0.80	0.90	0.90						
AUT	Austria	0.80	0.90				90.0	70.0	90.0		0.90	0.70	0.90						
AZE	Azerbaijan	0.53	0.20				55.0	50.0	20.0		0.55	0.50	0.20						
BHS	Bahamas	0.45	0.70				30.0	60.0	70.0		0.30	0.60	0.70						
BHR	Bahrain	0.73	0.60				65.0	80.0	60.0		0.65	0.80	0.60						
BGD	Bangladesh 	0.38	0.20				45.0	30.0	20.0		0.45	0.30	0.20						
BRB	Barbados	0.63	0.80				65.0	60.0	80.0		0.65	0.60	0.80						
BLR	Belarus	0.15	0.20				20.0	10.0	20.0		0.20	0.10	0.20						
BEL	Belgium	0.78	0.80				85.0	70.0	80.0		0.85	0.70	0.80						
BLZ	Belize	0.50	0.30				50.0	50.0	30.0		0.50	0.50	0.30						
BEN	Benin	0.60	0.30				70.0	50.0	30.0		0.70	0.50	0.30						
BTN	Bhutan	0.25	0.60				20.0	30.0	60.0		0.20	0.30	0.60						
BOL	Bolivia	0.25	0.10				10.0	40.0	10.0		0.10	0.40	0.10						
BIH	Bosnia and Herzegovina	0.65	0.20				70.0	60.0	20.0		0.70	0.60	0.20						
BWA	Botswana	0.70	0.70				70.0	70.0	70.0		0.70	0.70	0.70						
BRA	Brazil	0.55	0.50				50.0	60.0	50.0		0.50	0.60	0.50						
BGR	Bulgaria	0.63	0.30				65.0	60.0	30.0		0.65	0.60	0.30						
BFA	Burkina Faso	0.53	0.25				65.0	40.0	25.0		0.65	0.40	0.25						
MMR	Burma	0.13	0.10				15.0	10.0	10.0		0.15	0.10	0.10						
BDI	Burundi	0.45	0.20				60.0	30.0	20.0		0.60	0.30	0.20						
KHM	Cambodia	0.55	0.25				60.0	50.0	25.0		0.60	0.50	0.25						
CMR	Cameroon	0.43	0.25				35.0	50.0	25.0		0.35	0.50	0.25						
CAN	Canada	0.80	0.90				80.0	80.0	90.0		0.80	0.80	0.90						
CPV	Cape Verde	0.65	0.75				70.0	60.0	75.0		0.70	0.60	0.75						
CAF	Central African Republic	0.38	0.15				45.0	30.0	15.0		0.45	0.30	0.15						
TCD	Chad	0.43	0.20				45.0	40.0	20.0		0.45	0.40	0.20						
CHL	Chile	0.80	0.90				90.0	70.0	90.0		0.90	0.70	0.90						
CHN	China	0.28	0.20				25.0	30.0	20.0		0.25	0.30	0.20						
COL	Colombia	0.75	0.50				80.0	70.0	50.0		0.80	0.70	0.50						
COM	Comoros	0.35	0.30				40.0	30.0	30.0		0.40	0.30	0.30						
ZAR	Democratic Republic of Congo	0.20	0.10				20.0	20.0	10.0		0.20	0.20	0.10						
COG	"Congo, Republic of "	0.30	0.10				30.0	30.0	10.0		0.30	0.30	0.10						
CRI	Costa Rica 	0.60	0.50				70.0	50.0	50.0		0.70	0.50	0.50						
CIV	Cote d'Ivoire	0.53	0.35				55.0	50.0	35.0		0.55	0.50	0.35						
HRV	Croatia	0.70	0.40				80.0	60.0	40.0		0.80	0.60	0.40						
CUB	Cuba	0.05	0.10				0.0	10.0	10.0		0.00	0.10	0.10						
CYP	Cyprus	0.60	0.70				70.0	50.0	70.0		0.70	0.50	0.70						
CZE	Czech Republic	0.80	0.75				80.0	80.0	75.0		0.80	0.80	0.75						
DNK	Denmark	0.85	0.95				90.0	80.0	95.0		0.90	0.80	0.95						
DJI	Djibouti	0.60	0.25				70.0	50.0	25.0		0.70	0.50	0.25						
DMA	Dominica	0.53	0.60				75.0	30.0	60.0		0.75	0.30	0.60						
DOM	Dominican Republic	0.58	0.30				75.0	40.0	30.0		0.75	0.40	0.30						
ECU	Ecuador	0.35	0.15				30.0	40.0	15.0		0.30	0.40	0.15						
EGY	Egypt	0.45	0.20				50.0	40.0	20.0		0.50	0.40	0.20						
SLV	El Salvador 	0.73	0.35				75.0	70.0	35.0		0.75	0.70	0.35						
GNQ	Equatorial Guinea	0.33	0.10				35.0	30.0	10.0		0.35	0.30	0.10						
ERI	Eritrea	0.10	0.10				0.0	20.0	10.0		0.00	0.20	0.10						
EST	Estonia	0.85	0.90				90.0	80.0	90.0		0.90	0.80	0.90						
ETH	Ethiopia	0.20	0.30				20.0	20.0	30.0		0.20	0.20	0.30						
FJI	Fiji	0.50	0.25				50.0	50.0	25.0		0.50	0.50	0.25						
FIN	Finland	0.85	0.90				90.0	80.0	90.0		0.90	0.80	0.90						
FRA	France	0.70	0.80				70.0	70.0	80.0		0.70	0.70	0.80						
GAB	Gabon	0.48	0.40				55.0	40.0	40.0		0.55	0.40	0.40						
GMB	The Gambia	0.58	0.25				65.0	50.0	25.0		0.65	0.50	0.25						
GEO	Georgia	0.70	0.40				80.0	60.0	40.0		0.80	0.60	0.40						
DEU	Germany	0.80	0.90				90.0	70.0	90.0		0.90	0.70	0.90						
GHA	Ghana	0.63	0.50				65.0	60.0	50.0		0.65	0.60	0.50						
GRC	Greece	0.55	0.40				60.0	50.0	40.0		0.60	0.50	0.40						
GTM	Guatemala 	0.58	0.20				65.0	50.0	20.0		0.65	0.50	0.20						
GIN	Guinea	0.40	0.15				40.0	40.0	15.0		0.40	0.40	0.15						
GNB	Guinea-Bissau	0.30	0.20				30.0	30.0	20.0		0.30	0.30	0.20						
GUY	Guyana	0.38	0.25				45.0	30.0	25.0		0.45	0.30	0.25						
HTI	Haiti	0.35	0.10				40.0	30.0	10.0		0.40	0.30	0.10						
HND	Honduras 	0.60	0.30				60.0	60.0	30.0		0.60	0.60	0.30						
HKG	Hong Kong	0.90	0.90				90.0	90.0	90.0		0.90	0.90	0.90						
HUN	Hungary 	0.73	0.55				75.0	70.0	55.0		0.75	0.70	0.55						
ISL	Iceland	0.65	0.90				70.0	60.0	90.0		0.70	0.60	0.90						
IND	India	0.38	0.55				35.0	40.0	55.0		0.35	0.40	0.55						
IDN	Indonesia	0.50	0.30				40.0	60.0	30.0		0.40	0.60	0.30						
IRN	Iran	0.05	0.10				0.0	10.0	10.0		0.00	0.10	0.10						
IRQ	Iraq	..	..				N/A	N/A	N/A		..	..	..						
IRL	Ireland	0.80	0.85				90.0	70.0	85.0		0.90	0.70	0.85						
ISR	Israel	0.75	0.75				80.0	70.0	75.0		0.80	0.70	0.75						
ITA	Italy	0.73	0.55				85.0	60.0	55.0		0.85	0.60	0.55						
JAM	Jamaica 	0.68	0.40				85.0	50.0	40.0		0.85	0.50	0.40						
JPN	Japan	0.60	0.80				70.0	50.0	80.0		0.70	0.50	0.80						
JOR	Jordan	0.65	0.60				70.0	60.0	60.0		0.70	0.60	0.60						
KAZ	Kazakhstan	0.45	0.25				40.0	50.0	25.0		0.40	0.50	0.25						
KEN	Kenya	0.50	0.30				50.0	50.0	30.0		0.50	0.50	0.30						
KIR	Kiribati	0.28	0.30				25.0	30.0	30.0		0.25	0.30	0.30						
PRK	"Korea, North"	0.00	0.05				0.0	0.0	5.0		0.00	0.00	0.05						
KOR	"Korea, South"	0.75	0.75				70.0	80.0	75.0		0.70	0.80	0.75						
KWT	Kuwait	0.53	0.45				55.0	50.0	45.0		0.55	0.50	0.45						
KGZ	Kyrgyz Republic 	0.55	0.20				60.0	50.0	20.0		0.60	0.50	0.20						
LAO	Laos	0.25	0.15				30.0	20.0	15.0		0.30	0.20	0.15						
LVA	Latvia	0.68	0.50				85.0	50.0	50.0		0.85	0.50	0.50						
LBN	Lebanon	0.60	0.20				60.0	60.0	20.0		0.60	0.60	0.20						
LSO	Lesotho	0.43	0.35				45.0	40.0	35.0		0.45	0.40	0.35						
LBR	Liberia	0.30	0.25				40.0	20.0	25.0		0.40	0.20	0.25						
LBY	Libya	0.13	0.10				5.0	20.0	10.0		0.05	0.20	0.10						
LIE	Liechtenstein	0.83	..				85.0	80.0	N/A		0.85	0.80	..						
LTU	Lithuania	0.80	0.60				80.0	80.0	60.0		0.80	0.80	0.60						
LUX	Luxembourg	0.88	0.90				95.0	80.0	90.0		0.95	0.80	0.90						
MAC	Macau	0.78	0.60				85.0	70.0	60.0		0.85	0.70	0.60						
MKD	Macedonia	0.60	0.35				60.0	60.0	35.0		0.60	0.60	0.35						
MDG	Madagascar	0.50	0.45				50.0	50.0	45.0		0.50	0.50	0.45						
MWI	Malawi	0.53	0.40				55.0	50.0	40.0		0.55	0.50	0.40						
MYS	Malaysia 	0.58	0.55				55.0	60.0	55.0		0.55	0.60	0.55						
MDV	Maldives	0.30	0.25				30.0	30.0	25.0		0.30	0.30	0.25						
MLI	Mali	0.50	0.25				60.0	40.0	25.0		0.60	0.40	0.25						
MLT	Malta	0.70	0.75				80.0	60.0	75.0		0.80	0.60	0.75						
MRT	Mauritania	0.45	0.25				50.0	40.0	25.0		0.50	0.40	0.25						
MUS	Mauritius	0.78	0.65				85.0	70.0	65.0		0.85	0.70	0.65						
MEX	Mexico	0.65	0.50				70.0	60.0	50.0		0.70	0.60	0.50						
FSM	Micronesia	0.28	0.30				25.0	30.0	30.0		0.25	0.30	0.30						
MDA	Moldova	0.50	0.40				50.0	50.0	40.0		0.50	0.50	0.40						
MNG	Mongolia	0.55	0.30				50.0	60.0	30.0		0.50	0.60	0.30						
MNE	Montenegro	0.58	0.40				65.0	50.0	40.0		0.65	0.50	0.40						
MAR	Morocco	0.65	0.40				70.0	60.0	40.0		0.70	0.60	0.40						
MOZ	Mozambique 	0.45	0.30				40.0	50.0	30.0		0.40	0.50	0.30						
NAM	Namibia	0.48	0.30				55.0	40.0	30.0		0.55	0.40	0.30						
NPL	Nepal	0.18	0.30				5.0	30.0	30.0		0.05	0.30	0.30						
NLD	Netherlands	0.85	0.90				90.0	80.0	90.0		0.90	0.80	0.90						
NZL	New Zealand	0.80	0.95				80.0	80.0	95.0		0.80	0.80	0.95						
NIC	Nicaragua 	0.58	0.10				65.0	50.0	10.0		0.65	0.50	0.10						
NER	Niger	0.48	0.30				55.0	40.0	30.0		0.55	0.40	0.30						
NGA	Nigeria	0.40	0.30				40.0	40.0	30.0		0.40	0.40	0.30						
NOR	Norway	0.68	0.90				75.0	60.0	90.0		0.75	0.60	0.90						
OMN	Oman	0.63	0.55				65.0	60.0	55.0		0.65	0.60	0.55						
PAK	Pakistan 	0.45	0.30				50.0	40.0	30.0		0.50	0.40	0.30						
PAN	Panama 	0.73	0.30				75.0	70.0	30.0		0.75	0.70	0.30						
PNG	Papua New Guinea	0.33	0.20				35.0	30.0	20.0		0.35	0.30	0.20						
PRY	Paraguay 	0.68	0.30				75.0	60.0	30.0		0.75	0.60	0.30						
PER	Peru	0.65	0.40				70.0	60.0	40.0		0.70	0.60	0.40						
PHL	Philippines	0.60	0.30				60.0	60.0	30.0		0.60	0.60	0.30						
POL	Poland	0.70	0.60				70.0	70.0	60.0		0.70	0.70	0.60						
PRT	Portugal	0.65	0.70				70.0	60.0	70.0		0.70	0.60	0.70						
QAT	Qatar	0.48	0.70				45.0	50.0	70.0		0.45	0.50	0.70						
ROM	Romania	0.65	0.40				80.0	50.0	40.0		0.80	0.50	0.40						
RUS	Russia	0.28	0.20				25.0	30.0	20.0		0.25	0.30	0.20						
RWA	Rwanda	0.53	0.30				65.0	40.0	30.0		0.65	0.40	0.30						
LCA	Saint Lucia	0.53	0.70				65.0	40.0	70.0		0.65	0.40	0.70						
VCT	Saint Vincent and the Grenadines	0.50	0.70				60.0	40.0	70.0		0.60	0.40	0.70						
WSM	Samoa	0.43	0.60				55.0	30.0	60.0		0.55	0.30	0.60						
STP	Sao Tome and Principe	0.40	0.25				50.0	30.0	25.0		0.50	0.30	0.25						
SAU	Saudi Arabia	0.45	0.40				40.0	50.0	40.0		0.40	0.50	0.40						
SEN	Senegal	0.50	0.40				60.0	40.0	40.0		0.60	0.40	0.40						
SRB	Serbia 	0.63	0.45				75.0	50.0	45.0		0.75	0.50	0.45						
SYC	Seychelles	0.40	0.50				50.0	30.0	50.0		0.50	0.30	0.50						
SLE	Sierra Leone	0.38	0.10				55.0	20.0	10.0		0.55	0.20	0.10						
SGP	Singapore	0.83	0.90				85.0	80.0	90.0		0.85	0.80	0.90						
SVK	Slovakia	0.75	0.50				80.0	70.0	50.0		0.80	0.70	0.50						
SVN	Slovenia	0.60	0.60				70.0	50.0	60.0		0.70	0.50	0.60						
SLB	Solomon Islands	0.23	0.30				15.0	30.0	30.0		0.15	0.30	0.30						
ZAF	South Africa	0.55	0.50				50.0	60.0	50.0		0.50	0.60	0.50						
ESP	Spain	0.78	0.70				85.0	70.0	70.0		0.85	0.70	0.70						
LKA	Sri Lanka	0.35	0.35				30.0	40.0	35.0		0.30	0.40	0.35						
SDN	Sudan	0.15	..				15.0	N/A	N/A		0.15	..	..						
SUR	Suriname	0.30	0.35				30.0	30.0	35.0		0.30	0.30	0.35						
SWZ	Swaziland	0.48	0.40				55.0	40.0	40.0		0.55	0.40	0.40						
SWE	Sweden	0.85	0.90				90.0	80.0	90.0		0.90	0.80	0.90						
CHE	Switzerland	0.83	0.90				85.0	80.0	90.0		0.85	0.80	0.90						
SYR	Syria	0.10	0.10				0.0	20.0	10.0		0.00	0.20	0.10						
TWN	Taiwan	0.68	0.70				75.0	60.0	70.0		0.75	0.60	0.70						
TJK	Tajikistan	0.28	0.20				25.0	30.0	20.0		0.25	0.30	0.20						
TZA	Tanzania	0.55	0.30				60.0	50.0	30.0		0.60	0.50	0.30						
THA	Thailand 	0.53	0.40				45.0	60.0	40.0		0.45	0.60	0.40						
TMP	Timor-Leste	0.30	0.20				40.0	20.0	20.0		0.40	0.20	0.20						
TGO	Togo	0.40	0.30				50.0	30.0	30.0		0.50	0.30	0.30						
TON	Tonga	0.30	0.20				40.0	20.0	20.0		0.40	0.20	0.20						
TTO	Trinidad and Tobago	0.55	0.50				60.0	50.0	50.0		0.60	0.50	0.50						
TUN	Tunisia	0.33	0.40				35.0	30.0	40.0		0.35	0.30	0.40						
TUR	Turkey	0.68	0.45				75.0	60.0	45.0		0.75	0.60	0.45						
TKM	Turkmenistan	0.05	0.05				0.0	10.0	5.0		0.00	0.10	0.05						
UGA	Uganda	0.50	0.25				60.0	40.0	25.0		0.60	0.40	0.25						
UKR	Ukraine	0.23	0.20				15.0	30.0	20.0		0.15	0.30	0.20						
ARE	United Arab Emirates	0.45	0.55				40.0	50.0	55.0		0.40	0.50	0.55						
GBR	United Kingdom	0.85	0.90				90.0	80.0	90.0		0.90	0.80	0.90						
USA	United States	0.70	0.80				70.0	70.0	80.0		0.70	0.70	0.80						
URY	Uruguay 	0.55	0.70				80.0	30.0	70.0		0.80	0.30	0.70						
UZB	Uzbekistan	0.05	0.15				0.0	10.0	15.0		0.00	0.10	0.15						
VUT	Vanuatu	0.50	0.40				60.0	40.0	40.0		0.60	0.40	0.40						
VEN	Venezuela 	0.10	0.05				0.0	20.0	5.0		0.00	0.20	0.05						
VNM	Vietnam	0.23	0.15				15.0	30.0	15.0		0.15	0.30	0.15						
YEM	Yemen	0.40	0.30				50.0	30.0	30.0		0.50	0.30	0.30						
ZMB	Zambia	0.53	0.30				55.0	50.0	30.0		0.55	0.50	0.30						
ZWE	Zimbabwe	0.05	0.10				0.0	10.0	10.0		0.00	0.10	0.10						
SOM	Somalia	..	..				N/A	N/A	N/A		..	..	..						
KSV	Kosovo	0.65	0.30				65.0	N/A	30.0		0.65	..	0.30						
BRN	Brunei Daressalam	0.60	0.35				70.0	50.0	35.0		0.70	0.50	0.35						
																			
					 														


WGI2013: Table 1
		Averaged Rescaled Data				Original Data				Rescaled Data								
			  			Investment Freedom 	Financial Freedom	Property Rights		Investment Freedom 	Financial Freedom	Property Rights						
					Max	100	100	100		100	100	100						
	  				Min	0	0	0		0	0	0			 			
					Orientation	1	1	1		1	1	1						
					Assigned to	RQ	RQ	RL		RQ	RQ	RL						
		HER13RQ	HER13RL		 									 				
AFG	Afghanistan	0.65	..			65	N/A	N/A		0.65	..	..						
ALB	Albania	0.73	0.30			75	70	30		0.75	0.70	0.30						
DZA	Algeria	0.38	0.30			45	30	30		0.45	0.30	0.30						
AGO	Angola	0.40	0.15			40	40	15		0.40	0.40	0.15						
ARG	Argentina	0.30	0.15			30	30	15		0.30	0.30	0.15						
ARM	Armenia	0.70	0.30			70	70	30		0.70	0.70	0.30						
AUS	Australia	0.88	0.90			85	90	90		0.85	0.90	0.90						
AUT	Austria	0.80	0.90			90	70	90		0.90	0.70	0.90						
AZE	Azerbaijan	0.55	0.20			60	50	20		0.60	0.50	0.20						
BHS	Bahamas	0.50	0.70			30	70	70		0.30	0.70	0.70						
BHR	Bahrain	0.78	0.60			75	80	60		0.75	0.80	0.60						
BGD	Bangladesh 	0.43	0.20			55	30	20		0.55	0.30	0.20						
BRB	Barbados	0.58	0.80			55	60	80		0.55	0.60	0.80						
BLR	Belarus	0.20	0.20			30	10	20		0.30	0.10	0.20						
BEL	Belgium	0.78	0.80			85	70	80		0.85	0.70	0.80						
BLZ	Belize	0.45	0.30			40	50	30		0.40	0.50	0.30						
BEN	Benin	0.60	0.30			70	50	30		0.70	0.50	0.30						
BTN	Bhutan	0.25	0.60			20	30	60		0.20	0.30	0.60						
BOL	Bolivia	0.33	0.10			15	50	10		0.15	0.50	0.10						
BIH	Bosnia and Herzegovina	0.68	0.20			75	60	20		0.75	0.60	0.20						
BWA	Botswana	0.73	0.70			75	70	70		0.75	0.70	0.70						
BRA	Brazil	0.58	0.50			55	60	50		0.55	0.60	0.50						
BGR	Bulgaria	0.58	0.30			55	60	30		0.55	0.60	0.30						
BFA	Burkina Faso	0.50	0.30			60	40	30		0.60	0.40	0.30						
MMR	Burma	0.13	0.10			15	10	10		0.15	0.10	0.10						
BDI	Burundi	0.45	0.20			60	30	20		0.60	0.30	0.20						
KHM	Cambodia	0.55	0.30			60	50	30		0.60	0.50	0.30						
CMR	Cameroon	0.43	0.30			35	50	30		0.35	0.50	0.30						
CAN	Canada	0.80	0.90			80	80	90		0.80	0.80	0.90						
CPV	Cape Verde	0.65	0.70			70	60	70		0.70	0.60	0.70						
CAF	Central African Republic	0.40	0.10			50	30	10		0.50	0.30	0.10						
TCD	Chad	0.45	0.20			50	40	20		0.50	0.40	0.20						
CHL	Chile	0.80	0.90			90	70	90		0.90	0.70	0.90						
CHN	China	0.30	0.20			30	30	20		0.30	0.30	0.20						
COL	Colombia	0.73	0.50			75	70	50		0.75	0.70	0.50						
COM	Comoros	0.33	0.30			35	30	30		0.35	0.30	0.30						
ZAR	Democratic Republic of Congo	0.20	0.10			20	20	10		0.20	0.20	0.10						
COG	"Congo, Republic of "	0.25	0.10			20	30	10		0.20	0.30	0.10						
CRI	Costa Rica 	0.60	0.50			70	50	50		0.70	0.50	0.50						
CIV	Cote d'Ivoire	0.50	0.30			50	50	30		0.50	0.50	0.30						
HRV	Croatia	0.70	0.40			80	60	40		0.80	0.60	0.40						
CUB	Cuba	0.05	0.10			0	10	10		0.00	0.10	0.10						
CYP	Cyprus	0.58	0.70			65	50	70		0.65	0.50	0.70						
CZE	Czech Republic	0.80	0.70			80	80	70		0.80	0.80	0.70						
DNK	Denmark	0.90	0.90			90	90	90		0.90	0.90	0.90						
DJI	Djibouti	0.58	0.30			65	50	30		0.65	0.50	0.30						
DMA	Dominica	0.50	0.60			70	30	60		0.70	0.30	0.60						
DOM	Dominican Republic	0.58	0.30			75	40	30		0.75	0.40	0.30						
ECU	Ecuador	0.35	0.20			30	40	20		0.30	0.40	0.20						
EGY	Egypt	0.43	0.20			45	40	20		0.45	0.40	0.20						
SLV	El Salvador 	0.70	0.40			70	70	40		0.70	0.70	0.40						
GNQ	Equatorial Guinea	0.33	0.10			35	30	10		0.35	0.30	0.10						
ERI	Eritrea	0.10	0.10			0	20	10		0.00	0.20	0.10						
EST	Estonia	0.85	0.90			90	80	90		0.90	0.80	0.90						
ETH	Ethiopia	0.20	0.30			20	20	30		0.20	0.20	0.30						
FJI	Fiji	0.50	0.25			50	50	25		0.50	0.50	0.25						
FIN	Finland	0.85	0.90			90	80	90		0.90	0.80	0.90						
FRA	France	0.70	0.80			70	70	80		0.70	0.70	0.80						
GAB	Gabon	0.48	0.40			55	40	40		0.55	0.40	0.40						
GMB	The Gambia	0.58	0.30			65	50	30		0.65	0.50	0.30						
GEO	Georgia	0.70	0.40			80	60	40		0.80	0.60	0.40						
DEU	Germany	0.80	0.90			90	70	90		0.90	0.70	0.90						
GHA	Ghana	0.65	0.50			70	60	50		0.70	0.60	0.50						
GRC	Greece	0.55	0.40			60	50	40		0.60	0.50	0.40						
GTM	Guatemala 	0.58	0.25			65	50	25		0.65	0.50	0.25						
GIN	Guinea	0.45	0.20			50	40	20		0.50	0.40	0.20						
GNB	Guinea-Bissau	0.30	0.20			30	30	20		0.30	0.30	0.20						
GUY	Guyana	0.38	0.30			45	30	30		0.45	0.30	0.30						
HTI	Haiti	0.35	0.10			40	30	10		0.40	0.30	0.10						
HND	Honduras 	0.60	0.30			60	60	30		0.60	0.60	0.30						
HKG	Hong Kong	0.90	0.90			90	90	90		0.90	0.90	0.90						
HUN	Hungary 	0.73	0.60			75	70	60		0.75	0.70	0.60						
ISL	Iceland	0.65	0.90			70	60	90		0.70	0.60	0.90						
IND	India	0.38	0.50			35	40	50		0.35	0.40	0.50						
IDN	Indonesia	0.50	0.30			40	60	30		0.40	0.60	0.30						
IRN	Iran	0.05	0.10			0	10	10		0.00	0.10	0.10						
IRL	Ireland	0.80	0.90			90	70	90		0.90	0.70	0.90						
ISR	Israel	0.75	0.75			80	70	75		0.80	0.70	0.75						
ITA	Italy	0.73	0.50			85	60	50		0.85	0.60	0.50						
JAM	Jamaica 	0.68	0.40			85	50	40		0.85	0.50	0.40						
JPN	Japan	0.60	0.80			70	50	80		0.70	0.50	0.80						
JOR	Jordan	0.65	0.60			70	60	60		0.70	0.60	0.60						
KAZ	Kazakhstan	0.45	0.30			40	50	30		0.40	0.50	0.30						
KEN	Kenya	0.50	0.30			50	50	30		0.50	0.50	0.30						
KIR	Kiribati	0.28	0.30			25	30	30		0.25	0.30	0.30						
PRK	"Korea, North"	0.00	0.05			0	0	5		0.00	0.00	0.05						
