ID	NO	PRIM	COLL	TYPE	AID	NAME 0	CITED	START 0	STOP 0	SIZE	UNITS	NAME 1	NAME 2	PLACE 0	PLACE 1	DESC 0	PLACE 2	PLACE 3	START 1	STOP 1	NAME 3	NAME 4	NAME 5	VOL	ISS	VIA	FAID	DESC 1	NOTE	LINK	END	
S 1246	1246	0	0	P	xxx	xnp	0	np	np	1	vols	Down the passion river : A paper written for the Belize Literary Association November 1880	np	np	np	xnp	Belize	Belize	1880	np	J. Harley	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/31844272	38 leaves 28 cm	xnp	xnp	###	
S 1248	1248	0	0	P	xxx	xnp	0	np	np	1	vols	The Memorial of the inhabitants of British Honduras to the Right Hon. Earl Kimberley	np	np	np	"Wertheimer, Lea & Co."	London	UK	1880	np	J. Wodehouse	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/644344658 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/654358055	23 pages ; 21 cm	xnp	xnp	###	
S 1250	1250	0	0	P	Ayon	xnp	0	np	np	3	vols	Historia de Nicaragua desde los tiempos más remotos hasta el año de 1852	np	np	np	"Tip. de ""El Centro-americano"""	Managua	Nicaragua	1882	1889	T. Ayón	xnp	np	np	np	Obando 16	http://gw.worldcat.org.proxygw.wrlc.org/oclc/17592440	3 volumes ; 29 cm	xnp	v 1: https://www.google.fr/books/edition/Historia_de_Nicaragua_desde_los_tiempos_/pu08AQAAIAAJ?hl=fr&gbpv=0 / v 2: https://www.google.fr/books/edition/Historia_de_Nicaragua_desde_los_tiempos/U-08AQAAIAAJ?hl=fr&gbpv=1&kptab=overview / v 3: https://books.google.com.bz/books?id=8-w8AQAAIAAJ&printsec=frontcover&source=gbs_ViewAPI&redir_esc=y#v=onepage&q&f=false	###	
S 1252	1252	0	0	P	xxx	xnp	0	np	np	1	vols	"Sport, travel, and adventure in Newfoundland and the West Indies"	np	np	np	William Blackwood & Sons	London	UK	1885	np	W. R. Kennedy	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/612584616	"x pages, 1 leaf, 399, [1] pages; color frontispiece, illustrations, plates, map"	xnp	xnp	###	
S 1254	1254	0	0	P	xxx	xnp	0	np	np	1	vols	Report upon the forests of Jamaica	np	np	np	Waterlow & Sons	London	UK	1886	np	E. D. M. Hooper	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/223641609 / https://rgs.koha-ptfs.co.uk/cgi-bin/koha/opac-detail.pl?biblionumber=65912&query_desc=au%3A%22Hooper%2C%20E.%20D.%20M.%22	"33p.: map, tab.; 12 x 8 in."	"Further see *Reoprt upon the forests of Honduras* [Kurnool, Kurnool Collectorate Press, 1887] Desc = 33p.; tab.; 12 x 8 in. RGS Link: https://rgs.koha-ptfs.co.uk/cgi-bin/koha/opac-detail.pl?biblionumber=65915&query_desc=au%3A%22Hooper%2C%20E.%20D.%20M.%22"	xnp	###	
S 1256	1256	1	0	P	xxx	xnp	0	xxx	xxx	1	vols	"Colonial and Indian Exhibition, 1886. Handbook and catalogue. The West Indies and British Honduras. : Issued under the authority of Sir Augustus Adderley"	np	np	np	"W. Clowes & Sons Limited, printers and publishers to the Royal Commission, 13 Charing Cross, S.W."	London	UK	1886	np	A. J. Adderley	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/1063857543 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/83928998	"xvi, 192 pages, 21 pages of plates (some folded) : illustrations (black and white, and colour), 1 map (colour) ; 22 cm (8º)"	"Further see John McCarthy, *Commercial and technical report on West Indian and British Honduras products, at the Colonial and Indian exhibition, 1886* [South Kensington, sn, 1886] OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/49311874"	xnp	###	
S 1258	1258	1	0	P	Allen R	xnp	0	xxx	xxx	1	vols	Report of Indian Soldiery	np	np	np	Government Press	Belize	Belize	1887	np	D. M. Allen	xnp	np	np	np	Bolland F 226	xnp	xxx	xnp	xnp	###	
S 1260	1260	0	0	P	xxx	xnp	0	np	np	1	vols	The West Indies	np	np	np	"Sampson Low, Marston, Searle and Rivington Limited St. Dunstan's House Fetter Lane, Fleet Street, E.C."	London	UK	1889	np	C. W. Eves	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/457721451 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/1044457897	"xxiv-322 p., figure, plates et cartes ; In-8°"	xnp	xnp	###	
S 1262	1262	0	0	P	xxx	xnp	0	np	np	1	vols	West Indies	np	np	np	Clarendon Press	Oxford	UK	1890	np	C. P. Lucas	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/6499880	343 pages : maps (some color) ; 20 cm	"Further see C. P. Lucas, *A historical geography of the British colonies* [Oxford, Clarendon Press, 1888–1920] 7 vols OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/316361108"	xnp	###	
S 1264	1264	0	0	P	xxx	xnp	0	np	np	1	vols	"George Fife Angas, father and founder of South Australia"	np	np	np	Hodder and Stoughton	London	UK	1891	np	E. Hodder	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/5072687	"xii, 440 pages frontispiece (portrait) 23 cm"	xnp	xnp	###	
