ID	NO	START 0	LOG T ENG F ALL	Q 0	CF 0	LOG T JAM F ALL	Q 1	CF 1	LOG T BOS F ALL	Q 2	CF 2	NOTE 0	LOG T NYC F ALL	Q 3	CF 3	ALL T ENG F SWI	LOG T ENG F SWI	MAH T ENG F SWI	CF 4	ALL T ENG F HON	LOG T ENG F HON	MAH T ENG F HON	CF 5	ALL T ENG F MOS	LOG T ENG F MOS	MAH T ENG F MOS	CF 6	ALL T SCOT F HON	LOG T SCOT F HON	MAH T SCOT F HON	CF 7	ALL T GB F FWI	LOG T GB F FWI	MAH T GB F FWI	CF 8	ALL T GB F BWI	LOG T GB F BWI	MAH T GB F BWI	CF 9	ALL T GB F HON 0	LOG T GB F HON	MAH T GB F HON	CF 10	ALL T HON F ALL 1	ALL T ALL F HON 1	ALL T ALL F HON REEXP 1	ALL T HON F GB 1	ALL T GB F HON 1	CF 11	NOTE 1	ALL T HON F ALL 2	ALL T ALL F HON 2	ALL T ALL F HON REEXP 2	ALL T HON F GB 2	ALL T GB F HON 2	CF 12	NOTE 2	END	
T 22	22	1681	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 24	24	1682	623	4.0	CO 142/13 [f Jam]	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 26	26	1683	506	4.0	CO 142/13 [f Jam]	0.0	1.0	CO 142/13	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 28	28	1684	xnp	xnp	xnp	300.0	1.0	CO 142/13	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 30	30	1685	xnp	xnp	xnp	40.0	1.0	CO 142/13	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 32	32	1686	651	4.0	CO 142/13 [f Jam]	221.5	4.0	CO 142/13	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 34	34	1687	506	4.0	CO 142/13 [f Jam]	141.0	4.0	CO 142/13	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 36	36	1688	"1,079"	4.0	CO 142/13 [f Jam]	881.0	4.0	CO 142/13	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 38	38	1689	"1,132"	4.0	CO 142/13 [f Jam]	520.0	4.0	CO 142/13	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 40	40	1690	xnp	xnp	xnp	160.0	4.0	CO 142/13	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
