ID	NO	PRIM	COLL	TYPE	AID	NAME 0	CITED	START 0	STOP 0	SIZE	UNITS	NAME 1	NAME 2	PLACE 0	PLACE 1	DESC 0	PLACE 2	PLACE 3	START 1	STOP 1	NAME 3	NAME 4	NAME 5	VOL	ISS	VIA	FAID	DESC 1	NOTE	LINK	END	
S 317	317	1	1	M	xxx	xnp	0	1801	1846	1	boxes	"William Hook Papers, 1801-1846, undated"	Peabody Essex Museum	Rowley	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://pem.as.atlas-sys.com/repositories/2/resources/394	np	xnp	xnp	###	
S 319	319	1	1	M	xxx	xnp	0	1891	1901	3	feet	Central American Expedition records	Peabody Museum	Cambridge	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hollisarchives.lib.harvard.edu/repositories/6/resources/4768	np	xnp	xnp	###	
S 321	321	1	1	M	xxx	xnp	0	1869	1918	7	feet	Charles P. Bowditch papers	Peabody Museum	Cambridge	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hollisarchives.lib.harvard.edu/repositories/6/resources/4763	np	xnp	xnp	###	
S 323	323	1	1	M	xxx	xnp	0	1844	1863	1	feet	James Henry Cunningham family papers	Penobscot Marine Museum	Searsport	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://penobscotmarinemuseum.org/manuscript-collection-pdf-index/	np	Not found in online cataloge https://penobscotmarinemuseum.org/museum-collections-database/	xnp	###	
S 325	325	1	1	M	RAH Munoz zzz	"Real Acad Hist, Col Muñoz, zzz"	0	xxx	xxx	76	vols	"Manuscritos, Juan Bautista Muñoz"	Real Academia de la Historia	Madrid	Spain	np	np	np	np	np	np	np	np	np	np	xnp	https://www.rah.es/colecciones-de-manuscritos/	np	Signatura 9/4779-4856 / Not located in digitised part of catalogue https://catalogo.rah.es/ / See Censo-Guía: http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=37148	xnp	###	
S 327	327	1	1	M	xxx	xnp	0	xxx	xxx	8	vols	"Manuscritos, América"	Real Academia de la Historia	Madrid	Spain	np	np	np	np	np	np	np	np	np	np	xnp	https://www.rah.es/colecciones-de-manuscritos/	np	Signatura 9/1917-1924 / Not located in digitised part of catalogue https://catalogo.rah.es/	xnp	###	
S 329	329	1	1	M	xxx	xnp	0	xxx	xxx	32	vols	"Manuscritos, Memorias de Nueva España o Boturini"	Real Academia de la Historia	Madrid	Spain	np	np	np	np	np	np	np	np	np	np	xnp	https://www.rah.es/colecciones-de-manuscritos/	np	Signatura 9/4857-4886 y 9/4930-4948 / Not located in digitised part of catalogue https://catalogo.rah.es/	xnp	###	
S 331	331	1	1	M	Bib Real zzz	xnp	0	xxx	xxx	xxx	xxx	Manuscritos de América	Real Biblioteca	Madrid	Spain	np	np	np	np	np	np	np	np	np	np	xnp	https://realbiblioteca.es/index.php/es/coleccionesrb	np	Possibly see Censo-Guía: http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=55804	xnp	###	
S 333	333	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	xnp	Royal Geographical Society	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://www.rgs.org/about/our-collections/	np	= Royal Geographical Society with the Institute of British Geographers / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531340	xnp	###	
S 335	335	1	1	M	xxx	xnp	0	1779	1779	1	items	List of ships and booty taken in the Bay of Honduras 'by Capt. Luttrel with ships from Jamaica'	Sheffield City Archives	Sheffield	UK	np	np	np	np	np	np	np	np	np	np	xnp	http://discovery.nationalarchives.gov.uk/details/r/8d69ce79-54e8-4c7c-9fd2-1eebed119d6e / http://www2.calmview.co.uk/SheffieldArchives/CalmView/Record.aspx?src=CalmView.Catalog&id=WWM&pos=1	np	Ref WWM/R/1/1862 / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531722	xnp	###	
